forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,DE,-0.00000,339.49654,665.99162,1.96170
271,0.01000,2,DE,-0.00000,220.00522,299.22040,1.36006
271,0.01000,3,DE,-0.00000,414.48561,509.68001,1.22967
271,0.01000,4,DE,-0.00000,368.49251,701.60183,1.90398
271,0.01000,5,DE,-0.00000,334.53605,851.47174,2.54523
271,0.01000,6,DE,-0.00000,362.28799,833.12701,2.29963
271,0.01000,7,DE,-0.00000,458.72024,714.26679,1.55709
271,0.01000,8,DE,-0.00000,279.23236,771.31341,2.76226
271,0.01000,9,DE,-0.00000,416.57459,812.53861,1.95052
271,0.01000,10,DE,-0.00000,359.74746,783.05920,2.17669
271,0.05000,1,DE,-0.00000,424.02445,953.52103,2.24874
271,0.05000,2,DE,-0.00000,461.90238,602.97579,1.30542
271,0.05000,3,DE,-0.00000,485.79377,859.22047,1.76869
271,0.05000,4,DE,-0.00000,463.75406,1026.99648,2.21453
271,0.05000,5,DE,-0.00000,480.88249,1197.00339,2.48918
271,0.05000,6,DE,-0.00000,582.87354,1075.27999,1.84479
271,0.05000,7,DE,-0.00000,563.82286,1041.93387,1.84798
271,0.05000,8,DE,-0.00000,449.98867,1102.64104,2.45038
271,0.05000,9,DE,-0.00000,536.05904,1077.59205,2.01021
271,0.05000,10,DE,-0.00000,501.99490,1030.42000,2.05265
271,0.10000,1,DE,-0.00000,551.38022,1268.03764,2.29975
271,0.10000,2,DE,-0.00000,575.75872,925.44981,1.60736
271,0.10000,3,DE,-0.00000,599.37370,1134.10576,1.89215
271,0.10000,4,DE,-0.00000,575.07562,1349.16964,2.34607
271,0.10000,5,DE,-0.00000,594.62505,1420.07609,2.38819
271,0.10000,6,DE,-0.00000,671.61864,1246.33059,1.85571
271,0.10000,7,DE,-0.00000,670.83297,1427.34891,2.12773
271,0.10000,8,DE,101.87459,605.78638,1444.15175,2.04074
271,0.10000,9,DE,-0.00000,691.28020,1334.04475,1.92982
271,0.10000,10,DE,-0.00000,573.47362,1274.44992,2.22233
301,0.01000,1,DE,-0.00000,138.48985,697.05345,5.03325
301,0.01000,2,DE,-0.00000,157.22717,576.77904,3.66844
301,0.01000,3,DE,-0.00000,205.32952,533.55011,2.59851
301,0.01000,4,DE,-0.00000,171.38257,460.20980,2.68528
