forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,DK,-0.00000,4.12208,37.27814,9.04353
271,0.01000,2,DK,-0.00000,5.26326,19.23788,3.65513
271,0.01000,3,DK,-0.00000,8.92505,19.58889,2.19482
271,0.01000,4,DK,-0.00000,6.48439,19.18097,2.95802
271,0.01000,5,DK,-0.00000,4.70335,20.00548,4.25345
271,0.01000,6,DK,-0.00000,6.61292,21.96167,3.32102
271,0.01000,7,DK,-0.00000,10.64172,35.29515,3.31668
271,0.01000,8,DK,-0.00000,9.65990,29.88244,3.09345
271,0.01000,9,DK,-0.00000,7.52019,30.22506,4.01919
271,0.01000,10,DK,-0.00000,6.65167,19.70773,2.96282
271,0.05000,1,DK,0.50344,9.93114,50.35278,4.82557
271,0.05000,2,DK,-0.00000,9.23612,30.05544,3.25412
271,0.05000,3,DK,-0.00000,14.57832,30.51619,2.09326
271,0.05000,4,DK,-0.00000,10.17556,27.15758,2.66890
271,0.05000,5,DK,-0.00000,8.37288,30.67382,3.66347
271,0.05000,6,DK,-0.00000,11.75540,34.79372,2.95981
271,0.05000,7,DK,-0.00000,14.03294,40.87540,2.91282
271,0.05000,8,DK,-0.00000,13.15727,43.65549,3.31797
271,0.05000,9,DK,-0.00000,12.52153,37.32135,2.98057
271,0.05000,10,DK,-0.00000,9.51605,35.08326,3.68675
271,0.10000,1,DK,12.90339,14.33178,64.70899,2.37593
271,0.10000,2,DK,0.27126,13.05587,40.09214,3.00831
271,0.10000,3,DK,3.08804,18.98065,48.92763,2.21706
271,0.10000,4,DK,0.00000,13.91001,36.51526,2.62511
271,0.10000,5,DK,-0.00000,11.27361,41.30121,3.66353
271,0.10000,6,DK,-0.00000,14.79868,44.53925,3.00968
271,0.10000,7,DK,1.96885,17.46360,47.38461,2.43843
271,0.10000,8,DK,4.71258,15.48740,57.38267,2.84073
271,0.10000,9,DK,-0.00000,16.41408,49.77062,3.03219
271,0.10000,10,DK,6.96893,11.96158,50.50880,2.66812
301,0.01000,1,DK,-0.00000,0.87957,8.38693,9.53526
301,0.01000,2,DK,-0.00000,1.68286,10.40452,6.18264
301,0.01000,3,DK,-0.00000,0.01834,6.64272,362.19847
301,0.01000,4,DK,-0.00000,0.01334,5.35598,401.49775
301,0.01000,5,DK,-0.00000,0.67710,4.94468,7.30273
301,0.01000,6,DK,-0.00000,1.74438,8.28736,4.75089
301,0.01000,7,DK,-0.00000,1.48983,12.74083,8.55187
301,0.01000,8,DK,-0.00000,-0.00000,11.58158,---
301,0.01000,9,DK,-0.00000,0.47162,11.58958,24.57398
301,0.01000,10,DK,-0.00000,0.52419,19.02477,36.29365
301,0.05000,1,DK,-0.00000,2.46313,16.16220,6.56165
301,0.05000,2,DK,-0.00000,3.39036,26.72578,7.88287
301,0.05000,3,DK,-0.00000,2.27937,14.38783,6.31220
301,0.05000,4,DK,-0.00000,1.43888,14.49668,10.07497
301,0.05000,5,DK,-0.00000,1.70330,13.35044,7.83799
301,0.05000,6,DK,-0.00000,4.18913,15.49645,3.69920
