forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,EE,-0.00000,-0.00000,0.04854,---
271,0.01000,2,EE,-0.00000,-0.00000,0.04879,---
271,0.01000,3,EE,-0.00000,-0.00000,0.02921,---
271,0.01000,4,EE,-0.00000,-0.00000,0.02995,---
271,0.01000,5,EE,-0.00000,-0.00000,0.03050,---
271,0.01000,6,EE,-0.00000,-0.00000,0.04018,---
271,0.01000,7,EE,-0.00000,-0.00000,0.06203,---
271,0.01000,8,EE,-0.00000,-0.00000,0.03027,---
271,0.01000,9,EE,-0.00000,-0.00000,0.00992,---
271,0.01000,10,EE,-0.00000,-0.00000,0.03564,---
271,0.05000,1,EE,-0.00000,0.00970,0.14441,14.88763
271,0.05000,2,EE,-0.00000,0.01411,0.09723,6.89086
271,0.05000,3,EE,-0.00000,0.00983,0.08946,9.10071
271,0.05000,4,EE,0.00519,0.01899,0.08710,3.60215
271,0.05000,5,EE,-0.00000,0.02117,0.07587,3.58385
271,0.05000,6,EE,0.00796,0.00485,0.11193,8.73770
271,0.05000,7,EE,-0.00000,0.00750,0.13714,18.28533
271,0.05000,8,EE,-0.00000,0.01627,0.09288,5.70867
271,0.05000,9,EE,-0.00000,0.00683,0.04603,6.73939
271,0.05000,10,EE,-0.00000,0.02624,0.09053,3.45008
271,0.10000,1,EE,0.18399,0.01115,0.45329,2.32290
271,0.10000,2,EE,0.04334,0.01611,0.19549,3.28831
271,0.10000,3,EE,-0.00000,0.01982,0.15988,8.06660
271,0.10000,4,EE,0.00519,0.01184,0.15183,8.91544
271,0.10000,5,EE,0.01038,0.03006,0.11651,2.88106
271,0.10000,6,EE,0.07028,0.01135,0.19868,2.43391
271,0.10000,7,EE,0.00990,0.01923,0.32792,11.25712
271,0.10000,8,EE,-0.00000,0.02197,0.16727,7.61356
271,0.10000,9,EE,-0.00000,0.03526,0.09429,2.67413
271,0.10000,10,EE,0.00042,0.01375,0.15917,11.23289
301,0.01000,1,EE,-0.00000,-0.00000,0.04197,---
301,0.01000,2,EE,-0.00000,0.00183,0.07319,39.99454
301,0.01000,3,EE,-0.00000,-0.00000,0.06508,---
301,0.01000,4,EE,-0.00000,-0.00000,0.07465,---
301,0.01000,5,EE,-0.00000,-0.00000,0.02031,---
301,0.01000,6,EE,-0.00000,-0.00000,0.04042,---
301,0.01000,7,EE,-0.00000,-0.00000,0.02309,---
301,0.01000,8,EE,-0.00000,-0.00000,0.06693,---
301,0.01000,9,EE,-0.00000,-0.00000,0.03135,---
301,0.01000,10,EE,-0.00000,-0.00000,-0.00000,---
301,0.05000,1,EE,-0.00000,0.01282,0.09629,7.51092
301,0.05000,2,EE,-0.00000,0.02488,0.13215,5.31150
301,0.05000,3,EE,-0.00000,0.01690,0.16989,10.05266
301,0.05000,4,EE,-0.00000,0.02216,0.12294,5.54783
301,0.05000,5,EE,-0.00000,0.01213,0.09271,7.64303
301,0.05000,6,EE,-0.00000,0.01092,0.11569,10.59432
301,0.05000,7,EE,0.00894,0.02898,0.06938,1.82964
301,0.05000,8,EE,0.00309,0.01672,0.16381,8.26906
301,0.05000,9,EE,-0.00000,0.01218,0.09463,7.76929
