forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,EL,-0.00000,89.41208,124.41919,1.39153
271,0.01000,2,EL,-0.00000,69.29036,94.71241,1.36689
271,0.01000,3,EL,-0.00000,97.31965,120.83013,1.24158
271,0.01000,4,EL,-0.00000,96.05384,131.77148,1.37185
271,0.01000,5,EL,-0.00000,86.67156,127.80999,1.47465
271,0.01000,6,EL,-0.00000,87.32399,116.47631,1.33384
271,0.01000,7,EL,-0.00000,91.99293,124.10312,1.34905
271,0.01000,8,EL,-0.00000,88.14427,120.77655,1.37021
271,0.01000,9,EL,-0.00000,89.81617,116.44960,1.29653
271,0.01000,10,EL,-0.00000,90.86998,117.07793,1.28841
271,0.05000,1,EL,-0.00000,102.27423,138.55830,1.35477
271,0.05000,2,EL,-0.00000,88.43778,116.57930,1.31821
271,0.05000,3,EL,-0.00000,105.38945,136.32670,1.29355
271,0.05000,4,EL,-0.00000,103.62475,145.74241,1.40644
271,0.05000,5,EL,-0.00000,96.81982,144.13880,1.48873
271,0.05000,6,EL,-0.00000,100.46381,134.35065,1.33730
271,0.05000,7,EL,-0.00000,101.12789,139.01820,1.37468
271,0.05000,8,EL,-0.00000,103.55864,134.59426,1.29969
271,0.05000,9,EL,-0.00000,102.86247,134.22040,1.30485
271,0.05000,10,EL,-0.00000,108.29439,143.20232,1.32234
271,0.10000,1,EL,0.10921,109.32280,155.18352,1.41808
271,0.10000,2,EL,-0.00000,100.16105,131.60033,1.31389
271,0.10000,3,EL,-0.00000,113.39389,147.87959,1.30412
271,0.10000,4,EL,0.52855,111.92453,162.19255,1.44231
271,0.10000,5,EL,1.69642,104.16063,150.29920,1.41983
271,0.10000,6,EL,-0.00000,109.70500,144.93622,1.32115
271,0.10000,7,EL,0.50226,112.08957,149.17375,1.32491
271,0.10000,8,EL,-0.00000,112.62719,146.63884,1.30198
271,0.10000,9,EL,0.63516,112.20976,148.23868,1.31365
271,0.10000,10,EL,-0.00000,117.30765,157.15862,1.33971
301,0.01000,1,EL,-0.00000,116.76556,153.19012,1.31195
301,0.01000,2,EL,-0.00000,131.08048,161.26414,1.23027
301,0.01000,3,EL,-0.00000,126.13631,156.94710,1.24427
301,0.01000,4,EL,-0.00000,130.87888,159.75562,1.22064
301,0.01000,5,EL,-0.00000,123.03566,166.37580,1.35226
301,0.01000,6,EL,-0.00000,107.20895,150.55120,1.40428
301,0.01000,7,EL,-0.00000,137.24299,165.42109,1.20532
301,0.01000,8,EL,-0.00000,128.72298,153.65894,1.19372
301,0.01000,9,EL,-0.00000,123.78912,155.11884,1.25309
301,0.01000,10,EL,-0.00000,132.47566,154.34740,1.16510
301,0.05000,1,EL,-0.00000,133.28491,171.70782,1.28828
301,0.05000,2,EL,-0.00000,145.33795,179.63844,1.23601
301,0.05000,3,EL,-0.00000,136.23304,170.48853,1.25145
301,0.05000,4,EL,-0.00000,146.18588,173.92945,1.18978
301,0.05000,5,EL,-0.00000,135.64387,182.28016,1.34381
301,0.05000,6,EL,0.00000,126.28145,164.57166,1.30321
301,0.05000,7,EL,-0.00000,149.38759,179.12216,1.19904
301,0.05000,8,EL,-0.00000,140.97459,175.37431,1.24401
301,0.05000,9,EL,-0.00000,137.41315,168.56432,1.22670
301,0.05000,10,EL,-0.00000,139.70384,168.02768,1.20274
301,0.10000,1,EL,-0.00000,142.61802,182.51517,1.27975
301,0.10000,2,EL,-0.00000,153.83918,189.63853,1.23271
301,0.10000,3,EL,1.78694,145.25628,184.31917,1.25350
301,0.10000,4,EL,-0.00000,155.54715,187.53386,1.20564
301,0.10000,5,EL,0.47542,144.66996,197.19115,1.35858
301,0.10000,6,EL,0.60913,137.11968,176.76929,1.28346
301,0.10000,7,EL,0.33905,155.96179,193.10385,1.23546
301,0.10000,8,EL,-0.00000,152.27168,192.93737,1.26706
301,0.10000,9,EL,-0.00000,146.94836,183.39476,1.24802
301,0.10000,10,EL,-0.00000,145.20214,182.65306,1.25792
332,0.01000,1,EL,-0.00000,67.91132,84.60766,1.24586
332,0.01000,2,EL,-0.00000,60.48398,79.17910,1.30909
332,0.01000,3,EL,-0.00000,52.35532,80.59104,1.53931
332,0.01000,4,EL,-0.00000,64.80830,79.64940,1.22900
332,0.01000,5,EL,-0.00000,62.98880,102.28252,1.62382
332,0.01000,6,EL,-0.00000,71.31092,95.13159,1.33404
332,0.01000,7,EL,-0.00000,47.12683,73.41297,1.55777
332,0.01000,8,EL,-0.00000,60.02746,79.02282,1.31644
332,0.01000,9,EL,-0.00000,71.16890,98.24734,1.38048
332,0.01000,10,EL,-0.00000,58.40366,74.17977,1.27012
