forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,ES,-0.00000,446.65876,571.89636,1.28039
271,0.01000,2,ES,-0.00000,425.25000,568.97132,1.33797
271,0.01000,3,ES,-0.00000,372.53792,550.84561,1.47863
271,0.01000,4,ES,-0.00000,446.71083,577.40158,1.29256
271,0.01000,5,ES,-0.00000,401.22730,571.61593,1.42467
271,0.01000,6,ES,-0.00000,427.74896,551.09568,1.28836
271,0.01000,7,ES,-0.00000,413.13947,570.14987,1.38004
271,0.01000,8,ES,-0.00000,386.39436,589.13805,1.52471
271,0.01000,9,ES,-0.00000,440.78588,530.56574,1.20368
271,0.01000,10,ES,-0.00000,424.11868,547.73552,1.29147
271,0.05000,1,ES,-0.00000,486.59032,630.75322,1.29627
271,0.05000,2,ES,-0.00000,465.65340,620.36828,1.33225
271,0.05000,3,ES,-0.00000,437.83726,619.76239,1.41551
271,0.05000,4,ES,-0.00000,478.35802,649.49898,1.35777
271,0.05000,5,ES,-0.00000,454.76565,628.57748,1.38220
271,0.05000,6,ES,-0.00000,452.86489,617.99500,1.36463
271,0.05000,7,ES,-0.00000,455.70775,659.70258,1.44764
271,0.05000,8,ES,-0.00000,435.56752,698.39260,1.60341
271,0.05000,9,ES,-0.00000,474.77055,616.45370,1.29842
271,0.05000,10,ES,-0.00000,455.41904,619.31268,1.35987
271,0.10000,1,ES,-0.00000,522.83571,683.60944,1.30750
271,0.10000,2,ES,-0.00000,496.19930,665.05266,1.34029
271,0.10000,3,ES,6.59946,477.33558,726.62977,1.50150
271,0.10000,4,ES,23.99221,501.86720,749.16261,1.42464
271,0.10000,5,ES,-0.00000,497.50412,683.16129,1.37318
271,0.10000,6,ES,-0.00000,479.91230,685.34011,1.42805
271,0.10000,7,ES,29.12420,495.94949,763.65046,1.45437
271,0.10000,8,ES,-0.00000,469.15227,766.36828,1.63352
271,0.10000,9,ES,-0.00000,499.95961,680.38373,1.36088
271,0.10000,10,ES,-0.00000,484.03090,688.92940,1.42332
301,0.01000,1,ES,-0.00000,304.26772,455.75600,1.49788
301,0.01000,2,ES,-0.00000,282.90007,429.31488,1.51755
301,0.01000,3,ES,-0.00000,277.13187,454.38466,1.63960
301,0.01000,4,ES,-0.00000,320.44974,408.98186,1.27627
301,0.01000,5,ES,-0.00000,317.55072,441.72714,1.39104
301,0.01000,6,ES,-0.00000,319.90454,466.83241,1.45929
301,0.01000,7,ES,-0.00000,299.74203,389.75514,1.30030
301,0.01000,8,ES,-0.00000,306.20754,419.16388,1.36889
301,0.01000,9,ES,-0.00000,316.84209,398.50550,1.25774
301,0.01000,10,ES,-0.00000,318.65649,478.06148,1.50024
301,0.05000,1,ES,-0.00000,349.67379,498.76676,1.42638
301,0.05000,2,ES,-0.00000,328.40252,510.49879,1.55449
301,0.05000,3,ES,-0.00000,346.71581,569.64670,1.64298
301,0.05000,4,ES,-0.00000,365.81279,490.18025,1.33998
301,0.05000,5,ES,-0.00000,347.48199,491.08795,1.41328
301,0.05000,6,ES,-0.00000,357.43806,557.03421,1.55841
301,0.05000,7,ES,-0.00000,334.74160,460.89289,1.37686
301,0.05000,8,ES,-0.00000,335.77190,498.49577,1.48463
301,0.05000,9,ES,-0.00000,349.35236,451.90779,1.29356
301,0.05000,10,ES,-0.00000,351.97597,546.20267,1.55182
301,0.10000,1,ES,-0.00000,381.49719,546.44468,1.43237
301,0.10000,2,ES,-0.00000,364.45660,578.97664,1.58860
301,0.10000,3,ES,67.69429,382.24672,732.71809,1.62848
301,0.10000,4,ES,-0.00000,385.80295,532.37802,1.37992
301,0.10000,5,ES,-0.00000,372.53921,556.57043,1.49399
301,0.10000,6,ES,-0.00000,392.23893,628.27653,1.60177
301,0.10000,7,ES,-0.00000,364.17449,540.47253,1.48410
301,0.10000,8,ES,-0.00000,364.48589,600.80168,1.64835
301,0.10000,9,ES,-0.00000,378.43274,501.37861,1.32488
301,0.10000,10,ES,-0.00000,376.70809,619.34323,1.64409
332,0.01000,1,ES,-0.00000,322.36449,371.95173,1.15382
332,0.01000,2,ES,-0.00000,287.45146,481.05985,1.67353
332,0.01000,3,ES,-0.00000,308.58191,367.02453,1.18939
332,0.01000,4,ES,-0.00000,288.38348,398.19138,1.38077
332,0.01000,5,ES,-0.00000,296.29537,474.22871,1.60053
332,0.01000,6,ES,-0.00000,331.91125,414.11810,1.24768
332,0.01000,7,ES,-0.00000,314.12403,436.56694,1.38979
332,0.01000,8,ES,-0.00000,305.80323,437.65315,1.43116
332,0.01000,9,ES,-0.00000,290.01378,411.46405,1.41877
332,0.01000,10,ES,-0.00000,287.26601,409.65551,1.42605
332,0.05000,1,ES,-0.00000,353.20352,482.81535,1.36696
332,0.05000,2,ES,-0.00000,333.09145,558.07828,1.67545
332,0.05000,3,ES,-0.00000,348.84581,424.84427,1.21786
332,0.05000,4,ES,-0.00000,327.35846,488.88007,1.49341
332,0.05000,5,ES,-0.00000,349.33296,549.91793,1.57419
332,0.05000,6,ES,-0.00000,352.93473,458.90469,1.30025
