forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,FI,-0.00000,-0.00000,0.05394,---
271,0.01000,2,FI,-0.00000,-0.00000,0.13818,---
271,0.01000,3,FI,-0.00000,-0.00000,0.03823,---
271,0.01000,4,FI,-0.00000,-0.00000,0.00806,---
271,0.01000,5,FI,-0.00000,-0.00000,0.06276,---
271,0.01000,6,FI,-0.00000,-0.00000,0.09660,---
271,0.01000,7,FI,-0.00000,-0.00000,0.08822,---
271,0.01000,8,FI,-0.00000,-0.00000,0.08829,---
271,0.01000,9,FI,-0.00000,-0.00000,0.01446,---
271,0.01000,10,FI,-0.00000,-0.00000,0.04488,---
271,0.05000,1,FI,-0.00000,0.01049,0.20045,19.10867
271,0.05000,2,FI,0.24580,0.00918,0.50678,1.98753
271,0.05000,3,FI,-0.00000,0.01067,0.12270,11.49953
271,0.05000,4,FI,-0.00000,0.01038,0.06668,6.42389
271,0.05000,5,FI,-0.00000,0.00890,0.19276,21.65843
271,0.05000,6,FI,0.49084,0.00577,0.66681,1.34272
271,0.05000,7,FI,-0.00000,0.00327,0.27359,83.66667
271,0.05000,8,FI,-0.00000,0.01082,0.15740,14.54713
271,0.05000,9,FI,-0.00000,0.01560,0.08983,5.75833
271,0.05000,10,FI,-0.00000,0.00851,0.10989,12.91304
271,0.10000,1,FI,0.81578,0.01895,1.16062,1.39041
271,0.10000,2,FI,1.83780,0.01365,2.31431,1.25000
271,0.10000,3,FI,0.00456,0.01387,0.36011,19.53934
271,0.10000,4,FI,0.00074,0.00916,0.20133,20.33636
271,0.10000,5,FI,1.39534,0.01138,1.74126,1.23782
271,0.10000,6,FI,3.17801,0.02168,3.46893,1.08415
271,0.10000,7,FI,2.75601,0.01633,3.12880,1.12858
271,0.10000,8,FI,-0.00000,0.01776,0.24374,13.72410
271,0.10000,9,FI,0.18111,0.02364,0.21491,1.04962
271,0.10000,10,FI,0.06469,0.01456,0.25007,3.15546
301,0.01000,1,FI,-0.00000,-0.00000,0.13798,---
301,0.01000,2,FI,-0.00000,0.00188,0.06325,33.64362
301,0.01000,3,FI,-0.00000,-0.00000,0.12119,---
301,0.01000,4,FI,-0.00000,-0.00000,0.09339,---
