forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,FR,-0.00000,144.75328,269.09288,1.85898
271,0.01000,2,FR,-0.00000,158.47036,240.52781,1.51781
271,0.01000,3,FR,-0.00000,126.53780,277.05238,2.18948
271,0.01000,4,FR,-0.00000,149.29950,261.13666,1.74908
271,0.01000,5,FR,-0.00000,125.30171,299.47697,2.39005
271,0.01000,6,FR,-0.00000,172.10488,290.19124,1.68613
271,0.01000,7,FR,-0.00000,144.72178,266.98983,1.84485
271,0.01000,8,FR,-0.00000,175.48869,333.67054,1.90138
271,0.01000,9,FR,-0.00000,168.25535,302.67056,1.79888
271,0.01000,10,FR,-0.00000,195.69450,302.74375,1.54702
271,0.05000,1,FR,-0.00000,193.09225,337.02711,1.74542
271,0.05000,2,FR,-0.00000,200.41495,305.41887,1.52393
271,0.05000,3,FR,-0.00000,175.65980,321.30201,1.82912
271,0.05000,4,FR,-0.00000,181.36071,341.86427,1.88500
271,0.05000,5,FR,-0.00000,167.08376,363.76969,2.17717
271,0.05000,6,FR,-0.00000,197.45768,365.09675,1.84899
271,0.05000,7,FR,-0.00000,188.11145,336.66462,1.78971
271,0.05000,8,FR,-0.00000,211.46305,381.92455,1.80611
271,0.05000,9,FR,-0.00000,205.97404,340.59445,1.65358
271,0.05000,10,FR,-0.00000,233.45822,370.57553,1.58733
271,0.10000,1,FR,-0.00000,225.13722,423.05561,1.87910
271,0.10000,2,FR,-0.00000,234.50150,357.35671,1.52390
271,0.10000,3,FR,-0.00000,214.36683,374.32237,1.74618
271,0.10000,4,FR,-0.00000,213.44644,381.88904,1.78916
271,0.10000,5,FR,-0.00000,198.33076,416.86295,2.10186
271,0.10000,6,FR,6.30350,224.77352,409.20090,1.77084
271,0.10000,7,FR,-0.00000,219.97708,397.23038,1.80578
271,0.10000,8,FR,3.74225,234.10188,427.42058,1.79706
271,0.10000,9,FR,-0.00000,246.67992,381.57063,1.54682
271,0.10000,10,FR,2.36774,257.42139,415.79485,1.60051
301,0.01000,1,FR,-0.00000,108.33110,213.21088,1.96814
301,0.01000,2,FR,-0.00000,109.43520,228.59809,2.08889
301,0.01000,3,FR,-0.00000,141.61935,259.25344,1.83064
301,0.01000,4,FR,-0.00000,123.27781,201.09858,1.63126
301,0.01000,5,FR,-0.00000,125.31826,294.61077,2.35090
301,0.01000,6,FR,-0.00000,120.35046,257.80489,2.14212
301,0.01000,7,FR,-0.00000,126.93228,296.42616,2.33531
301,0.01000,8,FR,-0.00000,141.89370,274.68550,1.93585
301,0.01000,9,FR,-0.00000,126.29415,248.63464,1.96869
301,0.01000,10,FR,-0.00000,149.29864,271.42448,1.81800
301,0.05000,1,FR,-0.00000,151.28205,283.45607,1.87369
301,0.05000,2,FR,-0.00000,135.12985,287.85583,2.13022
301,0.05000,3,FR,-0.00000,174.45820,305.52646,1.75129
301,0.05000,4,FR,-0.00000,156.66699,288.54887,1.84180
301,0.05000,5,FR,-0.00000,151.58202,332.21033,2.19162
301,0.05000,6,FR,-0.00000,170.41700,306.06332,1.79597
301,0.05000,7,FR,-0.00000,182.34812,343.17807,1.88199
301,0.05000,8,FR,-0.00000,173.63805,351.15717,2.02235
301,0.05000,9,FR,-0.00000,176.50156,311.54167,1.76509
301,0.05000,10,FR,-0.00000,197.39194,333.82288,1.69117
301,0.10000,1,FR,-0.00000,190.49201,337.82927,1.77346
301,0.10000,2,FR,23.41174,163.65209,356.10718,1.90367
301,0.10000,3,FR,20.40231,199.93741,357.50700,1.62253
301,0.10000,4,FR,31.46505,180.43470,332.11463,1.56732
301,0.10000,5,FR,30.89102,180.49288,372.17441,1.76066
301,0.10000,6,FR,36.81871,202.43531,362.25327,1.51409
301,0.10000,7,FR,22.71165,209.05072,396.90158,1.71254
301,0.10000,8,FR,60.90487,196.52712,404.39193,1.57087
301,0.10000,9,FR,16.78586,202.04244,352.62919,1.61144
301,0.10000,10,FR,6.47615,222.34403,370.13021,1.61756
332,0.01000,1,FR,-0.00000,99.15917,177.86841,1.79377
332,0.01000,2,FR,-0.00000,104.56346,151.29083,1.44688
332,0.01000,3,FR,-0.00000,110.79114,176.39420,1.59213
332,0.01000,4,FR,-0.00000,131.13838,175.22165,1.33616
332,0.01000,5,FR,-0.00000,75.99437,149.39817,1.96591
332,0.01000,6,FR,-0.00000,88.20244,157.59234,1.78671
332,0.01000,7,FR,-0.00000,68.68087,154.42941,2.24851
332,0.01000,8,FR,-0.00000,78.44534,162.30439,2.06901
332,0.01000,9,FR,-0.00000,95.39595,152.83442,1.60211
332,0.01000,10,FR,-0.00000,92.28166,138.91608,1.50535
332,0.05000,1,FR,-0.00000,120.89433,215.88009,1.78569
332,0.05000,2,FR,-0.00000,123.31763,217.70915,1.76543
332,0.05000,3,FR,-0.00000,137.41359,200.98165,1.46260
332,0.05000,4,FR,-0.00000,147.33144,206.34580,1.40056
332,0.05000,5,FR,-0.00000,105.93190,214.26142,2.02263
332,0.05000,6,FR,-0.00000,108.21443,214.44716,1.98169
332,0.05000,7,FR,-0.00000,118.90579,206.46044,1.73634
332,0.05000,8,FR,-0.00000,117.60473,213.92391,1.81901
332,0.05000,9,FR,-0.00000,117.62699,198.19437,1.68494
332,0.05000,10,FR,-0.00000,119.90261,201.94325,1.68423
332,0.10000,1,FR,-0.00000,139.75179,241.49745,1.72805
332,0.10000,2,FR,34.96715,138.69755,299.85687,1.72664
332,0.10000,3,FR,0.71475,152.32845,235.42577,1.53830
332,0.10000,4,FR,-0.00000,154.56526,236.35541,1.52916
332,0.10000,5,FR,10.01134,136.11444,272.14714,1.86242
332,0.10000,6,FR,1.14556,124.20759,271.09389,2.16264
332,0.10000,7,FR,4.94321,138.09562,253.41499,1.77165
332,0.10000,8,FR,14.64797,141.36709,252.06362,1.61564
332,0.10000,9,FR,-0.00000,136.02795,238.67572,1.75461
332,0.10000,10,FR,-0.00000,136.57459,244.04031,1.78686
362,0.01000,1,FR,-0.00000,99.58719,289.88010,2.91082
362,0.01000,2,FR,32.00933,79.36139,315.39190,2.83191
362,0.01000,3,FR,39.03909,109.86933,278.50503,1.87031
362,0.01000,4,FR,-0.00000,112.00428,233.69947,2.08652
362,0.01000,5,FR,-0.00000,107.81467,303.16928,2.81195
362,0.01000,6,FR,-0.00000,107.09697,280.03634,2.61479
362,0.01000,7,FR,-0.00000,135.70644,213.42347,1.57268
362,0.01000,8,FR,-0.00000,117.58926,307.18892,2.61239
362,0.01000,9,FR,2.80195,106.04759,259.64574,2.38536
362,0.01000,10,FR,-0.00000,100.90818,290.68446,2.88068
362,0.05000,1,FR,126.24283,130.10818,432.61618,1.68759
362,0.05000,2,FR,179.34001,114.86806,534.61866,1.81714
362,0.05000,3,FR,212.89435,136.40671,475.85328,1.36230
362,0.05000,4,FR,153.15204,132.89277,353.65672,1.23637
362,0.05000,5,FR,91.97104,136.33084,409.98044,1.79578
362,0.05000,6,FR,100.21372,143.53567,431.51757,1.77033
362,0.05000,7,FR,15.58017,152.08458,307.45402,1.83374
362,0.05000,8,FR,104.07719,141.73266,449.62345,1.82915
362,0.05000,9,FR,71.39905,134.23062,362.54471,1.76310
362,0.05000,10,FR,181.13656,143.02984,437.93832,1.35097
362,0.10000,1,FR,329.98597,152.23897,611.51317,1.26811
362,0.10000,2,FR,469.88442,141.95125,788.31572,1.28844
362,0.10000,3,FR,341.36424,148.62655,638.89150,1.30388
362,0.10000,4,FR,235.95964,156.53086,532.72901,1.35730
362,0.10000,5,FR,290.00617,156.14786,558.67057,1.25219
362,0.10000,6,FR,484.84283,159.92452,788.66800,1.22318
362,0.10000,7,FR,76.84181,163.43463,379.99014,1.58147
362,0.10000,8,FR,322.53145,153.91159,640.79881,1.34496
362,0.10000,9,FR,314.77934,151.13444,558.15268,1.19797
362,0.10000,10,FR,406.77073,164.48003,705.17965,1.23445
