forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,HR,-0.00000,0.04028,0.34074,8.45929
271,0.01000,2,HR,-0.00000,-0.00000,0.21221,---
271,0.01000,3,HR,-0.00000,-0.00000,0.33812,---
271,0.01000,4,HR,-0.00000,-0.00000,0.33469,---
271,0.01000,5,HR,-0.00000,0.09132,0.28250,3.09352
271,0.01000,6,HR,-0.00000,0.05802,0.23838,4.10858
271,0.01000,7,HR,-0.00000,0.04158,0.54075,13.00505
271,0.01000,8,HR,-0.00000,0.03635,0.40377,11.10784
271,0.01000,9,HR,-0.00000,-0.00000,0.32951,---
271,0.01000,10,HR,-0.00000,0.04530,0.23312,5.14614
271,0.05000,1,HR,-0.00000,0.18376,0.66221,3.60367
271,0.05000,2,HR,-0.00000,0.11059,0.54686,4.94493
271,0.05000,3,HR,-0.00000,0.15343,0.66044,4.30450
271,0.05000,4,HR,-0.00000,0.09390,0.57506,6.12417
271,0.05000,5,HR,-0.00000,0.16555,0.53259,3.21709
271,0.05000,6,HR,-0.00000,0.16201,0.68030,4.19912
271,0.05000,7,HR,-0.00000,0.10701,0.81500,7.61611
271,0.05000,8,HR,-0.00000,0.15200,0.65525,4.31086
271,0.05000,9,HR,0.00000,0.19536,0.76128,3.89681
271,0.05000,10,HR,-0.00000,0.17223,0.57055,3.31272
271,0.10000,1,HR,0.00161,0.30481,1.00766,3.28849
271,0.10000,2,HR,0.00192,0.22932,0.87409,3.78001
271,0.10000,3,HR,0.01141,0.27334,0.88289,3.10058
271,0.10000,4,HR,0.00745,0.17297,0.86465,4.79243
271,0.10000,5,HR,0.00976,0.25322,0.75885,2.88558
271,0.10000,6,HR,0.00800,0.27085,1.03055,3.69571
271,0.10000,7,HR,-0.00000,0.21698,1.17455,5.41317
271,0.10000,8,HR,-0.00000,0.27586,0.94032,3.40869
271,0.10000,9,HR,0.00622,0.29658,1.13345,3.74323
271,0.10000,10,HR,-0.00000,0.32994,1.12271,3.40277
301,0.01000,1,HR,-0.00000,0.15820,0.70932,4.48369
301,0.01000,2,HR,-0.00000,0.09878,0.94112,9.52743
301,0.01000,3,HR,-0.00000,0.12707,0.92631,7.28976
301,0.01000,4,HR,-0.00000,0.07006,0.59586,8.50500
301,0.01000,5,HR,-0.00000,0.28691,0.76160,2.65449
301,0.01000,6,HR,-0.00000,0.11858,0.64507,5.43996
301,0.01000,7,HR,-0.00000,0.06959,0.71431,10.26455
301,0.01000,8,HR,-0.00000,0.14792,0.49319,3.33417
301,0.01000,9,HR,-0.00000,0.09170,0.98281,10.71767
301,0.01000,10,HR,-0.00000,0.08369,0.61240,7.31748
301,0.05000,1,HR,-0.00000,0.36483,1.29866,3.55963
301,0.05000,2,HR,-0.00000,0.23665,1.37435,5.80752
301,0.05000,3,HR,-0.00000,0.27437,1.45486,5.30255
301,0.05000,4,HR,-0.00000,0.21164,0.93318,4.40928
301,0.05000,5,HR,0.00585,0.36545,1.11322,2.99817
301,0.05000,6,HR,-0.00000,0.33241,1.37286,4.13002
301,0.05000,7,HR,-0.00000,0.35359,1.07745,3.04717
301,0.05000,8,HR,-0.00000,0.29587,0.90669,3.06449
301,0.05000,9,HR,-0.00000,0.23073,1.39545,6.04798
301,0.05000,10,HR,-0.00000,0.22447,1.19231,5.31167
301,0.10000,1,HR,0.00434,0.57139,1.67264,2.90525
301,0.10000,2,HR,-0.00000,0.39488,1.91858,4.85864
301,0.10000,3,HR,0.01049,0.43384,1.96360,4.41924
301,0.10000,4,HR,-0.00000,0.34075,1.35022,3.96249
301,0.10000,5,HR,0.00585,0.49376,1.54449,3.09139
301,0.10000,6,HR,-0.00000,0.49217,1.76586,3.58791
301,0.10000,7,HR,-0.00000,0.49939,1.49788,2.99942
301,0.10000,8,HR,-0.00000,0.45326,1.26796,2.79742
301,0.10000,9,HR,-0.00000,0.38858,1.88521,4.85154
301,0.10000,10,HR,0.00000,0.37985,1.54435,4.06568
332,0.01000,1,HR,-0.00000,0.09830,0.50181,5.10488
332,0.01000,2,HR,-0.00000,0.18262,0.59343,3.24953
332,0.01000,3,HR,-0.00000,0.13426,0.43024,3.20453
332,0.01000,4,HR,-0.00000,0.06094,0.68371,11.21940
332,0.01000,5,HR,-0.00000,0.19877,0.53188,2.67586
332,0.01000,6,HR,-0.00000,0.12465,0.82915,6.65183
332,0.01000,7,HR,-0.00000,0.13729,0.58219,4.24059
332,0.01000,8,HR,-0.00000,0.16087,0.40976,2.54715
332,0.01000,9,HR,-0.00000,0.10259,0.72623,7.07896
332,0.01000,10,HR,-0.00000,0.22338,0.50549,2.26292
332,0.05000,1,HR,-0.00000,0.36959,0.97646,2.64201
332,0.05000,2,HR,-0.00000,0.37647,1.10096,2.92443
332,0.05000,3,HR,-0.00000,0.39061,0.94307,2.41435
332,0.05000,4,HR,-0.00000,0.23154,1.27528,5.50782
332,0.05000,5,HR,-0.00000,0.32686,0.84966,2.59946
332,0.05000,6,HR,-0.00000,0.26237,1.39578,5.31989
332,0.05000,7,HR,-0.00000,0.27081,1.16726,4.31025
332,0.05000,8,HR,-0.00000,0.35302,0.97352,2.75769
332,0.05000,9,HR,-0.00000,0.35924,1.28170,3.56781
332,0.05000,10,HR,-0.00000,0.36295,0.94817,2.61240
332,0.10000,1,HR,-0.00000,0.58967,1.38872,2.35508
332,0.10000,2,HR,-0.00000,0.57904,1.50955,2.60699
332,0.10000,3,HR,-0.00000,0.62090,1.38145,2.22492
332,0.10000,4,HR,-0.00000,0.39342,1.65177,4.19849
332,0.10000,5,HR,-0.00000,0.49959,1.22783,2.45768
332,0.10000,6,HR,0.11566,0.44044,2.15378,3.87301
332,0.10000,7,HR,-0.00000,0.43008,1.60168,3.72414
332,0.10000,8,HR,0.01054,0.50030,1.62235,3.17585
332,0.10000,9,HR,-0.00000,0.56943,1.49942,2.63319
332,0.10000,10,HR,-0.00000,0.51097,1.34180,2.62599
362,0.01000,1,HR,-0.00000,0.13593,0.59875,4.40484
362,0.01000,2,HR,-0.00000,0.11030,0.70196,6.36410
362,0.01000,3,HR,-0.00000,0.09915,0.38550,3.88805
362,0.01000,4,HR,-0.00000,0.11702,0.70434,6.01897
362,0.01000,5,HR,-0.00000,0.11027,0.78154,7.08751
362,0.01000,6,HR,-0.00000,0.18480,0.52543,2.84324
362,0.01000,7,HR,-0.00000,0.11910,0.67755,5.68892
362,0.01000,8,HR,-0.00000,0.11268,0.58340,5.17749
362,0.01000,9,HR,-0.00000,0.28588,0.92385,3.23160
362,0.01000,10,HR,-0.00000,0.07446,0.38310,5.14504
362,0.05000,1,HR,-0.00000,0.36779,0.99021,2.69232
362,0.05000,2,HR,-0.00000,0.23238,1.21316,5.22059
362,0.05000,3,HR,-0.00000,0.27357,0.92515,3.38177
362,0.05000,4,HR,-0.00000,0.29355,0.97366,3.31685
362,0.05000,5,HR,-0.00000,0.32886,1.09554,3.33133
362,0.05000,6,HR,-0.00000,0.46470,0.81845,1.76124
362,0.05000,7,HR,-0.00000,0.28769,1.06357,3.69693
362,0.05000,8,HR,-0.00000,0.37837,0.98290,2.59772
362,0.05000,9,HR,-0.00000,0.46669,1.22087,2.61602
362,0.05000,10,HR,-0.00000,0.32306,0.96592,2.98991
362,0.10000,1,HR,-0.00000,0.48796,1.42411,2.91850
362,0.10000,2,HR,-0.00000,0.36353,1.57890,4.34325
362,0.10000,3,HR,-0.00000,0.48456,1.57625,3.25295
362,0.10000,4,HR,0.00000,0.42503,1.28156,3.01522
362,0.10000,5,HR,0.00982,0.59382,1.32213,2.19026
362,0.10000,6,HR,-0.00000,0.60640,1.12377,1.85318
362,0.10000,7,HR,-0.00000,0.42270,1.45770,3.44855
362,0.10000,8,HR,0.00849,0.53336,1.26827,2.34063
362,0.10000,9,HR,-0.00000,0.68155,1.49817,2.19818
362,0.10000,10,HR,0.00518,0.50148,1.35186,2.66818
