forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,HU,-0.00000,0.06886,0.28810,4.18385
271,0.01000,2,HU,-0.00000,0.05554,0.43472,7.82715
271,0.01000,3,HU,-0.00000,0.12423,0.62338,5.01795
271,0.01000,4,HU,-0.00000,0.15514,0.43702,2.81694
271,0.01000,5,HU,-0.00000,0.17390,0.66739,3.83778
271,0.01000,6,HU,-0.00000,0.21828,0.81976,3.75554
271,0.01000,7,HU,-0.00000,0.22267,0.72720,3.26582
271,0.01000,8,HU,-0.00000,0.11445,0.44315,3.87200
271,0.01000,9,HU,-0.00000,0.21336,0.97816,4.58455
271,0.01000,10,HU,-0.00000,0.30154,0.60454,2.00484
271,0.05000,1,HU,-0.00000,0.19690,0.64719,3.28690
271,0.05000,2,HU,-0.00000,0.21710,0.80378,3.70235
271,0.05000,3,HU,-0.00000,0.34994,0.88479,2.52840
271,0.05000,4,HU,0.01191,0.29033,0.63760,2.10958
271,0.05000,5,HU,-0.00000,0.31919,0.95946,3.00592
271,0.05000,6,HU,0.00820,0.37200,1.00263,2.63711
271,0.05000,7,HU,-0.00000,0.35489,1.02612,2.89137
271,0.05000,8,HU,0.00703,0.23745,0.80086,3.27577
271,0.05000,9,HU,-0.00000,0.36483,1.19866,3.28553
271,0.05000,10,HU,-0.00000,0.44128,0.93326,2.11489
271,0.10000,1,HU,-0.00000,0.30824,1.02802,3.33513
271,0.10000,2,HU,-0.00000,0.37562,1.11002,2.95517
271,0.10000,3,HU,-0.00000,0.50654,1.08389,2.13979
271,0.10000,4,HU,0.01191,0.40150,0.87859,2.12523
271,0.10000,5,HU,0.00441,0.44161,1.18698,2.66127
271,0.10000,6,HU,0.00820,0.55203,1.17185,2.09173
271,0.10000,7,HU,-0.00000,0.45430,1.36214,2.99833
271,0.10000,8,HU,0.00703,0.37911,1.10679,2.86629
271,0.10000,9,HU,0.00872,0.51377,1.50349,2.87755
271,0.10000,10,HU,-0.00000,0.54964,1.17194,2.13220
301,0.01000,1,HU,-0.00000,0.28071,0.89875,3.20170
301,0.01000,2,HU,-0.00000,0.18481,1.08071,5.84768
301,0.01000,3,HU,-0.00000,0.22717,0.80617,3.54875
301,0.01000,4,HU,-0.00000,0.20276,1.21249,5.97993
301,0.01000,5,HU,-0.00000,0.32894,0.93358,2.83815
301,0.01000,6,HU,-0.00000,0.38978,1.01023,2.59180
301,0.01000,7,HU,-0.00000,0.17427,1.10136,6.31985
301,0.01000,8,HU,-0.00000,0.39286,1.01764,2.59034
301,0.01000,9,HU,-0.00000,0.17718,0.75292,4.24946
301,0.01000,10,HU,-0.00000,0.27860,0.86351,3.09946
301,0.05000,1,HU,-0.00000,0.49213,1.20279,2.44405
301,0.05000,2,HU,-0.00000,0.38098,1.34501,3.53040
301,0.05000,3,HU,-0.00000,0.37948,1.08802,2.86713
301,0.05000,4,HU,-0.00000,0.31872,1.63400,5.12676
301,0.05000,5,HU,0.02045,0.42657,1.28943,2.88450
301,0.05000,6,HU,-0.00000,0.53021,1.46519,2.76341
301,0.05000,7,HU,-0.00000,0.42826,1.46345,3.41720
301,0.05000,8,HU,-0.00000,0.53795,1.36426,2.53603
301,0.05000,9,HU,0.00937,0.40286,1.21142,2.93870
301,0.05000,10,HU,-0.00000,0.40814,1.30516,3.19782
301,0.10000,1,HU,0.01329,0.59464,1.62207,2.66819
301,0.10000,2,HU,0.06069,0.53977,1.59534,2.65686
301,0.10000,3,HU,-0.00000,0.50172,1.36425,2.71915
301,0.10000,4,HU,0.49513,0.43599,2.22835,2.39319
301,0.10000,5,HU,0.02045,0.55087,1.62703,2.84784
301,0.10000,6,HU,0.14620,0.64356,1.81709,2.30081
301,0.10000,7,HU,-0.00000,0.61541,1.85690,3.01734
