forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,IE,-0.00000,0.00086,0.01106,12.86047
271,0.01000,2,IE,-0.00000,-0.00000,0.00773,---
271,0.01000,3,IE,-0.00000,0.00018,0.01244,69.11111
271,0.01000,4,IE,-0.00000,-0.00000,0.01778,---
271,0.01000,5,IE,-0.00000,-0.00000,0.01221,---
271,0.01000,6,IE,-0.00000,0.00028,0.00627,22.39286
271,0.01000,7,IE,-0.00000,-0.00000,0.02454,---
271,0.01000,8,IE,-0.00000,0.00048,0.01248,26.00000
271,0.01000,9,IE,-0.00000,0.00072,0.01247,17.31944
271,0.01000,10,IE,-0.00000,0.00078,0.00698,8.94872
271,0.05000,1,IE,-0.00000,0.01504,0.03927,2.61104
271,0.05000,2,IE,-0.00000,0.01508,0.05915,3.92241
271,0.05000,3,IE,-0.00000,0.01633,0.04020,2.46173
271,0.05000,4,IE,-0.00000,0.00374,0.04223,11.29144
271,0.05000,5,IE,-0.00000,0.01810,0.04484,2.47735
271,0.05000,6,IE,-0.00000,0.01435,0.03387,2.36028
271,0.05000,7,IE,2.44520,0.02451,2.49047,1.00841
271,0.05000,8,IE,-0.00000,0.01672,0.03328,1.99043
271,0.05000,9,IE,-0.00000,0.01663,0.03941,2.36981
271,0.05000,10,IE,-0.00000,0.02294,0.03006,1.31037
271,0.10000,1,IE,1.75184,0.03343,1.78044,0.99729
271,0.10000,2,IE,0.06857,0.04450,0.07888,0.69762
271,0.10000,3,IE,2.53786,0.01266,2.54779,0.99893
271,0.10000,4,IE,3.02870,0.01543,3.05087,1.00221
271,0.10000,5,IE,1.41565,0.04866,1.44445,0.98644
271,0.10000,6,IE,0.07625,0.02592,0.08259,0.80836
271,0.10000,7,IE,19.65654,0.02619,19.71645,1.00171
271,0.10000,8,IE,3.05009,0.01187,3.07072,1.00286
271,0.10000,9,IE,7.24721,0.03735,7.26550,0.99738
271,0.10000,10,IE,0.07522,0.01490,0.10111,1.12195
301,0.01000,1,IE,-0.00000,-0.00000,0.01075,---
301,0.01000,2,IE,-0.00000,0.00055,0.02278,41.41818
301,0.01000,3,IE,-0.00000,-0.00000,0.01173,---
301,0.01000,4,IE,-0.00000,0.00040,0.01037,25.92500
301,0.01000,5,IE,-0.00000,-0.00000,0.00239,---
301,0.01000,6,IE,-0.00000,0.00071,0.00899,12.66197
301,0.01000,7,IE,-0.00000,0.00045,0.00795,17.66667
301,0.01000,8,IE,-0.00000,0.00073,0.01357,18.58904
301,0.01000,9,IE,-0.00000,-0.00000,0.00851,---
301,0.01000,10,IE,-0.00000,-0.00000,0.01122,---
301,0.05000,1,IE,-0.00000,0.02714,0.04298,1.58364
301,0.05000,2,IE,-0.00000,0.03095,0.06592,2.12989
301,0.05000,3,IE,-0.00000,0.01468,0.03606,2.45640
301,0.05000,4,IE,-0.00000,0.01511,0.03059,2.02449
301,0.05000,5,IE,-0.00000,0.01767,0.02828,1.60045
301,0.05000,6,IE,-0.00000,0.01985,0.04798,2.41713
301,0.05000,7,IE,-0.00000,0.01028,0.04284,4.16732
301,0.05000,8,IE,-0.00000,0.01649,0.05600,3.39600
301,0.05000,9,IE,-0.00000,0.03082,0.02445,0.79332
301,0.05000,10,IE,-0.00000,0.02728,0.04097,1.50183
301,0.10000,1,IE,1.79175,0.03250,1.80259,0.98813
301,0.10000,2,IE,12.32020,0.03173,12.34874,0.99974
301,0.10000,3,IE,-0.00000,0.03084,0.06572,2.13100
301,0.10000,4,IE,-0.00000,0.02728,0.05354,1.96261
301,0.10000,5,IE,1.71601,0.03010,1.72281,0.98666
301,0.10000,6,IE,-0.00000,0.03165,0.07198,2.27425
301,0.10000,7,IE,4.99950,0.02636,5.00300,0.99545
301,0.10000,8,IE,2.63474,0.02669,2.64844,0.99512
301,0.10000,9,IE,-0.00000,0.02828,0.06805,2.40629
301,0.10000,10,IE,0.13831,0.03736,0.17737,1.00968
332,0.01000,1,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,2,IE,-0.00000,-0.00000,0.00172,---
332,0.01000,3,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,4,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,5,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,6,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,7,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,8,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,9,IE,-0.00000,-0.00000,-0.00000,---
332,0.01000,10,IE,-0.00000,-0.00000,-0.00000,---
332,0.05000,1,IE,-0.00000,0.00615,0.01668,2.71220
332,0.05000,2,IE,-0.00000,0.01208,0.02527,2.09189
332,0.05000,3,IE,-0.00000,0.00762,0.02675,3.51050
332,0.05000,4,IE,-0.00000,0.00200,0.02856,14.28000
332,0.05000,5,IE,-0.00000,0.00733,0.02303,3.14188
332,0.05000,6,IE,-0.00000,0.00297,0.03571,12.02357
332,0.05000,7,IE,-0.00000,0.00946,0.03366,3.55814
332,0.05000,8,IE,-0.00000,0.00559,0.00821,1.46869
332,0.05000,9,IE,-0.00000,0.00261,0.03193,12.23372
332,0.05000,10,IE,-0.00000,0.00570,0.01889,3.31404
332,0.10000,1,IE,25.83896,0.00868,25.86656,1.00073
332,0.10000,2,IE,0.60985,0.01754,0.61819,0.98534
332,0.10000,3,IE,0.41302,0.01156,0.41302,0.97277
332,0.10000,4,IE,6.75725,0.00770,6.76946,1.00067
332,0.10000,5,IE,2.23733,0.00615,2.24640,1.00130
332,0.10000,6,IE,7.24036,0.00858,7.24329,0.99922
332,0.10000,7,IE,7.87944,0.00844,7.88523,0.99966
332,0.10000,8,IE,7.21782,0.00802,7.21842,0.99897
332,0.10000,9,IE,0.45677,0.00681,0.45677,0.98531
332,0.10000,10,IE,0.63093,0.01613,0.63093,0.97507
362,0.01000,1,IE,5.45065,-0.00000,5.45794,1.00134
362,0.01000,2,IE,36.81955,-0.00000,36.83981,1.00055
362,0.01000,3,IE,4.68557,-0.00000,4.70794,1.00477
362,0.01000,4,IE,-0.00000,-0.00000,0.02763,---
362,0.01000,5,IE,-0.00000,-0.00000,0.01905,---
362,0.01000,6,IE,25.78077,-0.00000,25.80039,1.00076
362,0.01000,7,IE,0.83472,-0.00000,0.83651,1.00214
362,0.01000,8,IE,5.04327,-0.00000,5.07225,1.00575
362,0.01000,9,IE,88.64600,-0.00000,88.65574,1.00011
362,0.01000,10,IE,47.59642,-0.00000,47.61162,1.00032
362,0.05000,1,IE,67.89327,0.00243,67.89930,1.00005
362,0.05000,2,IE,133.72479,0.00342,133.75023,1.00016
362,0.05000,3,IE,36.06557,0.00334,36.08794,1.00053
362,0.05000,4,IE,12.09903,0.00665,12.12819,1.00186
362,0.05000,5,IE,42.44162,0.00551,42.45994,1.00030
362,0.05000,6,IE,100.79162,0.00530,100.80229,1.00005
362,0.05000,7,IE,47.05716,0.01011,47.07118,1.00008
362,0.05000,8,IE,115.02267,0.00355,115.03264,1.00006
362,0.05000,9,IE,163.33325,0.01135,163.35896,1.00009
362,0.05000,10,IE,207.25933,0.00642,207.28739,1.00010
362,0.10000,1,IE,135.47022,0.00418,135.50450,1.00022
362,0.10000,2,IE,220.78126,0.01046,220.80643,1.00007
362,0.10000,3,IE,99.47832,0.00909,99.49769,1.00010
362,0.10000,4,IE,61.06771,0.00605,61.07479,1.00002
362,0.10000,5,IE,79.90792,0.00627,79.92142,1.00009
362,0.10000,6,IE,239.70165,0.00765,239.71771,1.00004
362,0.10000,7,IE,104.43043,0.01331,104.44084,0.99997
362,0.10000,8,IE,183.64963,0.00757,183.66004,1.00002
362,0.10000,9,IE,246.58399,0.00880,246.60534,1.00005
362,0.10000,10,IE,295.62060,0.01076,295.64547,1.00005
