forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,IT,-0.00000,379.69559,491.64745,1.29485
271,0.01000,2,IT,-0.00000,455.34359,559.65963,1.22909
271,0.01000,3,IT,-0.00000,436.61521,588.56947,1.34803
271,0.01000,4,IT,-0.00000,453.39465,618.98275,1.36522
271,0.01000,5,IT,-0.00000,433.78123,527.07234,1.21506
271,0.01000,6,IT,-0.00000,461.84055,522.73202,1.13185
271,0.01000,7,IT,-0.00000,463.67667,575.77220,1.24175
271,0.01000,8,IT,-0.00000,371.96122,500.48476,1.34553
271,0.01000,9,IT,-0.00000,408.05622,542.04435,1.32836
271,0.01000,10,IT,-0.00000,383.02963,590.06360,1.54052
271,0.05000,1,IT,-0.00000,505.03775,648.15573,1.28338
271,0.05000,2,IT,-0.00000,499.13778,610.22031,1.22255
271,0.05000,3,IT,-0.00000,571.49884,701.30001,1.22712
271,0.05000,4,IT,-0.00000,539.52054,717.96603,1.33075
271,0.05000,5,IT,-0.00000,505.79813,630.69173,1.24692
271,0.05000,6,IT,-0.00000,530.89239,629.59823,1.18592
271,0.05000,7,IT,-0.00000,529.73099,694.55732,1.31115
271,0.05000,8,IT,-0.00000,471.20422,588.44603,1.24881
271,0.05000,9,IT,-0.00000,486.84914,619.95002,1.27339
271,0.05000,10,IT,0.00531,475.75021,649.82877,1.36589
271,0.10000,1,IT,-0.00000,573.28230,717.14433,1.25094
271,0.10000,2,IT,-0.00000,553.79483,669.26594,1.20851
271,0.10000,3,IT,0.00754,641.12287,795.03656,1.24005
271,0.10000,4,IT,-0.00000,609.94947,776.36182,1.27283
271,0.10000,5,IT,0.04085,561.00414,716.51362,1.27711
271,0.10000,6,IT,4.09489,577.31097,720.24233,1.23879
271,0.10000,7,IT,0.73846,581.17282,764.49051,1.31376
271,0.10000,8,IT,-0.00000,554.67077,670.44709,1.20873
271,0.10000,9,IT,0.16394,568.35954,701.47101,1.23385
271,0.10000,10,IT,1.64088,545.72016,723.95456,1.32263
301,0.01000,1,IT,-0.00000,316.40894,517.85356,1.63666
301,0.01000,2,IT,-0.00000,357.38774,563.94900,1.57798
301,0.01000,3,IT,-0.00000,382.76825,538.59127,1.40709
301,0.01000,4,IT,-0.00000,374.70103,479.17850,1.27883
301,0.01000,5,IT,-0.00000,375.20409,563.10567,1.50080
301,0.01000,6,IT,-0.00000,322.47565,452.18005,1.40221
301,0.01000,7,IT,-0.00000,410.89276,592.83405,1.44280
301,0.01000,8,IT,-0.00000,247.69934,497.45527,2.00830
301,0.01000,9,IT,-0.00000,442.13372,638.36246,1.44382
301,0.01000,10,IT,-0.00000,434.53160,621.72192,1.43079
301,0.05000,1,IT,-0.00000,429.82785,649.86230,1.51191
301,0.05000,2,IT,-0.00000,452.78828,662.56275,1.46329
301,0.05000,3,IT,-0.00000,455.53700,616.89251,1.35421
301,0.05000,4,IT,-0.00000,456.02464,570.40403,1.25082
301,0.05000,5,IT,-0.00000,489.67120,640.91894,1.30888
301,0.05000,6,IT,-0.00000,435.41236,575.18516,1.32101
301,0.05000,7,IT,-0.00000,485.21045,672.40165,1.38579
301,0.05000,8,IT,-0.00000,400.81823,606.86756,1.51407
301,0.05000,9,IT,-0.00000,533.66189,720.34602,1.34982
301,0.05000,10,IT,-0.00000,524.65264,693.91893,1.32263
301,0.10000,1,IT,-0.00000,506.17804,729.71375,1.44161
301,0.10000,2,IT,3.03507,544.55970,746.25935,1.36279
301,0.10000,3,IT,-0.00000,529.64323,703.05478,1.32741
301,0.10000,4,IT,-0.00000,520.01788,663.56751,1.27605
301,0.10000,5,IT,-0.00000,533.99731,719.48700,1.34736
301,0.10000,6,IT,-0.00000,510.38966,651.69271,1.27685
301,0.10000,7,IT,-0.00000,549.96232,742.86776,1.35076
301,0.10000,8,IT,-0.00000,476.46423,693.27539,1.45504
301,0.10000,9,IT,-0.00000,588.28030,793.58111,1.34898
301,0.10000,10,IT,3.35307,590.20038,775.28007,1.30617
332,0.01000,1,IT,-0.00000,190.06667,316.56844,1.66557
332,0.01000,2,IT,-0.00000,267.89709,446.84217,1.66796
332,0.01000,3,IT,-0.00000,225.92519,290.08743,1.28400
332,0.01000,4,IT,-0.00000,202.81692,314.34376,1.54989
332,0.01000,5,IT,-0.00000,221.60908,272.41851,1.22928
332,0.01000,6,IT,-0.00000,245.56713,380.79986,1.55070
332,0.01000,7,IT,-0.00000,230.30325,337.78470,1.46670
332,0.01000,8,IT,-0.00000,207.48915,275.46996,1.32764
332,0.01000,9,IT,-0.00000,136.91816,261.40472,1.90920
332,0.01000,10,IT,-0.00000,226.49106,403.87648,1.78319
332,0.05000,1,IT,-0.00000,279.85888,427.57403,1.52782
332,0.05000,2,IT,-0.00000,332.40395,497.41677,1.49642
332,0.05000,3,IT,-0.00000,305.58117,399.79367,1.30831
332,0.05000,4,IT,-0.00000,284.03797,423.28437,1.49024
332,0.05000,5,IT,-0.00000,267.97076,370.01382,1.38080
332,0.05000,6,IT,-0.00000,301.34994,455.17584,1.51046
332,0.05000,7,IT,-0.00000,297.84894,418.65174,1.40558
332,0.05000,8,IT,-0.00000,281.31208,391.79055,1.39273
332,0.05000,9,IT,-0.00000,233.91021,347.93445,1.48747
332,0.05000,10,IT,-0.00000,285.40918,467.31777,1.63736
332,0.10000,1,IT,-0.00000,333.49997,495.18827,1.48482
332,0.10000,2,IT,3.90994,385.29533,581.24941,1.49343
332,0.10000,3,IT,-0.00000,370.11160,476.21350,1.28668
332,0.10000,4,IT,-0.00000,350.81776,509.53735,1.45243
332,0.10000,5,IT,-0.00000,305.73014,470.30161,1.53829
332,0.10000,6,IT,-0.00000,337.66840,533.04230,1.57860
332,0.10000,7,IT,-0.00000,347.95174,494.02702,1.41981
332,0.10000,8,IT,-0.00000,341.80061,457.76910,1.33929
332,0.10000,9,IT,-0.00000,322.54347,446.85501,1.38541
332,0.10000,10,IT,-0.00000,338.46285,506.43206,1.49627
362,0.01000,1,IT,-0.00000,477.40511,551.82082,1.15588
362,0.01000,2,IT,-0.00000,542.59046,647.03071,1.19248
362,0.01000,3,IT,-0.00000,387.67865,537.72707,1.38704
362,0.01000,4,IT,-0.00000,405.36258,498.41160,1.22955
362,0.01000,5,IT,-0.00000,412.96742,523.24557,1.26704
362,0.01000,6,IT,-0.00000,529.47690,599.90186,1.13301
362,0.01000,7,IT,-0.00000,437.78518,594.76676,1.35858
362,0.01000,8,IT,-0.00000,547.10234,650.03070,1.18813
362,0.01000,9,IT,-0.00000,505.71509,582.93481,1.15269
362,0.01000,10,IT,-0.00000,529.94086,623.14284,1.17587
362,0.05000,1,IT,-0.00000,586.56772,629.16322,1.07262
362,0.05000,2,IT,-0.00000,590.77053,703.84367,1.19140
362,0.05000,3,IT,-0.00000,546.08027,659.62752,1.20793
362,0.05000,4,IT,-0.00000,537.79467,664.58075,1.23575
362,0.05000,5,IT,-0.00000,540.05859,656.43072,1.21548
362,0.05000,6,IT,-0.00000,598.12522,711.78949,1.19003
362,0.05000,7,IT,-0.00000,586.86869,690.08759,1.17588
362,0.05000,8,IT,-0.00000,601.15015,712.68867,1.18554
362,0.05000,9,IT,-0.00000,581.84622,656.77494,1.12878
362,0.05000,10,IT,-0.00000,613.60604,695.73380,1.13384
362,0.10000,1,IT,-0.00000,635.64486,710.90310,1.11840
362,0.10000,2,IT,-0.00000,633.62530,763.03336,1.20423
362,0.10000,3,IT,-0.00000,605.01282,743.70157,1.22923
362,0.10000,4,IT,-0.00000,617.51397,766.62487,1.24147
362,0.10000,5,IT,-0.00000,604.91784,717.32362,1.18582
362,0.10000,6,IT,-0.00000,655.26754,789.08796,1.20422
362,0.10000,7,IT,-0.00000,675.13296,786.58073,1.16508
362,0.10000,8,IT,-0.00000,652.49765,763.54244,1.17018
362,0.10000,9,IT,-0.00000,643.70140,715.54872,1.11162
362,0.10000,10,IT,-0.00000,675.86640,762.63129,1.12838
