forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,LT,-0.00000,-0.00000,0.50181,---
271,0.01000,2,LT,-0.00000,-0.00000,0.97542,---
271,0.01000,3,LT,-0.00000,-0.00000,0.22553,---
271,0.01000,4,LT,-0.00000,-0.00000,0.14449,---
271,0.01000,5,LT,-0.00000,-0.00000,0.17870,---
271,0.01000,6,LT,-0.00000,-0.00000,0.12690,---
271,0.01000,7,LT,-0.00000,-0.00000,0.40729,---
271,0.01000,8,LT,-0.00000,-0.00000,0.27369,---
271,0.01000,9,LT,-0.00000,-0.00000,0.42910,---
271,0.01000,10,LT,-0.00000,-0.00000,0.21503,---
271,0.05000,1,LT,-0.00000,0.14331,1.00723,7.02833
271,0.05000,2,LT,-0.00000,0.04175,1.44763,34.67377
271,0.05000,3,LT,0.00000,0.02445,0.83529,34.16319
271,0.05000,4,LT,-0.00000,0.00660,0.51276,77.69091
271,0.05000,5,LT,-0.00000,0.05193,0.47473,9.14173
271,0.05000,6,LT,-0.00000,0.08033,0.53485,6.65816
271,0.05000,7,LT,0.00091,0.03235,0.69327,20.84396
271,0.05000,8,LT,-0.00000,0.00521,1.07060,205.48944
271,0.05000,9,LT,-0.00000,0.12153,0.78545,6.46301
271,0.05000,10,LT,-0.00000,0.04776,0.69742,14.60260
271,0.10000,1,LT,-0.00000,0.23476,1.57203,6.69633
271,0.10000,2,LT,0.07694,0.12371,1.86326,9.28612
271,0.10000,3,LT,0.00445,0.20374,1.32427,6.36087
271,0.10000,4,LT,0.00195,0.11856,1.04819,8.69795
271,0.10000,5,LT,-0.00000,0.16008,0.86422,5.39868
271,0.10000,6,LT,-0.00000,0.18700,0.94159,5.03524
271,0.10000,7,LT,0.00347,0.12318,1.08062,8.53233
271,0.10000,8,LT,0.00990,0.14389,2.04675,13.30873
271,0.10000,9,LT,-0.00000,0.21170,1.29250,6.10534
271,0.10000,10,LT,0.00431,0.17597,1.18714,6.58498
301,0.01000,1,LT,-0.00000,-0.00000,0.50756,---
301,0.01000,2,LT,-0.00000,0.01229,0.80878,65.80797
301,0.01000,3,LT,-0.00000,0.02741,0.40711,14.85261
301,0.01000,4,LT,-0.00000,0.02170,0.72142,33.24516
301,0.01000,5,LT,-0.00000,-0.00000,0.44590,---
301,0.01000,6,LT,-0.00000,-0.00000,0.50229,---
301,0.01000,7,LT,-0.00000,0.02359,0.37816,16.03052
301,0.01000,8,LT,-0.00000,-0.00000,0.64659,---
301,0.01000,9,LT,-0.00000,-0.00000,0.30157,---
301,0.01000,10,LT,-0.00000,-0.00000,0.25777,---
301,0.05000,1,LT,-0.00000,0.06515,1.19209,18.29762
301,0.05000,2,LT,-0.00000,0.10835,1.45907,13.46627
301,0.05000,3,LT,0.01297,0.15548,1.11894,6.64256
301,0.05000,4,LT,0.00907,0.16986,1.13310,6.33264
301,0.05000,5,LT,-0.00000,0.13264,0.95305,7.18524
301,0.05000,6,LT,0.01047,0.05736,0.87527,12.90388
301,0.05000,7,LT,-0.00000,0.12836,0.76623,5.96938
301,0.05000,8,LT,-0.00000,0.11221,0.98680,8.79423
301,0.05000,9,LT,-0.00000,0.12965,0.59819,4.61388
301,0.05000,10,LT,-0.00000,0.05837,0.75717,12.97190
301,0.10000,1,LT,0.00775,0.14750,1.70228,10.96477
301,0.10000,2,LT,0.00652,0.25049,2.26539,8.81440
301,0.10000,3,LT,0.01297,0.27577,1.68340,5.83016
301,0.10000,4,LT,0.00907,0.29003,1.83874,6.14758
301,0.10000,5,LT,0.01177,0.22579,1.73957,7.32266
301,0.10000,6,LT,0.01047,0.16280,1.34628,7.76984
301,0.10000,7,LT,0.00681,0.20349,1.22177,5.80965
301,0.10000,8,LT,-0.00000,0.23721,1.50097,6.32760
301,0.10000,9,LT,0.00533,0.26287,1.11400,4.15362
301,0.10000,10,LT,-0.00000,0.17837,1.30035,7.29018
332,0.01000,1,LT,-0.00000,-0.00000,0.31812,---
332,0.01000,2,LT,-0.00000,-0.00000,0.53760,---
332,0.01000,3,LT,-0.00000,-0.00000,0.31176,---
332,0.01000,4,LT,-0.00000,-0.00000,0.67178,---
332,0.01000,5,LT,-0.00000,-0.00000,0.78242,---
332,0.01000,6,LT,-0.00000,0.12699,0.87273,6.87243
332,0.01000,7,LT,-0.00000,-0.00000,0.58092,---
332,0.01000,8,LT,-0.00000,-0.00000,0.25079,---
332,0.01000,9,LT,-0.00000,0.05901,0.59028,10.00305
332,0.01000,10,LT,-0.00000,-0.00000,0.22201,---
332,0.05000,1,LT,-0.00000,0.07664,0.92413,12.05806
332,0.05000,2,LT,-0.00000,0.08760,1.12165,12.80422
332,0.05000,3,LT,-0.00000,0.09450,0.83555,8.84180
332,0.05000,4,LT,-0.00000,0.06206,1.42622,22.98131
332,0.05000,5,LT,-0.00000,0.12502,1.54414,12.35114
332,0.05000,6,LT,-0.00000,0.17311,1.74924,10.10479
332,0.05000,7,LT,-0.00000,0.10878,1.19821,11.01498
332,0.05000,8,LT,-0.00000,0.17851,0.72622,4.06823
332,0.05000,9,LT,-0.00000,0.14446,1.17758,8.15160
332,0.05000,10,LT,-0.00000,0.12844,0.76340,5.94363
332,0.10000,1,LT,0.01114,0.24148,1.83790,7.27535
332,0.10000,2,LT,-0.00000,0.21527,1.85662,8.62461
332,0.10000,3,LT,-0.00000,0.18869,1.56216,8.27898
332,0.10000,4,LT,0.37336,0.16104,2.17690,4.07354
332,0.10000,5,LT,-0.00000,0.27883,2.22073,7.96446
332,0.10000,6,LT,0.33196,0.28683,2.63272,4.25463
332,0.10000,7,LT,-0.00000,0.22244,1.88209,8.46111
332,0.10000,8,LT,-0.00000,0.26899,1.30423,4.84862
332,0.10000,9,LT,0.00872,0.27497,1.86800,6.58465
332,0.10000,10,LT,0.05498,0.20241,1.42661,5.54260
362,0.01000,1,LT,-0.00000,-0.00000,0.50877,---
362,0.01000,2,LT,-0.00000,-0.00000,0.68634,---
362,0.01000,3,LT,-0.00000,-0.00000,0.37688,---
362,0.01000,4,LT,0.39310,-0.00000,1.29178,3.28614
362,0.01000,5,LT,-0.00000,-0.00000,0.29520,---
362,0.01000,6,LT,-0.00000,-0.00000,0.31605,---
362,0.01000,7,LT,-0.00000,-0.00000,0.67439,---
362,0.01000,8,LT,-0.00000,-0.00000,0.26751,---
362,0.01000,9,LT,-0.00000,-0.00000,0.94164,---
362,0.01000,10,LT,-0.00000,-0.00000,0.51951,---
362,0.05000,1,LT,0.13427,0.01403,0.98935,6.67127
362,0.05000,2,LT,1.94024,0.00025,2.89219,1.49044
362,0.05000,3,LT,-0.00000,0.00655,0.95647,146.02595
362,0.05000,4,LT,5.81877,-0.00000,7.79700,1.33997
