forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,LU,-0.00000,0.03822,0.26178,6.84929
271,0.01000,2,LU,-0.00000,0.10026,0.18620,1.85717
271,0.01000,3,LU,-0.00000,-0.00000,0.11912,---
271,0.01000,4,LU,-0.00000,0.14296,0.41940,2.93369
271,0.01000,5,LU,-0.00000,0.05628,0.26431,4.69634
271,0.01000,6,LU,-0.00000,0.07485,0.29513,3.94295
271,0.01000,7,LU,-0.00000,0.09553,0.29237,3.06050
271,0.01000,8,LU,-0.00000,0.08529,0.25186,2.95298
271,0.01000,9,LU,-0.00000,0.09698,0.19317,1.99185
271,0.01000,10,LU,-0.00000,0.18278,0.43109,2.35852
271,0.05000,1,LU,-0.00000,0.30044,0.66022,2.19751
271,0.05000,2,LU,-0.00000,0.21900,0.48704,2.22393
271,0.05000,3,LU,-0.00000,0.26973,0.53155,1.97067
271,0.05000,4,LU,-0.00000,0.26738,0.83890,3.13748
271,0.05000,5,LU,-0.00000,0.26001,0.71795,2.76124
271,0.05000,6,LU,-0.00000,0.31018,0.67544,2.17757
271,0.05000,7,LU,-0.00000,0.27742,0.60684,2.18744
271,0.05000,8,LU,-0.00000,0.22898,0.66541,2.90597
271,0.05000,9,LU,-0.00000,0.29445,0.87588,2.97463
271,0.05000,10,LU,-0.00000,0.46028,0.70181,1.52475
271,0.10000,1,LU,-0.00000,0.71154,1.09328,1.53650
271,0.10000,2,LU,0.00952,0.48384,0.88955,1.80304
271,0.10000,3,LU,0.00959,0.45440,1.02602,2.21130
271,0.10000,4,LU,-0.00000,0.74176,1.32377,1.78463
271,0.10000,5,LU,0.02450,0.48294,1.23649,2.43672
271,0.10000,6,LU,-0.00000,0.49848,1.22146,2.45037
271,0.10000,7,LU,0.00831,0.70403,1.11866,1.57040
271,0.10000,8,LU,0.01928,0.40327,1.08233,2.56142
271,0.10000,9,LU,0.00586,0.56478,1.42031,2.48898
271,0.10000,10,LU,-0.00000,0.73041,1.16020,1.58842
301,0.01000,1,LU,-0.00000,0.02873,0.48808,16.98851
301,0.01000,2,LU,-0.00000,-0.00000,0.27753,---
301,0.01000,3,LU,-0.00000,0.00028,0.36526,1304.50000
301,0.01000,4,LU,-0.00000,-0.00000,0.31009,---
301,0.01000,5,LU,-0.00000,-0.00000,0.13186,---
301,0.01000,6,LU,-0.00000,0.01953,0.38109,19.51306
301,0.01000,7,LU,-0.00000,-0.00000,0.12707,---
301,0.01000,8,LU,-0.00000,-0.00000,0.42973,---
301,0.01000,9,LU,-0.00000,-0.00000,0.33327,---
301,0.01000,10,LU,-0.00000,0.00888,0.23241,26.17230
301,0.05000,1,LU,-0.00000,0.22278,0.85174,3.82323
301,0.05000,2,LU,0.00473,0.24610,0.57786,2.30379
301,0.05000,3,LU,0.00038,0.26230,0.69379,2.64120
301,0.05000,4,LU,0.00045,0.24028,0.65388,2.71624
301,0.05000,5,LU,-0.00000,0.24678,0.58613,2.37511
301,0.05000,6,LU,-0.00000,0.36407,0.84699,2.32645
301,0.05000,7,LU,-0.00000,0.17234,0.41815,2.42631
301,0.05000,8,LU,-0.00000,0.13671,0.66676,4.87719
301,0.05000,9,LU,0.00049,0.21225,0.58062,2.72925
301,0.05000,10,LU,0.01503,0.24223,0.71418,2.77610
301,0.10000,1,LU,0.00463,0.46629,1.25109,2.65669
301,0.10000,2,LU,0.00473,0.50288,0.92663,1.82548
301,0.10000,3,LU,0.00941,0.42063,1.11513,2.59308
301,0.10000,4,LU,0.00582,0.51321,0.99930,1.92532
301,0.10000,5,LU,0.01948,0.50086,1.07233,2.06083
301,0.10000,6,LU,-0.00000,0.65924,1.28637,1.95129
301,0.10000,7,LU,0.02089,0.48340,0.81542,1.61697
301,0.10000,8,LU,0.00598,0.38802,1.07532,2.72924
301,0.10000,9,LU,0.00049,0.46988,0.91575,1.94687
301,0.10000,10,LU,-0.00000,0.52276,1.08212,2.07001
332,0.01000,1,LU,-0.00000,0.14145,0.48660,3.44008
332,0.01000,2,LU,-0.00000,-0.00000,0.14708,---
332,0.01000,3,LU,-0.00000,-0.00000,0.11840,---
332,0.01000,4,LU,-0.00000,-0.00000,0.18117,---
332,0.01000,5,LU,-0.00000,-0.00000,0.37500,---
332,0.01000,6,LU,-0.00000,-0.00000,0.28236,---
332,0.01000,7,LU,-0.00000,0.01588,0.52442,33.02393
332,0.01000,8,LU,-0.00000,-0.00000,0.15343,---
332,0.01000,9,LU,-0.00000,-0.00000,0.05670,---
332,0.01000,10,LU,-0.00000,-0.00000,0.40070,---
332,0.05000,1,LU,-0.00000,0.38583,1.12013,2.90317
332,0.05000,2,LU,-0.00000,0.21720,0.51902,2.38959
332,0.05000,3,LU,0.00371,0.19118,0.44911,2.30443
332,0.05000,4,LU,-0.00000,0.10880,0.68622,6.30717
332,0.05000,5,LU,-0.00000,0.20274,0.84714,4.17846
332,0.05000,6,LU,-0.00000,0.22584,0.63896,2.82926
332,0.05000,7,LU,-0.00000,0.20964,0.83809,3.99776
332,0.05000,8,LU,-0.00000,0.22360,0.68256,3.05259
332,0.05000,9,LU,-0.00000,0.11448,0.36772,3.21209
332,0.05000,10,LU,-0.00000,0.11075,0.88781,8.01634
332,0.10000,1,LU,-0.00000,0.60877,1.69314,2.78125
332,0.10000,2,LU,-0.00000,0.46826,0.94869,2.02599
332,0.10000,3,LU,0.01121,0.45261,0.86764,1.87064
332,0.10000,4,LU,0.00612,0.32581,1.14565,3.45148
332,0.10000,5,LU,-0.00000,0.40249,1.26649,3.14664
332,0.10000,6,LU,-0.00000,0.46137,1.03571,2.24486
332,0.10000,7,LU,-0.00000,0.41974,1.19487,2.84669
332,0.10000,8,LU,-0.00000,0.50665,1.15900,2.28758
332,0.10000,9,LU,0.00307,0.37824,0.74896,1.96418
332,0.10000,10,LU,-0.00000,0.44182,1.40019,3.16914
362,0.01000,1,LU,-0.00000,-0.00000,0.42027,---
362,0.01000,2,LU,-0.00000,-0.00000,0.13589,---
362,0.01000,3,LU,-0.00000,-0.00000,0.30746,---
362,0.01000,4,LU,-0.00000,-0.00000,0.10537,---
362,0.01000,5,LU,-0.00000,-0.00000,0.29438,---
