forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,LV,-0.00000,-0.00000,0.00927,---
271,0.01000,2,LV,-0.00000,-0.00000,0.01866,---
271,0.01000,3,LV,-0.00000,-0.00000,0.00416,---
271,0.01000,4,LV,-0.00000,-0.00000,0.00583,---
271,0.01000,5,LV,-0.00000,-0.00000,0.00216,---
271,0.01000,6,LV,-0.00000,-0.00000,0.01182,---
271,0.01000,7,LV,-0.00000,-0.00000,0.02052,---
271,0.01000,8,LV,-0.00000,-0.00000,0.01183,---
271,0.01000,9,LV,-0.00000,-0.00000,0.00262,---
271,0.01000,10,LV,-0.00000,-0.00000,0.00575,---
271,0.05000,1,LV,-0.00000,0.01107,0.03374,3.04788
271,0.05000,2,LV,-0.00000,0.01250,0.04825,3.86000
271,0.05000,3,LV,0.01042,0.01173,0.03262,1.47269
271,0.05000,4,LV,0.02217,0.01957,0.03509,0.84068
271,0.05000,5,LV,-0.00000,0.01411,0.03814,2.70305
271,0.05000,6,LV,0.00905,0.02807,0.04689,1.26320
271,0.05000,7,LV,-0.00000,0.02287,0.05971,2.61084
271,0.05000,8,LV,-0.00000,0.03213,0.03891,1.21102
271,0.05000,9,LV,0.01024,0.01528,0.03342,1.30956
271,0.05000,10,LV,-0.00000,0.01452,0.03267,2.25000
271,0.10000,1,LV,0.00536,0.01762,0.06585,2.86554
271,0.10000,2,LV,0.01824,0.01767,0.07447,2.07380
271,0.10000,3,LV,0.01042,0.01529,0.06416,2.49553
271,0.10000,4,LV,0.02217,0.00954,0.06352,2.00315
271,0.10000,5,LV,0.01598,0.02205,0.06195,1.62898
271,0.10000,6,LV,0.03389,0.01636,0.07014,1.39582
271,0.10000,7,LV,0.00414,0.01792,0.06732,3.05168
271,0.10000,8,LV,-0.00000,0.01419,0.07480,5.27132
271,0.10000,9,LV,0.01024,0.01958,0.06210,2.08249
271,0.10000,10,LV,0.00855,0.00678,0.05069,3.30659
301,0.01000,1,LV,-0.00000,-0.00000,0.01492,---
301,0.01000,2,LV,-0.00000,-0.00000,0.01240,---
301,0.01000,3,LV,-0.00000,0.00358,0.01246,3.48045
301,0.01000,4,LV,-0.00000,-0.00000,0.01116,---
301,0.01000,5,LV,-0.00000,-0.00000,0.01240,---
301,0.01000,6,LV,-0.00000,-0.00000,0.00752,---
301,0.01000,7,LV,-0.00000,-0.00000,0.02624,---
301,0.01000,8,LV,-0.00000,-0.00000,0.01764,---
301,0.01000,9,LV,-0.00000,0.00034,0.02348,69.05882
301,0.01000,10,LV,-0.00000,-0.00000,0.00794,---
301,0.05000,1,LV,-0.00000,0.01120,0.04093,3.65446
301,0.05000,2,LV,0.00791,0.01693,0.03337,1.34340
301,0.05000,3,LV,-0.00000,0.02869,0.03765,1.31230
301,0.05000,4,LV,-0.00000,0.02123,0.03440,1.62035
301,0.05000,5,LV,-0.00000,0.02304,0.04131,1.79297
301,0.05000,6,LV,0.00781,0.00977,0.03767,2.14278
301,0.05000,7,LV,0.00627,0.03337,0.06116,1.54289
301,0.05000,8,LV,-0.00000,0.02264,0.03606,1.59276
301,0.05000,9,LV,0.01130,0.03082,0.06120,1.45299
301,0.05000,10,LV,-0.00000,0.01683,0.03423,2.03387
301,0.10000,1,LV,-0.00000,0.02928,0.08524,2.91120
301,0.10000,2,LV,0.00791,0.01891,0.08298,3.09396
301,0.10000,3,LV,0.00679,0.02520,0.07183,2.24539
301,0.10000,4,LV,-0.00000,0.01865,0.06964,3.73405
301,0.10000,5,LV,0.00728,0.02956,0.07935,2.15391
301,0.10000,6,LV,0.00781,0.01527,0.06643,2.87825
301,0.10000,7,LV,0.01436,0.01555,0.11158,3.73052
301,0.10000,8,LV,0.01253,0.02733,0.09708,2.43552
301,0.10000,9,LV,0.01452,0.02756,0.09461,2.24834
301,0.10000,10,LV,0.00403,0.03801,0.05892,1.40152
332,0.01000,1,LV,-0.00000,-0.00000,0.01249,---
332,0.01000,2,LV,-0.00000,-0.00000,0.00817,---
332,0.01000,3,LV,-0.00000,-0.00000,0.01984,---
