forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,NL,-0.00000,4.99093,24.01979,4.81269
271,0.01000,2,NL,-0.00000,9.65680,32.20276,3.33472
271,0.01000,3,NL,-0.00000,10.21743,23.99213,2.34816
271,0.01000,4,NL,-0.00000,5.27247,22.55486,4.27785
271,0.01000,5,NL,-0.00000,6.67737,13.23127,1.98151
271,0.01000,6,NL,-0.00000,4.26356,31.69682,7.43436
271,0.01000,7,NL,-0.00000,5.61062,24.87115,4.43287
271,0.01000,8,NL,-0.00000,8.54912,28.30814,3.31123
271,0.01000,9,NL,-0.00000,9.91190,25.61025,2.58379
271,0.01000,10,NL,-0.00000,6.73276,44.17431,6.56110
271,0.05000,1,NL,-0.00000,10.06131,42.30686,4.20491
271,0.05000,2,NL,-0.00000,11.73718,46.75984,3.98391
271,0.05000,3,NL,-0.00000,14.55756,36.41914,2.50173
271,0.05000,4,NL,-0.00000,13.36942,42.01109,3.14233
271,0.05000,5,NL,-0.00000,10.95967,33.19833,3.02914
271,0.05000,6,NL,-0.00000,12.13191,47.38046,3.90544
271,0.05000,7,NL,-0.00000,11.43649,39.67019,3.46874
271,0.05000,8,NL,-0.00000,12.86832,47.42879,3.68570
271,0.05000,9,NL,-0.00000,13.19703,48.24153,3.65548
271,0.05000,10,NL,-0.00000,14.06378,56.05134,3.98551
271,0.10000,1,NL,1.83407,14.48430,61.23887,3.75276
271,0.10000,2,NL,2.03601,15.06758,60.13148,3.51572
271,0.10000,3,NL,-0.00000,18.09668,46.99875,2.59709
271,0.10000,4,NL,11.45698,18.14568,58.65432,1.98139
271,0.10000,5,NL,0.14013,14.69107,55.09210,3.71461
271,0.10000,6,NL,1.24608,17.98438,63.46561,3.30026
271,0.10000,7,NL,6.32761,15.29106,55.77562,2.57997
271,0.10000,8,NL,0.44143,16.35818,69.45243,4.13417
271,0.10000,9,NL,-0.00000,17.60155,60.28444,3.42495
271,0.10000,10,NL,1.28612,18.76905,70.77132,3.52883
301,0.01000,1,NL,-0.00000,1.40027,19.01613,13.58033
301,0.01000,2,NL,-0.00000,1.76586,23.26836,13.17679
301,0.01000,3,NL,-0.00000,0.77129,22.26222,28.86362
301,0.01000,4,NL,-0.00000,2.03456,16.40367,8.06251
301,0.01000,5,NL,-0.00000,2.83313,16.21715,5.72411
301,0.01000,6,NL,-0.00000,1.29165,16.14081,12.49627
301,0.01000,7,NL,-0.00000,3.19980,35.85032,11.20393
301,0.01000,8,NL,-0.00000,1.45423,12.80618,8.80616
301,0.01000,9,NL,-0.00000,2.98670,18.70423,6.26251
301,0.01000,10,NL,-0.00000,0.61695,13.88889,22.51218
301,0.05000,1,NL,-0.00000,6.22907,36.09812,5.79511
301,0.05000,2,NL,-0.00000,5.83501,40.86595,7.00358
301,0.05000,3,NL,-0.00000,4.11292,34.77943,8.45614
301,0.05000,4,NL,-0.00000,6.13258,33.96565,5.53856
301,0.05000,5,NL,-0.00000,7.98595,40.14832,5.02737
301,0.05000,6,NL,-0.00000,5.82351,25.05614,4.30258
301,0.05000,7,NL,-0.00000,5.61164,51.43391,9.16558
301,0.05000,8,NL,-0.00000,5.32580,32.41392,6.08621
301,0.05000,9,NL,-0.00000,7.47869,34.26235,4.58133
301,0.05000,10,NL,-0.00000,4.12222,31.21558,7.57252
301,0.10000,1,NL,-0.00000,11.07773,54.28212,4.90011
301,0.10000,2,NL,0.11537,9.42800,57.78721,6.05522
301,0.10000,3,NL,-0.00000,7.77615,52.28836,6.72420
301,0.10000,4,NL,0.00190,10.81389,45.43211,4.20054
301,0.10000,5,NL,4.19449,12.45302,58.62063,3.52129
301,0.10000,6,NL,-0.00000,10.46976,39.33428,3.75694
301,0.10000,7,NL,11.28470,9.96224,60.41866,2.84364
301,0.10000,8,NL,0.82469,9.81815,52.22158,4.90673
301,0.10000,9,NL,-0.00000,11.20374,49.06696,4.37952
301,0.10000,10,NL,0.75955,7.98275,47.40822,5.42285
332,0.01000,1,NL,-0.00000,-0.00000,10.10003,---
332,0.01000,2,NL,-0.00000,-0.00000,21.36027,---
332,0.01000,3,NL,-0.00000,1.66111,15.79904,9.51113
332,0.01000,4,NL,-0.00000,1.32207,32.28125,24.41720
332,0.01000,5,NL,-0.00000,-0.00000,6.41394,---
332,0.01000,6,NL,-0.00000,3.22333,23.71823,7.35830
332,0.01000,7,NL,-0.00000,-0.00000,14.93713,---
332,0.01000,8,NL,-0.00000,-0.00000,22.71348,---
332,0.01000,9,NL,-0.00000,0.22007,17.65380,80.21902
332,0.01000,10,NL,-0.00000,0.59460,11.35045,19.08922
332,0.05000,1,NL,-0.00000,1.06332,27.83743,26.17973
332,0.05000,2,NL,0.69322,2.35592,43.65256,14.31635
332,0.05000,3,NL,-0.00000,4.71762,32.86864,6.96721
332,0.05000,4,NL,-0.00000,3.89003,48.29524,12.41513
332,0.05000,5,NL,-0.00000,2.32568,19.02492,8.18037
332,0.05000,6,NL,-0.00000,6.94536,35.43558,5.10205
332,0.05000,7,NL,-0.00000,3.14944,23.27125,7.38901
332,0.05000,8,NL,-0.00000,2.60112,34.88703,13.41231
332,0.05000,9,NL,-0.00000,3.08342,31.98376,10.37282
332,0.05000,10,NL,-0.00000,2.64006,25.22541,9.55486
332,0.10000,1,NL,0.07519,3.15516,45.31516,14.02794
332,0.10000,2,NL,43.02628,6.31806,71.00205,1.43891
332,0.10000,3,NL,7.57369,7.93652,52.17251,3.36375
332,0.10000,4,NL,11.63439,7.76815,59.02452,3.04210
332,0.10000,5,NL,-0.00000,4.73426,35.02552,7.39831
332,0.10000,6,NL,6.73405,10.81695,47.96498,2.73289
332,0.10000,7,NL,-0.00000,6.87184,36.34193,5.28853
332,0.10000,8,NL,3.08533,5.71033,49.54109,5.63245
332,0.10000,9,NL,5.45134,5.84051,45.58233,4.03675
332,0.10000,10,NL,-0.00000,7.39928,40.58067,5.48441
362,0.01000,1,NL,11.75809,-0.00000,25.71584,2.18708
362,0.01000,2,NL,5.74994,0.24001,53.96450,9.00917
362,0.01000,3,NL,66.99160,0.70702,92.07839,1.36012
362,0.01000,4,NL,7.11640,-0.00000,38.45355,5.40351
362,0.01000,5,NL,5.49327,0.35899,29.89099,5.10760
362,0.01000,6,NL,45.83846,-0.00000,93.41058,2.03782
362,0.01000,7,NL,-0.00000,0.66303,14.18049,21.38740
362,0.01000,8,NL,-0.00000,-0.00000,22.96963,---
362,0.01000,9,NL,11.84128,-0.00000,62.19898,5.25272
362,0.01000,10,NL,25.98928,-0.00000,74.42169,2.86355
362,0.05000,1,NL,70.26298,3.36330,118.57920,1.61056
362,0.05000,2,NL,82.04780,3.11899,137.82213,1.61826
362,0.05000,3,NL,148.29425,3.23351,190.16562,1.25499
362,0.05000,4,NL,109.70230,0.26671,144.73395,1.31613
362,0.05000,5,NL,69.06058,2.18214,101.13734,1.41962
362,0.05000,6,NL,205.40879,1.63973,256.52469,1.23896
362,0.05000,7,NL,11.89292,3.59271,35.47688,2.29095
362,0.05000,8,NL,23.20328,0.65293,62.72283,2.62920
362,0.05000,9,NL,72.19491,1.30813,114.62819,1.55950
362,0.05000,10,NL,219.12729,1.75340,248.74920,1.12617
362,0.10000,1,NL,156.41138,5.79584,220.75525,1.36095
362,0.10000,2,NL,200.73438,5.83347,239.30314,1.15847
362,0.10000,3,NL,269.01076,5.26350,312.58924,1.13970
362,0.10000,4,NL,188.91990,3.61473,225.63171,1.17190
362,0.10000,5,NL,163.79920,4.35655,186.33387,1.10810
362,0.10000,6,NL,348.97278,4.31537,398.97088,1.12931
362,0.10000,7,NL,71.92894,7.10691,110.30142,1.39559
362,0.10000,8,NL,108.08452,4.44719,164.75265,1.46406
362,0.10000,9,NL,151.39548,3.15683,187.19476,1.21121
362,0.10000,10,NL,312.77585,3.71085,351.11812,1.10942
