forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,NO,0.92785,0.05573,1.58922,1.61575
271,0.01000,2,NO,-0.00000,0.11212,0.31029,2.76748
271,0.01000,3,NO,0.93967,0.06834,1.50676,1.49479
271,0.01000,4,NO,0.70509,0.03676,1.22338,1.64909
271,0.01000,5,NO,-0.00000,0.07550,0.26747,3.54265
271,0.01000,6,NO,-0.00000,0.06440,0.54223,8.41972
271,0.01000,7,NO,0.24308,0.05608,0.58397,1.95203
271,0.01000,8,NO,0.12234,0.05270,0.64447,3.68184
271,0.01000,9,NO,-0.00000,0.05493,0.39966,7.27581
271,0.01000,10,NO,0.21293,0.08887,0.80418,2.66461
271,0.05000,1,NO,12.16141,0.08912,13.10558,1.06980
271,0.05000,2,NO,4.31273,0.13398,5.03412,1.13210
271,0.05000,3,NO,6.31767,0.10347,6.88921,1.07290
271,0.05000,4,NO,5.35193,0.08080,5.89269,1.08466
271,0.05000,5,NO,1.38348,0.10400,1.74389,1.17238
271,0.05000,6,NO,2.88361,0.11657,3.44027,1.14669
271,0.05000,7,NO,8.02142,0.09061,8.52583,1.05101
271,0.05000,8,NO,5.55924,0.10598,6.12189,1.08061
271,0.05000,9,NO,1.84743,0.10540,2.06705,1.05849
271,0.05000,10,NO,5.63817,0.11391,6.35058,1.10405
271,0.10000,1,NO,23.25581,0.12995,23.85070,1.01988
271,0.10000,2,NO,14.14853,0.16195,14.84232,1.03716
271,0.10000,3,NO,12.34773,0.13281,12.94043,1.03685
271,0.10000,4,NO,16.04757,0.11572,16.83421,1.04151
271,0.10000,5,NO,6.21070,0.12670,6.77966,1.06979
271,0.10000,6,NO,13.11516,0.15381,13.79583,1.03971
271,0.10000,7,NO,16.20432,0.11684,16.91855,1.03660
271,0.10000,8,NO,18.20669,0.15117,18.82438,1.02541
271,0.10000,9,NO,6.07400,0.14342,6.81641,1.09634
271,0.10000,10,NO,15.50500,0.13995,16.12900,1.03094
301,0.01000,1,NO,0.30122,-0.00000,0.56816,1.88620
301,0.01000,2,NO,-0.00000,-0.00000,0.19672,---
301,0.01000,3,NO,-0.00000,-0.00000,0.19504,---
301,0.01000,4,NO,0.59298,-0.00000,0.74309,1.25315
301,0.01000,5,NO,1.23270,-0.00000,1.50843,1.22368
301,0.01000,6,NO,-0.00000,-0.00000,0.42416,---
301,0.01000,7,NO,1.92878,-0.00000,2.10495,1.09134
301,0.01000,8,NO,9.11320,-0.00000,9.51702,1.04431
301,0.01000,9,NO,0.90997,-0.00000,0.98676,1.08439
301,0.01000,10,NO,0.02549,-0.00000,0.19037,7.46842
301,0.05000,1,NO,7.47753,0.01130,7.88490,1.05289
301,0.05000,2,NO,0.98423,0.00860,1.19629,1.20493
301,0.05000,3,NO,1.32249,0.01216,1.53947,1.15346
301,0.05000,4,NO,9.54990,0.01171,9.84965,1.03012
301,0.05000,5,NO,14.04867,0.02019,14.43366,1.02593
301,0.05000,6,NO,12.70523,0.01785,13.16513,1.03474
301,0.05000,7,NO,9.98259,0.01116,10.25968,1.02661
301,0.05000,8,NO,19.31244,0.01154,19.69913,1.01941
301,0.05000,9,NO,2.88562,0.01135,3.15417,1.08878
301,0.05000,10,NO,11.17549,0.01237,11.51248,1.02902
301,0.10000,1,NO,25.19732,0.02083,25.44743,1.00909
301,0.10000,2,NO,19.82942,0.02125,20.11258,1.01319
