forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,PL,-0.00000,0.04597,1.24932,27.17685
271,0.01000,2,PL,-0.00000,0.03031,1.35697,44.76971
271,0.01000,3,PL,-0.00000,0.02680,1.80735,67.43843
271,0.01000,4,PL,-0.00000,0.08810,1.14741,13.02395
271,0.01000,5,PL,-0.00000,0.08211,1.53603,18.70698
271,0.01000,6,PL,-0.00000,0.13062,1.34477,10.29528
271,0.01000,7,PL,-0.00000,0.02138,1.42425,66.61600
271,0.01000,8,PL,-0.00000,0.09561,1.17585,12.29840
271,0.01000,9,PL,-0.00000,0.08280,1.91249,23.09771
271,0.01000,10,PL,-0.00000,0.07924,1.48454,18.73473
271,0.05000,1,PL,-0.00000,0.33617,2.21614,6.59232
271,0.05000,2,PL,-0.00000,0.26255,2.44500,9.31251
271,0.05000,3,PL,-0.00000,0.13101,2.40543,18.36066
271,0.05000,4,PL,-0.00000,0.31783,1.84936,5.81871
271,0.05000,5,PL,-0.00000,0.28303,2.71959,9.60884
271,0.05000,6,PL,-0.00000,0.38608,2.19345,5.68134
271,0.05000,7,PL,-0.00000,0.15624,2.29815,14.70910
271,0.05000,8,PL,1.08291,0.31460,2.48069,1.77508
271,0.05000,9,PL,-0.00000,0.33465,3.26300,9.75049
271,0.05000,10,PL,-0.00000,0.20858,2.82673,13.55226
271,0.10000,1,PL,-0.00000,0.54265,3.08853,5.69157
271,0.10000,2,PL,1.08047,0.44621,3.68971,2.41682
271,0.10000,3,PL,0.00767,0.37626,3.14893,8.20183
271,0.10000,4,PL,-0.00000,0.63905,2.71522,4.24884
271,0.10000,5,PL,0.63088,0.50203,4.21918,3.72420
271,0.10000,6,PL,2.63888,0.60418,4.15760,1.28200
271,0.10000,7,PL,-0.00000,0.33189,3.39290,10.22297
271,0.10000,8,PL,12.48745,0.45632,14.15934,1.09391
271,0.10000,9,PL,2.68371,0.50462,6.37666,2.00000
271,0.10000,10,PL,5.13069,0.37266,6.19834,1.12628
301,0.01000,1,PL,-0.00000,0.23881,2.31782,9.70571
301,0.01000,2,PL,-0.00000,0.25496,2.00945,7.88143
301,0.01000,3,PL,-0.00000,0.19216,1.93952,10.09326
301,0.01000,4,PL,-0.00000,0.08564,1.35273,15.79554
301,0.01000,5,PL,-0.00000,0.04301,1.25740,29.23506
301,0.01000,6,PL,-0.00000,0.39440,1.69283,4.29217
301,0.01000,7,PL,-0.00000,0.12092,1.60366,13.26216
301,0.01000,8,PL,-0.00000,0.30939,2.13436,6.89861
301,0.01000,9,PL,-0.00000,0.26980,2.34801,8.70278
301,0.01000,10,PL,-0.00000,0.05082,1.86251,36.64915
301,0.05000,1,PL,-0.00000,0.70234,3.13669,4.46606
301,0.05000,2,PL,-0.00000,0.51707,3.23821,6.26261
301,0.05000,3,PL,-0.00000,0.43501,3.57751,8.22397
301,0.05000,4,PL,-0.00000,0.38690,2.62347,6.78074
301,0.05000,5,PL,-0.00000,0.28020,1.98024,7.06724
301,0.05000,6,PL,-0.00000,0.64701,2.76092,4.26720
301,0.05000,7,PL,-0.00000,0.42955,2.42692,5.64991
301,0.05000,8,PL,-0.00000,0.56747,3.17934,5.60266
301,0.05000,9,PL,-0.00000,0.55441,3.73472,6.73639
301,0.05000,10,PL,-0.00000,0.33506,2.72792,8.14159
301,0.10000,1,PL,2.96683,0.99320,5.48076,1.38402
301,0.10000,2,PL,11.72234,0.84363,14.37425,1.14390
301,0.10000,3,PL,2.14374,0.62841,5.62656,2.02967
301,0.10000,4,PL,21.13819,0.65593,22.61244,1.03755
301,0.10000,5,PL,-0.00000,0.61428,3.13997,5.11163
301,0.10000,6,PL,3.23772,0.87907,5.34655,1.29872
301,0.10000,7,PL,-0.00000,0.60398,3.74390,6.19872
301,0.10000,8,PL,1.02582,0.89775,4.69001,2.43818
301,0.10000,9,PL,15.94328,0.88334,18.56220,1.10314
301,0.10000,10,PL,2.87362,0.58122,5.21861,1.51052
332,0.01000,1,PL,-0.00000,0.31620,2.07548,6.56382
332,0.01000,2,PL,-0.00000,0.07971,1.12715,14.14063
332,0.01000,3,PL,-0.00000,0.06728,1.83965,27.34319
332,0.01000,4,PL,-0.00000,0.13640,1.41950,10.40689
332,0.01000,5,PL,-0.00000,0.02763,0.74825,27.08107
332,0.01000,6,PL,-0.00000,0.37288,1.26892,3.40303
332,0.01000,7,PL,-0.00000,0.03280,1.10976,33.83415
332,0.01000,8,PL,-0.00000,0.10939,0.93824,8.57702
332,0.01000,9,PL,-0.00000,0.15570,1.08085,6.94188
332,0.01000,10,PL,-0.00000,0.08651,1.20539,13.93353
332,0.05000,1,PL,-0.00000,0.60817,2.75447,4.52911
332,0.05000,2,PL,-0.00000,0.28891,2.22635,7.70603
332,0.05000,3,PL,-0.00000,0.36603,2.62484,7.17111
332,0.05000,4,PL,-0.00000,0.47359,2.59906,5.48800
332,0.05000,5,PL,-0.00000,0.26300,1.73066,6.58046
332,0.05000,6,PL,-0.00000,0.61138,1.81013,2.96073
332,0.05000,7,PL,-0.00000,0.29224,1.76245,6.03083
332,0.05000,8,PL,-0.00000,0.34885,1.54905,4.44045
332,0.05000,9,PL,-0.00000,0.36392,1.90900,5.24566
332,0.05000,10,PL,-0.00000,0.36227,2.15329,5.94388
332,0.10000,1,PL,-0.00000,0.85194,4.04117,4.74349
332,0.10000,2,PL,-0.00000,0.53122,2.88365,5.42835
332,0.10000,3,PL,-0.00000,0.61131,3.34625,5.47390
332,0.10000,4,PL,-0.00000,0.69263,3.52463,5.08876
332,0.10000,5,PL,-0.00000,0.55619,2.85755,5.13772
332,0.10000,6,PL,-0.00000,0.82527,2.56422,3.10713
332,0.10000,7,PL,-0.00000,0.51956,2.53792,4.88475
332,0.10000,8,PL,-0.00000,0.60811,2.48323,4.08352
332,0.10000,9,PL,-0.00000,0.53360,2.79551,5.23896
332,0.10000,10,PL,-0.00000,0.65283,3.53744,5.41862
362,0.01000,1,PL,-0.00000,0.02205,1.39777,63.39093
362,0.01000,2,PL,-0.00000,0.02955,0.40313,13.64230
362,0.01000,3,PL,-0.00000,0.11046,0.98232,8.89299
362,0.01000,4,PL,-0.00000,0.01026,0.95369,92.95224
362,0.01000,5,PL,-0.00000,0.06439,0.97493,15.14102
362,0.01000,6,PL,-0.00000,-0.00000,0.75096,---
362,0.01000,7,PL,-0.00000,-0.00000,0.97808,---
362,0.01000,8,PL,-0.00000,0.18705,1.77316,9.47960
362,0.01000,9,PL,-0.00000,0.04784,1.19150,24.90594
362,0.01000,10,PL,-0.00000,-0.00000,2.08675,---
362,0.05000,1,PL,-0.00000,0.27366,2.47088,9.02901
362,0.05000,2,PL,-0.00000,0.18206,1.83223,10.06388
362,0.05000,3,PL,-0.00000,0.19857,1.83283,9.23015
362,0.05000,4,PL,-0.00000,0.20311,2.20928,10.87726
362,0.05000,5,PL,-0.00000,0.21767,1.87810,8.62820
362,0.05000,6,PL,-0.00000,0.15096,1.49954,9.93336
362,0.05000,7,PL,12.42572,0.11343,13.40380,1.06896
362,0.05000,8,PL,-0.00000,0.38355,3.33417,8.69292
362,0.05000,9,PL,-0.00000,0.17526,2.56691,14.64630
362,0.05000,10,PL,7.45936,0.18718,8.66284,1.13291
362,0.10000,1,PL,53.63996,0.45158,55.15569,1.01967
362,0.10000,2,PL,11.44124,0.28303,13.24117,1.12938
362,0.10000,3,PL,-0.00000,0.42075,2.78407,6.61692
362,0.10000,4,PL,71.93669,0.39977,75.23268,1.04004
362,0.10000,5,PL,7.47148,0.41906,9.75461,1.23624
362,0.10000,6,PL,9.62701,0.30479,10.61229,1.06852
362,0.10000,7,PL,174.24498,0.31398,177.98336,1.01962
362,0.10000,8,PL,20.87201,0.55237,24.77496,1.15639
362,0.10000,9,PL,31.08969,0.43454,34.10777,1.08195
362,0.10000,10,PL,98.06082,0.35950,102.78612,1.04436
