forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,PT,-0.00000,30.95569,43.60532,1.40864
271,0.01000,2,PT,-0.00000,29.89133,40.48781,1.35450
271,0.01000,3,PT,-0.00000,29.37967,39.80617,1.35489
271,0.01000,4,PT,-0.00000,31.35648,43.23332,1.37877
271,0.01000,5,PT,-0.00000,29.64122,37.26816,1.25731
271,0.01000,6,PT,-0.00000,31.19159,45.88615,1.47111
271,0.01000,7,PT,-0.00000,26.45787,35.54715,1.34354
271,0.01000,8,PT,-0.00000,28.78825,44.81727,1.55679
271,0.01000,9,PT,-0.00000,29.46820,41.76413,1.41726
271,0.01000,10,PT,-0.00000,27.78143,39.30208,1.41469
271,0.05000,1,PT,-0.00000,33.58779,50.31136,1.49791
271,0.05000,2,PT,-0.00000,32.84559,46.70917,1.42208
271,0.05000,3,PT,-0.00000,31.86491,47.51670,1.49119
271,0.05000,4,PT,-0.00000,34.81342,49.68850,1.42728
271,0.05000,5,PT,-0.00000,33.62741,44.82767,1.33307
271,0.05000,6,PT,-0.00000,33.64709,50.64282,1.50512
271,0.05000,7,PT,-0.00000,32.36510,42.54294,1.31447
271,0.05000,8,PT,-0.00000,32.75408,51.13586,1.56121
271,0.05000,9,PT,-0.00000,32.25988,48.70287,1.50970
271,0.05000,10,PT,-0.00000,31.59982,46.40000,1.46836
271,0.10000,1,PT,3.32373,36.24862,56.82955,1.43609
271,0.10000,2,PT,2.84954,35.32874,55.12627,1.44392
271,0.10000,3,PT,0.00000,34.35983,55.88278,1.62640
271,0.10000,4,PT,-0.00000,37.57765,53.52880,1.42449
271,0.10000,5,PT,3.06356,36.25731,54.04709,1.37451
271,0.10000,6,PT,-0.00000,36.18224,56.21046,1.55354
271,0.10000,7,PT,6.78196,34.51678,50.12459,1.21371
271,0.10000,8,PT,2.80665,35.88581,57.38227,1.48303
271,0.10000,9,PT,0.00000,34.81168,53.75969,1.54430
271,0.10000,10,PT,-0.00000,34.38152,52.69616,1.53269
301,0.01000,1,PT,-0.00000,18.45815,31.38752,1.70047
301,0.01000,2,PT,-0.00000,19.11158,31.90510,1.66941
301,0.01000,3,PT,-0.00000,18.81764,28.48783,1.51389
301,0.01000,4,PT,-0.00000,18.73252,29.18430,1.55795
301,0.01000,5,PT,-0.00000,16.27709,25.29070,1.55376
301,0.01000,6,PT,-0.00000,17.20826,31.72583,1.84364
301,0.01000,7,PT,-0.00000,16.06194,31.30248,1.94886
301,0.01000,8,PT,-0.00000,18.12901,27.89351,1.53861
301,0.01000,9,PT,-0.00000,20.71192,24.65803,1.19052
301,0.01000,10,PT,-0.00000,19.92088,25.47048,1.27858
301,0.05000,1,PT,-0.00000,21.69035,37.22498,1.71620
301,0.05000,2,PT,-0.00000,21.81786,35.76971,1.63947
301,0.05000,3,PT,-0.00000,21.63495,34.38116,1.58915
301,0.05000,4,PT,-0.00000,21.46193,34.11653,1.58963
301,0.05000,5,PT,-0.00000,19.44735,33.86457,1.74135
301,0.05000,6,PT,-0.00000,21.72472,38.67910,1.78042
301,0.05000,7,PT,-0.00000,20.31455,36.95123,1.81895
301,0.05000,8,PT,-0.00000,21.04807,33.03638,1.56957
301,0.05000,9,PT,-0.00000,23.91534,29.75046,1.24399
301,0.05000,10,PT,-0.00000,22.72134,31.82232,1.40055
301,0.10000,1,PT,2.53608,24.05546,44.41171,1.67014
301,0.10000,2,PT,2.73102,24.13890,41.53531,1.54579
301,0.10000,3,PT,-0.00000,23.69909,39.04453,1.64751
301,0.10000,4,PT,-0.00000,23.70812,38.31180,1.61598
301,0.10000,5,PT,-0.00000,22.18987,39.52693,1.78131
301,0.10000,6,PT,0.07341,24.61991,43.24892,1.75144
301,0.10000,7,PT,-0.00000,24.82905,42.64701,1.71763
301,0.10000,8,PT,-0.00000,23.49838,36.96871,1.57325
301,0.10000,9,PT,-0.00000,26.37356,36.07844,1.36798
301,0.10000,10,PT,-0.00000,25.29680,37.07010,1.46541
332,0.01000,1,PT,-0.00000,22.97923,35.09627,1.52730
332,0.01000,2,PT,-0.00000,23.35296,31.70954,1.35784
332,0.01000,3,PT,-0.00000,20.38892,33.35373,1.63588
332,0.01000,4,PT,-0.00000,19.87954,36.01272,1.81155
332,0.01000,5,PT,-0.00000,21.09563,32.84290,1.55686
332,0.01000,6,PT,-0.00000,22.01488,31.58717,1.43481
332,0.01000,7,PT,-0.00000,22.36973,33.47758,1.49656
332,0.01000,8,PT,-0.00000,19.25422,32.69555,1.69810
332,0.01000,9,PT,-0.00000,21.73539,37.39800,1.72060
332,0.01000,10,PT,-0.00000,21.31395,31.19370,1.46353
332,0.05000,1,PT,-0.00000,25.44634,42.36017,1.66469
332,0.05000,2,PT,0.46057,25.82885,38.59167,1.46795
332,0.05000,3,PT,-0.00000,24.09394,42.30945,1.75602
332,0.05000,4,PT,-0.00000,23.25125,42.35165,1.82148
332,0.05000,5,PT,-0.00000,24.68788,39.22424,1.58881
332,0.05000,6,PT,-0.00000,25.56650,40.18275,1.57170
332,0.05000,7,PT,-0.00000,25.41827,38.01117,1.49543
332,0.05000,8,PT,-0.00000,22.77555,39.36537,1.72840
332,0.05000,9,PT,-0.00000,25.79305,44.21391,1.71418
332,0.05000,10,PT,-0.00000,23.49858,41.28615,1.75696
332,0.10000,1,PT,0.98430,28.12709,50.36962,1.73024
332,0.10000,2,PT,3.71377,27.50582,46.53288,1.49050
332,0.10000,3,PT,23.59403,26.90728,68.33169,1.35307
332,0.10000,4,PT,2.89789,25.96936,49.19899,1.70432
332,0.10000,5,PT,-0.00000,27.85214,44.94995,1.61388
332,0.10000,6,PT,0.50223,27.71664,47.09031,1.66875
332,0.10000,7,PT,-0.00000,28.14470,42.22497,1.50028
332,0.10000,8,PT,-0.00000,26.40778,45.83106,1.73551
332,0.10000,9,PT,11.93331,28.20685,59.29128,1.47711
332,0.10000,10,PT,2.76652,25.83941,49.55766,1.73243
362,0.01000,1,PT,-0.00000,17.36572,23.32871,1.34338
362,0.01000,2,PT,-0.00000,18.36629,27.76116,1.51153
362,0.01000,3,PT,-0.00000,17.38725,28.24757,1.62461
362,0.01000,4,PT,-0.00000,18.51415,28.23114,1.52484
362,0.01000,5,PT,-0.00000,19.62072,25.02279,1.27532
362,0.01000,6,PT,-0.00000,17.56492,23.50129,1.33797
362,0.01000,7,PT,-0.00000,16.12777,24.53277,1.52115
362,0.01000,8,PT,-0.00000,15.83090,24.28808,1.53422
362,0.01000,9,PT,-0.00000,15.72253,25.40186,1.61563
362,0.01000,10,PT,-0.00000,16.73137,26.07150,1.55824
362,0.05000,1,PT,-0.00000,19.54742,30.30179,1.55017
362,0.05000,2,PT,-0.00000,20.05030,33.75769,1.68365
362,0.05000,3,PT,-0.00000,19.87154,31.56229,1.58832
362,0.05000,4,PT,-0.00000,20.55716,33.26878,1.61835
362,0.05000,5,PT,-0.00000,20.94127,30.67000,1.46457
362,0.05000,6,PT,-0.00000,19.54004,28.34944,1.45084
362,0.05000,7,PT,-0.00000,18.09952,28.77795,1.58998
362,0.05000,8,PT,-0.00000,18.66226,28.67972,1.53678
362,0.05000,9,PT,-0.00000,18.59075,31.92058,1.71701
362,0.05000,10,PT,-0.00000,19.03879,28.94273,1.52020
362,0.10000,1,PT,-0.00000,21.48108,36.03512,1.67753
362,0.10000,2,PT,0.68778,21.60501,41.08401,1.84293
362,0.10000,3,PT,-0.00000,21.93556,34.98217,1.59477
362,0.10000,4,PT,-0.00000,22.37087,37.26718,1.66588
362,0.10000,5,PT,-0.00000,22.45732,40.34998,1.79674
362,0.10000,6,PT,-0.00000,21.30119,32.64350,1.53247
362,0.10000,7,PT,-0.00000,20.18859,33.74665,1.67157
362,0.10000,8,PT,-0.00000,20.87921,31.97299,1.53133
362,0.10000,9,PT,-0.00000,20.73600,37.52155,1.80949
362,0.10000,10,PT,-0.00000,20.95473,34.37236,1.64032
