forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,RO,-0.00000,2.74292,8.39756,3.06154
271,0.01000,2,RO,-0.00000,0.76356,4.06907,5.32908
271,0.01000,3,RO,-0.00000,1.26670,9.12530,7.20399
271,0.01000,4,RO,-0.00000,-0.00000,7.23886,---
271,0.01000,5,RO,-0.00000,1.97588,5.51504,2.79118
271,0.01000,6,RO,-0.00000,2.51650,9.36276,3.72055
271,0.01000,7,RO,-0.00000,1.60096,3.79678,2.37156
271,0.01000,8,RO,-0.00000,0.20946,6.27812,29.97288
271,0.01000,9,RO,-0.00000,3.36363,10.15284,3.01842
271,0.01000,10,RO,-0.00000,3.43368,11.99640,3.49374
271,0.05000,1,RO,0.27948,5.23018,13.10905,2.37928
271,0.05000,2,RO,-0.00000,4.69828,12.75478,2.71478
271,0.05000,3,RO,-0.00000,4.58736,17.40714,3.79459
271,0.05000,4,RO,-0.00000,4.15974,13.30718,3.19904
271,0.05000,5,RO,-0.00000,4.90306,11.97136,2.44161
271,0.05000,6,RO,-0.00000,4.64555,16.08743,3.46298
271,0.05000,7,RO,-0.00000,5.38709,10.21486,1.89617
271,0.05000,8,RO,-0.00000,4.58548,13.11797,2.86076
271,0.05000,9,RO,-0.00000,6.10377,16.53442,2.70889
271,0.05000,10,RO,-0.00000,4.59571,17.88216,3.89105
271,0.10000,1,RO,3.71338,6.58193,19.58649,1.90247
271,0.10000,2,RO,-0.00000,6.63062,18.26910,2.75526
271,0.10000,3,RO,-0.00000,7.63625,23.68307,3.10140
271,0.10000,4,RO,-0.00000,5.98066,18.19599,3.04247
271,0.10000,5,RO,-0.00000,7.65167,19.38810,2.53384
271,0.10000,6,RO,0.08068,6.98284,23.42185,3.31589
271,0.10000,7,RO,-0.00000,6.25777,17.90924,2.86192
271,0.10000,8,RO,-0.00000,6.27812,18.36323,2.92496
271,0.10000,9,RO,0.10330,7.73011,22.58828,2.88358
271,0.10000,10,RO,-0.00000,6.31729,23.44514,3.71127
301,0.01000,1,RO,-0.00000,13.73424,33.57622,2.44471
301,0.01000,2,RO,-0.00000,14.28998,41.57468,2.90936
301,0.01000,3,RO,-0.00000,12.83100,34.46724,2.68625
301,0.01000,4,RO,-0.00000,18.12473,41.57562,2.29386
301,0.01000,5,RO,-0.00000,18.35543,37.15996,2.02447
301,0.01000,6,RO,-0.00000,11.05303,27.40479,2.47939
301,0.01000,7,RO,-0.00000,10.91378,31.12906,2.85227
301,0.01000,8,RO,-0.00000,16.16251,37.74987,2.33564
301,0.01000,9,RO,-0.00000,13.35391,39.16480,2.93283
301,0.01000,10,RO,-0.00000,13.72514,38.96314,2.83882
301,0.05000,1,RO,-0.00000,19.42787,50.74277,2.61185
301,0.05000,2,RO,-0.00000,22.73911,54.30064,2.38798
301,0.05000,3,RO,-0.00000,20.53466,44.72865,2.17820
301,0.05000,4,RO,-0.00000,23.69968,53.10766,2.24086
301,0.05000,5,RO,-0.00000,24.59367,54.12679,2.20084
301,0.05000,6,RO,-0.00000,18.33981,40.66094,2.21709
301,0.05000,7,RO,-0.00000,18.54544,47.35753,2.55359
301,0.05000,8,RO,-0.00000,22.69563,54.02350,2.38035
