forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,SE,-0.00000,0.26995,1.15930,4.29450
271,0.01000,2,SE,-0.00000,0.41923,1.13960,2.71832
271,0.01000,3,SE,-0.00000,0.41884,1.12594,2.68823
271,0.01000,4,SE,-0.00000,0.50800,0.98700,1.94291
271,0.01000,5,SE,-0.00000,0.50745,1.28963,2.54139
271,0.01000,6,SE,-0.00000,0.55471,0.69127,1.24618
271,0.01000,7,SE,-0.00000,0.42129,0.76307,1.81127
271,0.01000,8,SE,-0.00000,0.60954,1.12566,1.84674
271,0.01000,9,SE,-0.00000,0.43349,1.00003,2.30693
271,0.01000,10,SE,-0.00000,0.32278,1.12391,3.48197
271,0.05000,1,SE,-0.00000,0.64562,1.90411,2.94927
271,0.05000,2,SE,-0.00000,0.89877,2.07403,2.30763
271,0.05000,3,SE,-0.00000,0.66954,1.76889,2.64195
271,0.05000,4,SE,-0.00000,0.72641,2.13018,2.93248
271,0.05000,5,SE,-0.00000,0.71312,2.24689,3.15079
271,0.05000,6,SE,-0.00000,0.69434,1.19211,1.71690
271,0.05000,7,SE,-0.00000,0.57164,1.38510,2.42303
271,0.05000,8,SE,-0.00000,0.73004,1.59498,2.18478
271,0.05000,9,SE,-0.00000,0.59398,1.56353,2.63229
271,0.05000,10,SE,-0.00000,0.59266,2.10282,3.54811
271,0.10000,1,SE,-0.00000,0.86455,2.67267,3.09140
271,0.10000,2,SE,-0.00000,1.04126,3.05577,2.93468
271,0.10000,3,SE,-0.00000,0.85904,2.62629,3.05724
271,0.10000,4,SE,-0.00000,0.89593,3.05711,3.41222
271,0.10000,5,SE,-0.00000,0.88512,3.46520,3.91495
271,0.10000,6,SE,-0.00000,0.88106,1.85272,2.10283
271,0.10000,7,SE,-0.00000,0.78265,2.16467,2.76582
271,0.10000,8,SE,-0.00000,0.90571,2.15296,2.37710
271,0.10000,9,SE,-0.00000,0.82295,2.37819,2.88984
271,0.10000,10,SE,-0.00000,0.83491,3.33978,4.00017
301,0.01000,1,SE,-0.00000,0.04813,0.96416,20.03241
301,0.01000,2,SE,-0.00000,0.05799,0.78004,13.45128
301,0.01000,3,SE,-0.00000,0.04646,0.34324,7.38786
301,0.01000,4,SE,-0.00000,0.02747,0.84570,30.78631
301,0.01000,5,SE,-0.00000,0.06073,0.20616,3.39470
301,0.01000,6,SE,-0.00000,-0.00000,0.63545,---
301,0.01000,7,SE,-0.00000,-0.00000,0.55198,---
301,0.01000,8,SE,-0.00000,-0.00000,0.32399,---
301,0.01000,9,SE,-0.00000,0.00704,0.24919,35.39631
301,0.01000,10,SE,-0.00000,0.02323,0.84676,36.45114
301,0.05000,1,SE,-0.00000,0.18161,1.75402,9.65817
301,0.05000,2,SE,-0.00000,0.26972,1.22284,4.53374
301,0.05000,3,SE,-0.00000,0.31209,1.07922,3.45804
301,0.05000,4,SE,-0.00000,0.15422,1.74523,11.31650
301,0.05000,5,SE,-0.00000,0.28689,0.96175,3.35233
301,0.05000,6,SE,-0.00000,0.12554,1.39776,11.13398
301,0.05000,7,SE,-0.00000,0.15786,1.21445,7.69321
301,0.05000,8,SE,-0.00000,0.15776,0.85970,5.44942
301,0.05000,9,SE,-0.00000,0.15397,1.01592,6.59817
301,0.05000,10,SE,-0.00000,0.32250,1.57627,4.88766
301,0.10000,1,SE,-0.00000,0.34997,2.40672,6.87693
