forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,SI,-0.00000,-0.00000,0.02328,---
271,0.01000,2,SI,-0.00000,0.05709,0.08776,1.53722
271,0.01000,3,SI,-0.00000,0.04933,0.07163,1.45206
271,0.01000,4,SI,-0.00000,0.74616,0.74886,1.00362
271,0.01000,5,SI,-0.00000,0.27315,0.27616,1.01102
271,0.01000,6,SI,-0.00000,0.06783,0.10891,1.60563
271,0.01000,7,SI,-0.00000,-0.00000,0.01362,---
271,0.01000,8,SI,-0.00000,-0.00000,0.01063,---
271,0.01000,9,SI,-0.00000,0.26020,0.28317,1.08828
271,0.01000,10,SI,-0.00000,-0.00000,0.02632,---
271,0.05000,1,SI,0.01152,0.54085,0.56860,1.02938
271,0.05000,2,SI,-0.00000,0.63958,0.66691,1.04273
271,0.05000,3,SI,0.00529,0.98565,1.01014,1.01938
271,0.05000,4,SI,0.00019,1.47515,1.48969,1.00973
271,0.05000,5,SI,0.00097,0.75051,0.75353,1.00273
271,0.05000,6,SI,0.00255,0.61775,0.64837,1.04525
271,0.05000,7,SI,0.01071,0.57751,0.60761,1.03296
271,0.05000,8,SI,0.00030,0.62525,0.62555,1.00000
271,0.05000,9,SI,0.03567,0.77360,0.80563,0.99550
271,0.05000,10,SI,0.00093,0.87766,0.92793,1.05616
271,0.10000,1,SI,0.05367,1.18316,1.21434,0.98182
271,0.10000,2,SI,0.01243,1.37675,1.41924,1.02164
271,0.10000,3,SI,0.14442,1.40333,1.45207,0.93818
271,0.10000,4,SI,0.00806,2.12090,2.12303,0.99721
271,0.10000,5,SI,0.01767,1.20719,1.22876,1.00318
271,0.10000,6,SI,0.02463,1.45171,1.46222,0.99044
271,0.10000,7,SI,0.04085,1.23278,1.25608,0.98622
271,0.10000,8,SI,0.00550,1.20963,1.21658,1.00119
271,0.10000,9,SI,0.22756,1.68474,1.73561,0.90760
271,0.10000,10,SI,0.01923,1.37301,1.42915,1.02651
301,0.01000,1,SI,-0.00000,0.05770,0.06383,1.10624
301,0.01000,2,SI,-0.00000,-0.00000,0.04210,---
301,0.01000,3,SI,-0.00000,0.13056,0.19293,1.47771
301,0.01000,4,SI,-0.00000,0.01929,0.03666,1.90047
301,0.01000,5,SI,-0.00000,0.07135,0.14526,2.03588
301,0.01000,6,SI,-0.00000,0.19228,0.23797,1.23762
301,0.01000,7,SI,-0.00000,0.26288,0.34389,1.30816
301,0.01000,8,SI,-0.00000,-0.00000,0.05197,---
