forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,SK,-0.00000,1.15786,1.23627,1.06772
271,0.01000,2,SK,-0.00000,3.87990,3.92567,1.01180
271,0.01000,3,SK,-0.00000,0.82239,0.89174,1.08433
271,0.01000,4,SK,-0.00000,0.98153,1.03745,1.05697
271,0.01000,5,SK,-0.00000,1.64949,1.74422,1.05743
271,0.01000,6,SK,-0.00000,1.34623,1.39398,1.03547
271,0.01000,7,SK,-0.00000,1.43680,1.50176,1.04521
271,0.01000,8,SK,-0.00000,1.63691,1.71931,1.05034
271,0.01000,9,SK,-0.00000,1.47228,1.51099,1.02629
271,0.01000,10,SK,-0.00000,1.55248,1.61189,1.03827
271,0.05000,1,SK,0.00060,3.58414,3.67569,1.02537
271,0.05000,2,SK,0.00064,6.19449,6.23375,1.00623
271,0.05000,3,SK,0.00111,2.51620,2.58438,1.02664
271,0.05000,4,SK,0.00347,3.94906,4.00786,1.01400
271,0.05000,5,SK,0.00042,4.32074,4.38964,1.01585
271,0.05000,6,SK,0.03555,4.17280,4.25487,1.01105
271,0.05000,7,SK,-0.00000,3.93088,4.00666,1.01928
271,0.05000,8,SK,0.00082,4.08916,4.20128,1.02721
271,0.05000,9,SK,0.01999,3.82157,3.87780,1.00943
271,0.05000,10,SK,0.01686,3.47981,3.55106,1.01555
271,0.10000,1,SK,0.01657,5.20019,5.31035,1.01794
271,0.10000,2,SK,0.00175,8.48146,8.52072,1.00442
271,0.10000,3,SK,0.02717,4.72589,4.80244,1.01039
271,0.10000,4,SK,0.04491,6.01374,6.04583,0.99788
271,0.10000,5,SK,0.00916,7.18175,7.23857,1.00663
271,0.10000,6,SK,0.03466,6.06184,6.14970,1.00873
271,0.10000,7,SK,0.00394,6.13646,6.22640,1.01401
271,0.10000,8,SK,0.14884,5.57784,5.69673,0.99477
271,0.10000,9,SK,0.02728,5.29882,5.35569,1.00556
271,0.10000,10,SK,0.01374,5.69868,5.76218,1.00871
301,0.01000,1,SK,-0.00000,2.70981,2.78628,1.02822
301,0.01000,2,SK,-0.00000,3.71820,3.80752,1.02402
301,0.01000,3,SK,-0.00000,3.28607,3.36225,1.02318
301,0.01000,4,SK,-0.00000,2.08473,2.17376,1.04271
301,0.01000,5,SK,-0.00000,1.64357,1.73415,1.05511
301,0.01000,6,SK,-0.00000,2.42566,2.52754,1.04200
301,0.01000,7,SK,-0.00000,2.32697,2.39612,1.02972
