forecast_day,tol,set_number,country,wind objective,solar objective,combined objective,ratio
271,0.01000,1,UK,-0.00000,74.83988,334.68314,4.47199
271,0.01000,2,UK,-0.00000,123.03609,361.16370,2.93543
271,0.01000,3,UK,-0.00000,114.64173,339.01068,2.95713
271,0.01000,4,UK,-0.00000,69.52179,283.63572,4.07981
271,0.01000,5,UK,-0.00000,120.76478,312.56117,2.58818
271,0.01000,6,UK,-0.00000,102.38098,367.54963,3.59002
271,0.01000,7,UK,-0.00000,118.73614,320.49609,2.69923
271,0.01000,8,UK,-0.00000,76.15850,260.60600,3.42189
271,0.01000,9,UK,-0.00000,125.59333,300.19343,2.39020
271,0.01000,10,UK,-0.00000,85.90132,304.82558,3.54856
271,0.05000,1,UK,30.52792,133.75141,436.26115,2.65561
271,0.05000,2,UK,24.67211,161.43273,466.27500,2.50544
271,0.05000,3,UK,5.19123,161.51618,421.61209,2.52905
271,0.05000,4,UK,-0.00000,128.35139,406.60692,3.16792
271,0.05000,5,UK,-0.00000,155.39627,368.23224,2.36963
271,0.05000,6,UK,6.85227,149.55971,457.79171,2.92683
271,0.05000,7,UK,2.14763,167.35058,462.78159,2.73030
271,0.05000,8,UK,-0.00000,138.26437,364.29413,2.63477
271,0.05000,9,UK,0.83446,164.30401,380.49552,2.30410
271,0.05000,10,UK,-0.00000,128.05390,406.49974,3.17444
271,0.10000,1,UK,87.33023,176.86707,516.27274,1.95412
271,0.10000,2,UK,92.81535,196.78954,611.61737,2.11190
271,0.10000,3,UK,41.98642,192.68161,510.78877,2.17664
271,0.10000,4,UK,59.52584,167.04281,541.20039,2.38868
271,0.10000,5,UK,5.22166,186.98644,454.02724,2.36216
271,0.10000,6,UK,54.57447,186.89907,522.42807,2.16350
271,0.10000,7,UK,90.14416,209.29026,552.17063,1.84405
271,0.10000,8,UK,15.22346,171.19857,462.37768,2.48027
271,0.10000,9,UK,47.19580,196.49445,462.65591,1.89854
271,0.10000,10,UK,8.69047,158.74850,483.10410,2.88525
301,0.01000,1,UK,-0.00000,22.10175,77.49281,3.50618
301,0.01000,2,UK,-0.00000,23.63359,89.57680,3.79023
301,0.01000,3,UK,-0.00000,34.22896,117.33921,3.42807
301,0.01000,4,UK,-0.00000,32.40787,83.69317,2.58250
301,0.01000,5,UK,-0.00000,10.20585,53.58033,5.24996
301,0.01000,6,UK,-0.00000,9.97261,85.08110,8.53148
301,0.01000,7,UK,-0.00000,23.64154,28.81670,1.21890
301,0.01000,8,UK,-0.00000,15.16820,39.55018,2.60744
301,0.01000,9,UK,-0.00000,0.71264,33.55908,47.09121
301,0.01000,10,UK,-0.00000,15.17514,51.19717,3.37375
301,0.05000,1,UK,-0.00000,56.07892,129.71754,2.31312
301,0.05000,2,UK,-0.00000,61.59988,164.17944,2.66526
301,0.05000,3,UK,-0.00000,74.97776,156.48196,2.08705
301,0.05000,4,UK,-0.00000,57.33827,126.16147,2.20030
301,0.05000,5,UK,-0.00000,38.09950,130.04859,3.41339
301,0.05000,6,UK,-0.00000,46.96157,175.80703,3.74364
301,0.05000,7,UK,-0.00000,61.45774,92.56714,1.50619
301,0.05000,8,UK,-0.00000,46.32596,80.72001,1.74244
301,0.05000,9,UK,-0.00000,27.83761,87.16144,3.13107
301,0.05000,10,UK,-0.00000,35.60833,94.23857,2.64653
301,0.10000,1,UK,-0.00000,92.81269,190.10844,2.04830
301,0.10000,2,UK,-0.00000,87.72437,221.94987,2.53008
301,0.10000,3,UK,-0.00000,106.55969,200.07050,1.87754
301,0.10000,4,UK,-0.00000,84.04195,169.80027,2.02042
301,0.10000,5,UK,-0.00000,63.63577,193.64850,3.04308
301,0.10000,6,UK,-0.00000,88.27868,228.87194,2.59261
301,0.10000,7,UK,-0.00000,96.59996,151.25129,1.56575
301,0.10000,8,UK,-0.00000,69.98196,142.24289,2.03257
301,0.10000,9,UK,-0.00000,53.71893,136.97093,2.54977
301,0.10000,10,UK,-0.00000,62.07516,156.81023,2.52613
332,0.01000,1,UK,-0.00000,5.73280,86.70501,15.12437
332,0.01000,2,UK,-0.00000,12.43348,120.86320,9.72079
332,0.01000,3,UK,-0.00000,-0.00000,35.64954,---
332,0.01000,4,UK,-0.00000,-0.00000,91.25229,---
332,0.01000,5,UK,-0.00000,2.63029,57.89657,22.01148
332,0.01000,6,UK,-0.00000,4.88547,58.64132,12.00321
332,0.01000,7,UK,-0.00000,-0.00000,66.50191,---
332,0.01000,8,UK,-0.00000,-0.00000,41.75996,---
332,0.01000,9,UK,-0.00000,-0.00000,72.15389,---
332,0.01000,10,UK,-0.00000,-0.00000,44.85443,---
332,0.05000,1,UK,0.57392,22.50104,127.18312,5.51174
332,0.05000,2,UK,35.02005,26.99116,169.33622,2.73074
332,0.05000,3,UK,-0.00000,12.50548,70.02290,5.59938
332,0.05000,4,UK,121.82136,11.89788,244.76141,1.83041
332,0.05000,5,UK,-0.00000,21.06016,95.17261,4.51908
332,0.05000,6,UK,-0.00000,18.79908,87.27439,4.64248
332,0.05000,7,UK,-0.00000,17.87235,117.78952,6.59060
332,0.05000,8,UK,-0.00000,25.32912,72.05766,2.84485
332,0.05000,9,UK,-0.00000,14.69853,125.80706,8.55916
332,0.05000,10,UK,-0.00000,17.34054,77.12926,4.44792
332,0.10000,1,UK,168.13714,53.85209,227.24216,1.02366
332,0.10000,2,UK,188.40913,41.92760,311.56360,1.35264
332,0.10000,3,UK,1.37469,21.53595,119.25289,5.20513
332,0.10000,4,UK,265.29793,26.15340,371.18395,1.27357
332,0.10000,5,UK,10.76407,47.37887,148.53632,2.55468
332,0.10000,6,UK,-0.00000,40.09191,117.40601,2.92842
332,0.10000,7,UK,27.11721,31.87930,159.03150,2.69561
332,0.10000,8,UK,24.22654,35.38046,126.00428,2.11392
332,0.10000,9,UK,57.61758,33.03707,190.94178,2.10625
332,0.10000,10,UK,-0.00000,35.03473,112.57959,3.21337
362,0.01000,1,UK,180.76000,-0.00000,290.84319,1.60900
362,0.01000,2,UK,100.57248,-0.00000,170.48665,1.69516
362,0.01000,3,UK,285.15535,-0.00000,416.37652,1.46017
362,0.01000,4,UK,499.89639,-0.00000,732.45453,1.46521
362,0.01000,5,UK,75.66020,-0.00000,247.95182,3.27718
362,0.01000,6,UK,0.02186,-0.00000,66.57792,3045.65050
362,0.01000,7,UK,711.31516,-0.00000,847.08976,1.19088
362,0.01000,8,UK,228.54017,-0.00000,374.72735,1.63966
362,0.01000,9,UK,19.94021,-0.00000,182.65838,9.16030
362,0.01000,10,UK,49.27991,-0.00000,109.91962,2.23052
362,0.05000,1,UK,741.33162,-0.00000,835.43634,1.12694
362,0.05000,2,UK,533.37405,-0.00000,718.13297,1.34640
362,0.05000,3,UK,978.86996,-0.00000,1009.67435,1.03147
362,0.05000,4,UK,1405.89000,-0.00000,1470.92594,1.04626
362,0.05000,5,UK,562.38612,-0.00000,679.16908,1.20766
362,0.05000,6,UK,532.04253,-0.00000,604.02153,1.13529
362,0.05000,7,UK,1233.50903,-0.00000,1289.65195,1.04551
362,0.05000,8,UK,883.24687,-0.00000,986.92046,1.11738
362,0.05000,9,UK,574.12800,-0.00000,603.38129,1.05095
362,0.05000,10,UK,392.90520,-0.00000,561.35970,1.42874
362,0.10000,1,UK,1158.93275,-0.00000,1219.34428,1.05213
362,0.10000,2,UK,1303.65147,1.50885,1385.41296,1.06149
362,0.10000,3,UK,1262.43720,-0.00000,1312.94365,1.04001
362,0.10000,4,UK,1681.94565,-0.00000,1773.78465,1.05460
362,0.10000,5,UK,965.87312,-0.00000,1057.00074,1.09435
362,0.10000,6,UK,923.69467,-0.00000,1090.24426,1.18031
362,0.10000,7,UK,1537.42097,-0.00000,1620.99218,1.05436
362,0.10000,8,UK,1298.96294,-0.00000,1393.55603,1.07282
362,0.10000,9,UK,1220.02298,-0.00000,1254.38825,1.02817
362,0.10000,10,UK,1098.78618,-0.00000,1147.33385,1.04418
