tol,set_number,country,wind objective,solar objective,combined objective,ratio
0.01000,1,AT,-0.00000,1.77594,7.62175,4.29167
0.01000,1,BE,-0.00000,9.26244,33.27556,3.59253
0.01000,1,BG,-0.00000,3.50074,7.29065,2.08260
0.01000,1,CH,-0.00000,0.24393,1.40217,5.74839
0.01000,1,CZ,-0.00000,-0.00000,0.84699,0.00000
0.01000,1,DE,-0.00000,512.57830,646.06225,1.26042
0.01000,1,DK,-0.00000,6.77307,30.76072,4.54162
0.01000,1,EE,-0.00000,-0.00000,0.04107,0.00000
0.01000,1,EL,-0.00000,89.61936,129.86618,1.44909
0.01000,1,ES,-0.00000,391.86847,497.26815,1.26897
0.01000,1,FI,-0.00000,-0.00000,0.06842,0.00000
0.01000,1,FR,-0.00000,168.97323,306.02011,1.81106
0.01000,1,HR,-0.00000,0.04351,0.42729,9.82013
0.01000,1,HU,-0.00000,0.07571,0.39910,5.27169
0.01000,1,IE,-0.00000,-0.00000,0.01925,0.00000
0.01000,1,IT,-0.00000,497.75365,638.70540,1.28318
0.01000,1,LT,-0.00000,-0.00000,0.39283,0.00000
0.01000,1,LU,-0.00000,0.15731,0.33246,2.11343
0.01000,1,LV,-0.00000,-0.00000,0.00918,0.00000
0.01000,1,NL,-0.00000,7.68168,23.42997,3.05011
0.01000,1,NO,2.99713,0.08108,3.73715,1.21407
0.01000,1,PL,-0.00000,0.18210,1.82978,10.04845
0.01000,1,PT,-0.00000,26.07068,43.82388,1.68096
0.01000,1,RO,-0.00000,0.38728,7.23694,18.68659
0.01000,1,SE,-0.00000,0.35118,0.83814,2.38661
0.01000,1,SI,-0.00000,-0.00000,0.02313,0.00000
0.01000,1,SK,-0.00000,1.55833,1.59646,1.02447
0.01000,1,UK,-0.00000,86.32612,185.25281,2.14596
0.01000,2,AT,-0.00000,2.47138,6.97840,2.82368
0.01000,2,BE,-0.00000,11.75842,27.40541,2.33070
0.01000,2,BG,-0.00000,4.98178,9.81311,1.96980
0.01000,2,CH,-0.00000,1.09979,1.65963,1.50904
0.01000,2,CZ,-0.00000,-0.00000,4.57129,0.00000
0.01000,2,DE,-0.00000,385.56812,786.33186,2.03941
0.01000,2,DK,-0.00000,6.27960,20.60725,3.28162
0.01000,2,EE,-0.00000,-0.00000,0.05042,0.00000
0.01000,2,EL,-0.00000,91.44785,128.96746,1.41028
0.01000,2,ES,-0.00000,440.43536,571.19308,1.29688
0.01000,2,FI,-0.00000,-0.00000,0.16939,0.00000
0.01000,2,FR,-0.00000,150.32919,361.01734,2.40151
0.01000,2,HR,-0.00000,-0.00000,0.11185,0.00000
0.01000,2,HU,-0.00000,0.02981,0.63043,21.14864
0.01000,2,IE,-0.00000,0.00204,0.02500,12.26537
0.01000,2,IT,-0.00000,402.16894,471.99703,1.17363
0.01000,2,LT,-0.00000,-0.00000,0.34359,0.00000
0.01000,2,LU,-0.00000,0.22301,0.54687,2.45227
0.01000,2,LV,-0.00000,-0.00000,0.00112,0.00000
0.01000,2,NL,-0.00000,7.52247,39.25752,5.21870
0.01000,2,NO,-0.00000,0.04343,0.42247,9.72807
0.01000,2,PL,-0.00000,0.07017,1.60025,22.80607
0.01000,2,PT,-0.00000,28.64472,40.94342,1.42935
0.01000,2,RO,-0.00000,3.69958,9.09264,2.45775
0.01000,2,SE,-0.00000,0.54880,2.13900,3.89763
0.01000,2,SI,-0.00000,-0.00000,0.02842,0.00000
0.01000,2,SK,-0.00000,1.70017,1.77960,1.04672
0.01000,2,UK,-0.00000,163.52180,345.05288,2.11013
0.01000,3,AT,-0.00000,2.60147,9.07459,3.48825
0.01000,3,BE,-0.00000,7.68087,42.00902,5.46930
0.01000,3,BG,-0.00000,5.40169,12.45116,2.30505
0.01000,3,CH,-0.00000,1.07811,2.33587,2.16663
0.01000,3,CZ,-0.00000,-0.00000,3.03737,0.00000
0.01000,3,DE,-0.00000,388.48935,710.25182,1.82824
0.01000,3,DK,-0.00000,7.16747,18.22823,2.54319
0.01000,3,EE,-0.00000,-0.00000,0.02246,0.00000
0.01000,3,EL,-0.00000,87.84448,118.20801,1.34565
0.01000,3,ES,-0.00000,425.10596,498.40028,1.17241
0.01000,3,FI,-0.00000,-0.00000,0.09003,0.00000
0.01000,3,FR,-0.00000,175.40074,326.78649,1.86309
0.01000,3,HR,-0.00000,0.02677,0.17260,6.44818
0.01000,3,HU,-0.00000,0.15752,0.38922,2.47095
0.01000,3,IE,-0.00000,0.00057,0.02136,37.81080
0.01000,3,IT,-0.00000,441.96766,592.70993,1.34107
0.01000,3,LT,-0.00000,-0.00000,0.30131,0.00000
0.01000,3,LU,-0.00000,-0.00000,0.08223,0.00000
0.01000,3,LV,-0.00000,-0.00000,0.00393,0.00000
0.01000,3,NL,-0.00000,7.47827,30.37371,4.06160
0.01000,3,NO,-0.00000,0.03294,0.27979,8.49436
0.01000,3,PL,-0.00000,0.04504,0.91148,20.23587
0.01000,3,PT,-0.00000,30.92194,45.02306,1.45602
0.01000,3,RO,-0.00000,-0.00000,5.13393,0.00000
0.01000,3,SE,-0.00000,0.55746,1.84113,3.30269
0.01000,3,SI,-0.00000,-0.00000,0.02682,0.00000
0.01000,3,SK,-0.00000,1.82584,1.87484,1.02684
0.01000,3,UK,-0.00000,141.81845,387.91305,2.73528
0.01000,4,AT,-0.00000,1.68853,4.77773,2.82952
0.01000,4,BE,-0.00000,3.70431,33.31201,8.99277
0.01000,4,BG,-0.00000,4.87120,5.24266,1.07626
0.01000,4,CH,-0.00000,0.56186,2.14888,3.82457
0.01000,4,CZ,-0.00000,-0.00000,4.65665,0.00000
0.01000,4,DE,-0.00000,338.08109,559.54207,1.65505
0.01000,4,DK,-0.00000,5.70725,21.50160,3.76742
0.01000,4,EE,-0.00000,-0.00000,0.01660,0.00000
0.01000,4,EL,-0.00000,81.27036,122.08883,1.50226
0.01000,4,ES,-0.00000,412.83429,580.49274,1.40612
0.01000,4,FI,-0.00000,-0.00000,0.06053,0.00000
0.01000,4,FR,-0.00000,184.67554,279.79719,1.51507
0.01000,4,HR,-0.00000,0.09291,0.49298,5.30595
0.01000,4,HU,-0.00000,0.11793,0.85873,7.28193
0.01000,4,IE,-0.00000,0.00175,0.00992,5.66926
