country,hour,p,d,q,bic,notes
AT,4,0,0,0,,Zero-production rule applied
AT,5,0,1,2,1637.1745276417287,Passes Ljung-Box
AT,6,1,1,1,2342.3176106481887,Passes Ljung-Box
AT,7,2,0,1,2697.99816188923,Passes Ljung-Box
AT,8,2,0,1,2839.5866587059245,Passes Ljung-Box
AT,9,2,0,1,2917.920511589856,Passes Ljung-Box
AT,10,1,0,1,2977.775875502348,Passes Ljung-Box
AT,11,1,0,1,2989.5410046231636,Passes Ljung-Box
AT,12,1,0,1,2970.0775953796906,Passes Ljung-Box
AT,13,1,0,1,2914.2467579242802,Passes Ljung-Box
AT,14,1,0,1,2830.1340914852417,Passes Ljung-Box
AT,15,1,1,3,2660.45832466489,Passes Ljung-Box
AT,16,1,1,1,2210.6464166041324,Passes Ljung-Box
AT,17,0,0,0,,Zero-production rule applied
AT,18,0,0,0,,Zero-production rule applied
BE,4,0,0,0,,Zero-production rule applied
BE,5,0,0,0,,Zero-production rule applied
BE,6,2,1,3,3129.1014122029305,Passes Ljung-Box
BE,7,0,1,1,3667.369624582343,Passes Ljung-Box
BE,8,0,1,1,3950.0293395619556,Passes Ljung-Box
BE,9,1,0,1,4119.206134576777,Passes Ljung-Box
BE,10,1,0,1,4200.31352968605,Passes Ljung-Box
BE,11,1,0,2,4229.787069389307,Passes Ljung-Box
BE,12,2,0,1,4232.969174063541,Passes Ljung-Box
BE,13,2,0,1,4198.603917028802,Passes Ljung-Box
BE,14,2,0,1,4121.846502230101,Passes Ljung-Box
BE,15,2,0,1,3959.69023257079,Passes Ljung-Box
BE,16,0,1,1,3648.683081058706,Passes Ljung-Box
BE,17,1,1,2,3145.2900970978285,Passes Ljung-Box
BE,18,0,0,0,,Zero-production rule applied
BE,19,0,0,0,,Zero-production rule applied
BG,3,0,0,0,,Zero-production rule applied
BG,4,3,1,4,1692.4615488415297,Passes Ljung-Box
BG,5,1,1,1,2614.0588207905403,Passes Ljung-Box
BG,6,2,1,2,3131.676665481009,Passes Ljung-Box
BG,7,1,1,1,3362.324412313061,Passes Ljung-Box
BG,8,1,1,1,3481.5134879067355,Passes Ljung-Box
BG,9,1,1,1,3538.5212242582857,Passes Ljung-Box
BG,10,2,0,1,3586.7991059579804,Passes Ljung-Box
BG,11,2,0,1,3556.9754285600734,Passes Ljung-Box
BG,12,2,0,1,3489.974002878378,Passes Ljung-Box
BG,13,2,0,1,3392.007113378585,Passes Ljung-Box
BG,14,1,1,1,3175.802508994337,Passes Ljung-Box
BG,15,1,1,1,2744.752109655978,Passes Ljung-Box
BG,16,3,1,0,1668.8022803878046,Passes Ljung-Box
BG,17,0,0,0,,Zero-production rule applied
CH,4,0,0,0,,Zero-production rule applied
CH,5,0,0,0,,Zero-production rule applied
CH,6,2,1,3,2489.7740070426057,Passes Ljung-Box
CH,7,2,1,4,2995.0578224154888,Passes Ljung-Box
CH,8,2,1,3,3160.7702010414746,Passes Ljung-Box
CH,9,2,0,1,3281.483447883569,Passes Ljung-Box
CH,10,2,0,1,3347.66264218648,Passes Ljung-Box
CH,11,2,0,1,3371.9653726859083,Passes Ljung-Box
CH,12,2,0,1,3369.1065178669205,Passes Ljung-Box
CH,13,2,0,1,3333.1137636498584,Passes Ljung-Box
CH,14,1,0,2,3269.9179762630442,Passes Ljung-Box
CH,15,1,0,2,3131.6733912694826,Passes Ljung-Box
CH,16,1,1,1,2798.6155275820124,Passes Ljung-Box
CH,17,3,1,2,2125.0927465060004,Passes Ljung-Box
CH,18,0,0,0,,Zero-production rule applied
CH,19,0,0,0,,Zero-production rule applied
CZ,3,0,0,0,,Zero-production rule applied
CZ,4,0,0,0,,Zero-production rule applied
CZ,5,3,1,3,2695.573200320528,Passes Ljung-Box
CZ,6,1,1,1,3363.7909098930477,Passes Ljung-Box
