country,hour,p,d,q,bic,notes
AT,4,0,0,0,,Zero-production rule applied
AT,5,0,1,2,1637.1746198664282,Passes Ljung-Box
AT,6,1,1,1,2342.4780290201916,Passes Ljung-Box
AT,7,2,0,1,2698.388135495008,Passes Ljung-Box
AT,8,2,0,1,2839.5209250669686,Passes Ljung-Box
AT,9,2,0,1,2916.83652888519,Passes Ljung-Box
AT,10,1,0,1,2975.41565152364,Passes Ljung-Box
AT,11,1,0,1,2987.3413204663275,Passes Ljung-Box
AT,12,1,0,1,2969.464788230641,Passes Ljung-Box
AT,13,1,0,1,2915.0385182775603,Passes Ljung-Box
AT,14,1,0,1,2831.159587716332,Passes Ljung-Box
AT,15,3,1,3,2660.532568604764,Passes Ljung-Box
AT,16,1,1,1,2210.6466572015456,Passes Ljung-Box
AT,17,0,0,0,,Zero-production rule applied
AT,18,0,0,0,,Zero-production rule applied
BE,4,0,0,0,,Zero-production rule applied
BE,5,0,0,0,,Zero-production rule applied
BE,6,2,1,3,3129.3019142922076,Passes Ljung-Box
BE,7,0,1,1,3668.093866115503,Passes Ljung-Box
BE,8,0,1,1,3951.145667128173,Passes Ljung-Box
BE,9,1,0,1,4119.843723773006,Passes Ljung-Box
BE,10,1,0,1,4199.723638003338,Passes Ljung-Box
BE,11,2,0,1,4228.644238485322,Passes Ljung-Box
BE,12,2,0,1,4232.4880585914125,Passes Ljung-Box
BE,13,2,0,1,4199.215846458004,Passes Ljung-Box
BE,14,2,0,1,4122.595417553514,Passes Ljung-Box
BE,15,2,0,1,3959.99066213518,Passes Ljung-Box
BE,16,0,1,1,3648.753424647798,Passes Ljung-Box
BE,17,1,1,2,3145.312154051178,Passes Ljung-Box
BE,18,0,0,0,,Zero-production rule applied
BE,19,0,0,0,,Zero-production rule applied
BG,3,0,0,0,,Zero-production rule applied
BG,4,3,1,4,1692.397065853917,Passes Ljung-Box
BG,5,1,1,1,2614.810064034021,Passes Ljung-Box
BG,6,2,1,2,3134.6439099910963,Passes Ljung-Box
BG,7,1,1,1,3365.4619686819537,Passes Ljung-Box
BG,8,1,1,1,3484.7354043534524,Passes Ljung-Box
BG,9,2,0,1,3563.949608195753,Passes Ljung-Box
BG,10,1,0,1,3589.1790860359347,Passes Ljung-Box
BG,11,1,0,1,3559.1249406591314,Passes Ljung-Box
BG,12,2,0,1,3492.786992220219,Passes Ljung-Box
BG,13,2,0,1,3394.8219719363738,Passes Ljung-Box
BG,14,1,1,1,3177.9851723438956,Passes Ljung-Box
BG,15,1,1,1,2745.501365553081,Passes Ljung-Box
BG,16,3,1,0,1668.802280387781,Passes Ljung-Box
BG,17,0,0,0,,Zero-production rule applied
CH,4,0,0,0,,Zero-production rule applied
CH,5,0,0,0,,Zero-production rule applied
CH,6,2,1,3,2489.8468790666825,Passes Ljung-Box
CH,7,2,1,4,2995.7077547676604,Passes Ljung-Box
CH,8,2,1,4,3162.928982519419,Passes Ljung-Box
CH,9,2,0,1,3282.1447462691604,Passes Ljung-Box
CH,10,2,0,1,3347.873580760478,Passes Ljung-Box
CH,11,2,0,1,3371.9631674531092,Passes Ljung-Box
CH,12,2,0,1,3369.0789814579884,Passes Ljung-Box
CH,13,1,0,2,3334.1880715986117,Passes Ljung-Box
CH,14,1,0,2,3269.7447851114757,Passes Ljung-Box
CH,15,1,0,2,3131.6277927958527,Passes Ljung-Box
CH,16,1,1,1,2798.6760902353676,Passes Ljung-Box
CH,17,3,1,2,2125.121683047822,Passes Ljung-Box
CH,18,0,0,0,,Zero-production rule applied
CH,19,0,0,0,,Zero-production rule applied
CZ,3,0,0,0,,Zero-production rule applied
CZ,4,0,0,0,,Zero-production rule applied
CZ,5,3,1,3,2695.582387239312,Passes Ljung-Box
CZ,6,1,1,1,3363.850271534346,Passes Ljung-Box
CZ,7,1,1,1,3660.075961601592,Passes Ljung-Box
CZ,8,2,0,1,3834.030850800135,Passes Ljung-Box
CZ,9,2,0,1,3909.880981354482,Passes Ljung-Box
CZ,10,2,0,1,3972.6942661687553,Passes Ljung-Box
CZ,11,2,0,1,3979.7467425224986,Passes Ljung-Box
CZ,12,2,0,1,3955.6755083039434,Passes Ljung-Box
CZ,13,2,0,1,3884.4507172394833,Passes Ljung-Box
CZ,14,2,0,1,3775.1577290106607,Passes Ljung-Box
CZ,15,1,1,1,3526.3161918160604,Passes Ljung-Box
CZ,16,1,1,2,3070.1829425465726,Passes Ljung-Box
CZ,17,0,0,0,,Zero-production rule applied
CZ,18,0,0,0,,Zero-production rule applied
DE,4,0,0,0,,Zero-production rule applied
DE,5,0,0,0,,Zero-production rule applied
DE,6,4,1,3,4486.966982120309,Passes Ljung-Box
DE,7,3,1,3,4928.399300172656,Passes Ljung-Box
DE,8,1,1,1,5115.827667833558,Passes Ljung-Box
DE,9,1,1,1,5215.455464162158,Passes Ljung-Box
DE,10,2,0,1,5304.466118542116,Passes Ljung-Box
DE,11,2,0,1,5318.1037987249865,Passes Ljung-Box
DE,12,2,0,1,5317.380274187271,Passes Ljung-Box
DE,13,2,0,1,5291.512019080079,Passes Ljung-Box
DE,14,2,0,1,5222.095315863948,Passes Ljung-Box
DE,15,2,0,1,5043.806910300576,Passes Ljung-Box
DE,16,1,1,1,4656.717646322032,Passes Ljung-Box
DE,17,0,0,0,,Zero-production rule applied
DE,18,0,0,0,,Zero-production rule applied
DE,19,0,0,0,,Zero-production rule applied
DK,3,0,0,0,,Zero-production rule applied
DK,4,0,0,0,,Zero-production rule applied
DK,5,3,1,4,2012.1779548590841,Passes Ljung-Box
DK,6,1,1,1,2671.5607592520205,Passes Ljung-Box
DK,7,1,1,1,3006.872325524207,Passes Ljung-Box
DK,8,1,1,1,3177.5826870141227,Passes Ljung-Box
DK,9,1,1,1,3279.0854867817293,Passes Ljung-Box
DK,10,2,0,1,3392.725529527505,Passes Ljung-Box
DK,11,1,1,1,3405.441022577773,Passes Ljung-Box
DK,12,1,1,1,3398.084412986269,Passes Ljung-Box
DK,13,1,1,1,3353.140344447603,Passes Ljung-Box
DK,14,1,1,1,3270.770743400646,Passes Ljung-Box
DK,15,1,1,1,3123.307035790071,Passes Ljung-Box
DK,16,0,1,1,2814.7541675186108,Passes Ljung-Box
DK,17,0,0,0,,Zero-production rule applied
DK,18,0,0,0,,Zero-production rule applied
DK,19,0,0,0,,Zero-production rule applied
EE,3,0,0,0,,Zero-production rule applied
EE,4,0,0,0,,Zero-production rule applied
EE,5,0,1,2,4.717951762734419,Passes Ljung-Box
EE,6,0,1,1,414.9688542555206,Passes Ljung-Box
EE,7,1,0,1,622.1251459304541,Passes Ljung-Box
EE,8,1,0,1,720.5898704024067,Passes Ljung-Box
EE,9,1,0,1,769.2655306370044,Passes Ljung-Box
EE,10,1,0,1,798.827294163883,Passes Ljung-Box
EE,11,1,0,1,787.3451196068543,Passes Ljung-Box
EE,12,1,0,1,736.8548598760059,Passes Ljung-Box
EE,13,1,0,1,642.6628028514231,Passes Ljung-Box
