Country,p,d,q,bic
AT,4,0,3,16168.373924193442
BE,2,0,1,13789.508129531785
BG,5,0,3,10558.665901471724
CH,3,0,4,5770.802811629751
CZ,4,0,3,8805.97448703022
DE,4,0,4,21218.43407460858
DK,3,0,1,14081.567809652059
EE,3,0,0,6894.523112619504
EL,5,0,5,12507.475737387083
ES,2,0,1,20518.953018660137
FI,4,0,4,9475.183390600752
FR,5,0,0,17902.401073454283
HR,3,0,0,9429.307865180523
HU,4,0,3,9635.075567771291
IE,5,0,0,13896.752205330482
IT,4,0,3,16631.63761213457
LT,5,0,5,7901.41991288273
LU,4,0,3,3838.2880890827455
LV,3,0,0,3020.1613246747524
NL,5,0,0,14723.18046236966
NO,4,0,2,9456.08599420699
PL,4,0,4,16491.12723865886
PT,5,0,0,16728.742381770906
RO,5,0,5,15088.5528545956
SE,5,0,4,13719.340102614184
SI,2,0,1,-3314.4445930234297
SK,3,0,5,-3314.353962488731
UK,5,0,4,17359.112316604624
