country,95% CI for ratio
AT,"(1.10, 1.18)"
BE,"(1.16, 1.27)"
BG,"(1.00, 1.11)"
CH,"(0.84, 0.87)"
CZ,"(1.00, 1.04)"
DE,"(1.37, 1.69)"
DK,"(1.18, 1.27)"
EE,"(0.55, 0.56)"
ES,"(1.16, 1.22)"
FI,"(0.61, 0.64)"
FR,"(1.28, 1.44)"
EL,"(1.12, 1.17)"
HR,"(0.61, 0.63)"
HU,"(0.60, 0.62)"
IE,"(0.67, 0.72)"
IT,"(1.16, 1.25)"
LT,"(0.65, 0.69)"
LU,"(0.64, 0.67)"
LV,"(0.51, 0.51)"
NL,"(1.26, 1.41)"
NO,"(0.67, 0.73)"
PL,"(0.88, 0.93)"
PT,"(1.01, 1.12)"
RO,"(1.11, 1.32)"
SI,"(0.62, 0.63)"
SK,"(0.75, 0.75)"
SE,"(0.85, 0.91)"
UK,"(1.45, 1.67)"
