country,95% CI for ratio
AT,"(1.18, 1.29)"
BE,"(1.30, 1.38)"
BG,"(1.29, 1.43)"
CH,"(1.08, 1.10)"
CZ,"(1.15, 1.18)"
DE,"(1.27, 1.36)"
DK,"(1.24, 1.30)"
EE,"(1.04, 1.07)"
ES,"(1.14, 1.20)"
FI,"(1.02, 1.03)"
FR,"(1.20, 1.27)"
EL,"(1.20, 1.24)"
HR,"(1.23, 1.27)"
HU,"(1.18, 1.26)"
IE,"(1.00, 1.00)"
IT,"(1.12, 1.16)"
LT,"(1.29, 1.42)"
LU,"(1.27, 1.35)"
LV,"(1.07, 1.10)"
NL,"(1.29, 1.39)"
NO,"(1.01, 1.01)"
PL,"(1.03, 1.05)"
PT,"(1.05, 1.09)"
RO,"(1.31, 1.44)"
SI,"(1.01, 1.02)"
SK,"(1.01, 1.01)"
SE,"(1.06, 1.09)"
UK,"(1.21, 1.28)"
