country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,1.271,1.2444,1.2976,"(1.2444, 1.2976)"
BE,10,1.303,1.2585,1.3475,"(1.2585, 1.3475)"
BG,10,1.27,1.2314,1.3086,"(1.2314, 1.3086)"
CH,10,1.072,1.0578,1.0862,"(1.0578, 1.0862)"
CZ,10,1.152,1.1202,1.1838,"(1.1202, 1.1838)"
DE,10,1.317,1.2631,1.3709,"(1.2631, 1.3709)"
DK,10,1.258,1.2171,1.2989,"(1.2171, 1.2989)"
EE,10,1.064,1.05,1.078,"(1.0500, 1.0780)"
EL,10,1.181,1.1515,1.2105,"(1.1515, 1.2105)"
ES,10,1.153,1.1289,1.1771,"(1.1289, 1.1771)"
FI,10,1.035,1.0289,1.0411,"(1.0289, 1.0411)"
FR,10,1.216,1.1752,1.2568,"(1.1752, 1.2568)"
HR,10,1.202,1.1709,1.2331,"(1.1709, 1.2331)"
HU,10,1.179,1.157,1.201,"(1.1570, 1.2010)"
IE,10,1.0,,,N/A
IT,10,1.115,1.0941,1.1359,"(1.0941, 1.1359)"
LT,10,1.358,1.3103,1.4057,"(1.3103, 1.4057)"
LU,10,1.202,1.1519,1.2521,"(1.1519, 1.2521)"
LV,10,1.072,1.0595,1.0845,"(1.0595, 1.0845)"
NL,10,1.341,1.2862,1.3958,"(1.2862, 1.3958)"
NO,10,1.027,1.0144,1.0396,"(1.0144, 1.0396)"
PL,10,1.061,1.0539,1.0681,"(1.0539, 1.0681)"
PT,10,1.132,1.1032,1.1608,"(1.1032, 1.1608)"
RO,10,1.332,1.2853,1.3787,"(1.2853, 1.3787)"
SE,10,1.09,1.0731,1.1069,"(1.0731, 1.1069)"
SI,10,1.012,1.009,1.015,"(1.0090, 1.0150)"
SK,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)"
UK,10,1.338,1.3064,1.3696,"(1.3064, 1.3696)"
