country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
AT,10,1.106,1.0963,1.1157,"(1.0963, 1.1157)",271
BE,10,1.185,1.1665,1.2035,"(1.1665, 1.2035)",271
DE,10,1.169,1.152,1.186,"(1.1520, 1.1860)",271
DK,10,1.108,1.0919,1.1241,"(1.0919, 1.1241)",271
EL,10,1.133,1.1187,1.1473,"(1.1187, 1.1473)",271
ES,10,1.082,1.072,1.092,"(1.0720, 1.0920)",271
FI,10,1.008,1.005,1.011,"(1.0050, 1.0110)",271
FR,10,1.131,1.1165,1.1455,"(1.1165, 1.1455)",271
HR,10,1.079,1.0711,1.0869,"(1.0711, 1.0869)",271
IE,10,1.0,,,,271
LT,10,1.156,1.142,1.17,"(1.1420, 1.1700)",271
NL,10,1.149,1.1221,1.1759,"(1.1221, 1.1759)",271
NO,10,1.004,1.0003,1.0077,"(1.0003, 1.0077)",271
PL,10,1.016,1.0123,1.0197,"(1.0123, 1.0197)",271
PT,10,1.034,1.0222,1.0458,"(1.0222, 1.0458)",271
RO,10,1.122,1.1066,1.1374,"(1.1066, 1.1374)",271
SE,10,1.022,1.0164,1.0276,"(1.0164, 1.0276)",271
UK,10,1.139,1.1143,1.1637,"(1.1143, 1.1637)",271
AT,10,1.101,1.0847,1.1173,"(1.0847, 1.1173)",301
BE,10,1.197,1.1805,1.2135,"(1.1805, 1.2135)",301
BG,10,1.181,1.1578,1.2042,"(1.1578, 1.2042)",301
CH,10,1.049,1.0427,1.0553,"(1.0427, 1.0553)",301
CZ,10,1.085,1.0737,1.0963,"(1.0737, 1.0963)",301
DE,10,1.164,1.1522,1.1758,"(1.1522, 1.1758)",301
DK,10,1.1,1.0812,1.1188,"(1.0812, 1.1188)",301
EE,10,1.015,1.0112,1.0188,"(1.0112, 1.0188)",301
EL,10,1.124,1.1074,1.1406,"(1.1074, 1.1406)",301
ES,10,1.104,1.0922,1.1158,"(1.0922, 1.1158)",301
FI,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)",301
FR,10,1.075,1.0632,1.0868,"(1.0632, 1.0868)",301
HR,10,1.077,1.0653,1.0887,"(1.0653, 1.0887)",301
HU,10,1.066,1.0563,1.0757,"(1.0563, 1.0757)",301
IE,10,1.0,,,,301
IT,10,1.112,1.0955,1.1285,"(1.0955, 1.1285)",301
LT,10,1.15,1.1393,1.1607,"(1.1393, 1.1607)",301
