country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string,day
AT,10,1.311,1.2718,1.3502,"(1.2718, 1.3502)",271
BE,10,1.332,1.2992,1.3648,"(1.2992, 1.3648)",271
BG,10,1.329,1.294,1.364,"(1.2940, 1.3640)",271
CH,10,1.07,1.0599,1.0801,"(1.0599, 1.0801)",271
CZ,10,1.156,1.1391,1.1729,"(1.1391, 1.1729)",271
DE,10,1.326,1.2926,1.3594,"(1.2926, 1.3594)",271
DK,10,1.273,1.232,1.314,"(1.2320, 1.3140)",271
EE,10,1.062,1.0478,1.0762,"(1.0478, 1.0762)",271
EL,10,1.221,1.199,1.243,"(1.1990, 1.2430)",271
ES,10,1.166,1.1481,1.1839,"(1.1481, 1.1839)",271
FI,10,1.024,1.0171,1.0309,"(1.0171, 1.0309)",271
FR,10,1.239,1.2101,1.2679,"(1.2101, 1.2679)",271
HR,10,1.226,1.2049,1.2471,"(1.2049, 1.2471)",271
HU,10,1.185,1.1479,1.2221,"(1.1479, 1.2221)",271
IE,10,1.0,,,,271
IT,10,1.132,1.1182,1.1458,"(1.1182, 1.1458)",271
LT,10,1.409,1.3749,1.4431,"(1.3749, 1.4431)",271
LU,10,1.23,1.2064,1.2536,"(1.2064, 1.2536)",271
LV,10,1.093,1.084,1.102,"(1.0840, 1.1020)",271
NL,10,1.314,1.2564,1.3716,"(1.2564, 1.3716)",271
NO,10,1.013,1.0082,1.0178,"(1.0082, 1.0178)",271
PL,10,1.052,1.0426,1.0614,"(1.0426, 1.0614)",271
PT,10,1.069,1.053,1.085,"(1.0530, 1.0850)",271
RO,10,1.284,1.2337,1.3343,"(1.2337, 1.3343)",271
SE,10,1.071,1.0478,1.0942,"(1.0478, 1.0942)",271
SI,10,1.014,1.0103,1.0177,"(1.0103, 1.0177)",271
SK,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)",271
UK,10,1.241,1.2006,1.2814,"(1.2006, 1.2814)",271
AT,10,1.227,1.1672,1.2868,"(1.1672, 1.2868)",301
BE,10,1.379,1.3461,1.4119,"(1.3461, 1.4119)",301
BG,10,1.342,1.2988,1.3852,"(1.2988, 1.3852)",301
CH,10,1.075,1.0627,1.0873,"(1.0627, 1.0873)",301
CZ,10,1.139,1.1217,1.1563,"(1.1217, 1.1563)",301
DE,10,1.333,1.3054,1.3606,"(1.3054, 1.3606)",301
DK,10,1.273,1.2091,1.3369,"(1.2091, 1.3369)",301
EE,10,1.051,1.0406,1.0614,"(1.0406, 1.0614)",301
EL,10,1.198,1.1728,1.2232,"(1.1728, 1.2232)",301
ES,10,1.23,1.2026,1.2574,"(1.2026, 1.2574)",301
FI,10,1.018,1.0106,1.0254,"(1.0106, 1.0254)",301
FR,10,1.203,1.174,1.232,"(1.1740, 1.2320)",301
HR,10,1.228,1.1869,1.2691,"(1.1869, 1.2691)",301
HU,10,1.188,1.1564,1.2196,"(1.1564, 1.2196)",301
IE,10,1.0,,,,301
IT,10,1.19,1.1648,1.2152,"(1.1648, 1.2152)",301
LT,10,1.396,1.3612,1.4308,"(1.3612, 1.4308)",301
LU,10,1.268,1.2475,1.2885,"(1.2475, 1.2885)",301
LV,10,1.079,1.0641,1.0939,"(1.0641, 1.0939)",301
NL,10,1.311,1.2544,1.3676,"(1.2544, 1.3676)",301
NO,10,1.009,1.0067,1.0113,"(1.0067, 1.0113)",301
PL,10,1.041,1.0282,1.0538,"(1.0282, 1.0538)",301
PT,10,1.133,1.0993,1.1667,"(1.0993, 1.1667)",301
RO,10,1.336,1.299,1.373,"(1.2990, 1.3730)",301
SE,10,1.071,1.0506,1.0914,"(1.0506, 1.0914)",301
SI,10,1.016,1.011,1.021,"(1.0110, 1.0210)",301
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)",301
UK,10,1.312,1.2532,1.3708,"(1.2532, 1.3708)",301
AT,10,1.201,1.1541,1.2479,"(1.1541, 1.2479)",332
BE,10,1.471,1.4206,1.5214,"(1.4206, 1.5214)",332
BG,10,1.361,1.3245,1.3975,"(1.3245, 1.3975)",332
CH,10,1.08,1.0657,1.0943,"(1.0657, 1.0943)",332
CZ,10,1.21,1.1884,1.2316,"(1.1884, 1.2316)",332
DE,10,1.374,1.3249,1.4231,"(1.3249, 1.4231)",332
DK,10,1.145,1.0981,1.1919,"(1.0981, 1.1919)",332
EE,10,1.059,1.042,1.076,"(1.0420, 1.0760)",332
EL,10,1.295,1.2644,1.3256,"(1.2644, 1.3256)",332
ES,10,1.227,1.1915,1.2625,"(1.1915, 1.2625)",332
FI,10,1.013,1.0095,1.0165,"(1.0095, 1.0165)",332
FR,10,1.362,1.3137,1.4103,"(1.3137, 1.4103)",332
HR,10,1.264,1.2306,1.2974,"(1.2306, 1.2974)",332
HU,10,1.149,1.1191,1.1789,"(1.1191, 1.1789)",332
IE,10,1.0,,,,332
IT,10,1.272,1.251,1.293,"(1.2510, 1.2930)",332
LT,10,1.365,1.2895,1.4405,"(1.2895, 1.4405)",332
LU,10,1.337,1.286,1.388,"(1.2860, 1.3880)",332
LV,10,1.071,1.054,1.088,"(1.0540, 1.0880)",332
NL,10,1.376,1.3163,1.4357,"(1.3163, 1.4357)",332
NO,10,1.006,1.0023,1.0097,"(1.0023, 1.0097)",332
PL,10,1.059,1.0519,1.0661,"(1.0519, 1.0661)",332
PT,10,1.105,1.0868,1.1232,"(1.0868, 1.1232)",332
RO,10,1.308,1.2586,1.3574,"(1.2586, 1.3574)",332
SE,10,1.039,1.0286,1.0494,"(1.0286, 1.0494)",332
SI,10,1.025,1.0173,1.0327,"(1.0173, 1.0327)",332
SK,10,1.007,1.0035,1.0105,"(1.0035, 1.0105)",332
UK,10,1.292,1.2091,1.3749,"(1.2091, 1.3749)",332
AT,10,1.181,1.1194,1.2426,"(1.1194, 1.2426)",362
BE,10,1.444,1.3891,1.4989,"(1.3891, 1.4989)",362
BG,10,1.295,1.2686,1.3214,"(1.2686, 1.3214)",362
CH,10,1.107,1.0919,1.1221,"(1.0919, 1.1221)",362
