country,battery_tol01,battery_tol05,naive_tol01,naive_tol05,naive_tol10
BE,1.468,1.406,18.089,4.107,2.648
DE,1.381,1.369,6.528,3.182,2.501
LT,1.386,1.36,20.622,16.003,5.935
LU,1.323,1.333,2.314,3.505,2.467
BG,1.292,1.332,2.665,1.936,1.72
RO,1.328,1.3,2.662,2.194,2.117
NL,1.399,1.296,34.102,4.772,3.293
UK,1.404,1.257,13.693,3.081,1.78
FR,1.252,1.25,1.882,1.565,1.44
EL,1.197,1.235,1.34,1.323,1.311
AT,1.326,1.23,4.19,3.188,2.806
HR,1.2,1.227,4.31,3.189,2.862
CZ,1.211,1.216,4.418,1.78,1.506
ES,1.196,1.215,1.39,1.413,1.448
DK,1.227,1.193,9.514,4.378,2.9
IT,1.149,1.182,1.326,1.283,1.27
HU,1.181,1.172,3.204,2.556,2.37
PT,1.17,1.111,1.542,1.599,1.586
CH,1.072,1.083,1.324,1.173,1.136
LV,1.078,1.068,41.846,2.178,2.075
SE,1.07,1.051,28.164,47.397,2.129
EE,1.056,1.046,8.899,6.368,4.437
PL,1.05,1.044,14.603,6.171,3.633
SI,1.02,1.018,1.139,1.023,1.008
FI,1.023,1.015,1.821,11.892,1.305
NO,1.018,1.008,11.975,1.054,1.018
SK,1.008,1.008,1.031,1.012,1.005
IE,1.0,1.0,7.622,2.176,1.324
