country,n_scenarios,ratio,day
AT,1000,3.9126,271
BE,1000,2.0976,271
BG,1000,2.3144,271
CH,1000,1.1831,271
CZ,1000,1.6276,271
DE,1000,1.5701,271
DK,1000,3.0242,271
EE,1000,598611.536,271
EL,1000,1.3437,271
ES,1000,1.3482,271
FI,1000,1123481.1129,271
FR,1000,1.8171,271
HR,1000,3.5972,271
HU,1000,3.3705,271
IE,1000,8.4012,271
IT,1000,1.3195,271
LT,1000,11773548.0091,271
LU,1000,1.6769,271
LV,1000,976223.1135,271
NL,1000,2.6494,271
NO,1000,1.1043,271
PL,1000,8.8995,271
PT,1000,1.4001,271
RO,1000,2.1025,271
SE,1000,2.0698,271
SI,1000,1.0058,271
SK,1000,1.0005,271
UK,1000,2.7744,271
AT,1000,3.1729,301
BE,1000,3.4682,301
BG,1000,2.4841,301
CH,1000,1.2219,301
CZ,1000,1.3695,301
DE,1000,2.8588,301
DK,1000,10.0213,301
EE,1000,44.7124,301
EL,1000,1.2554,301
ES,1000,1.4262,301
FI,1000,104.8488,301
FR,1000,2.1891,301
HR,1000,5.2362,301
HU,1000,3.8041,301
IE,1000,9.1647,301
IT,1000,1.4118,301
LT,1000,12.9467,301
LU,1000,2.051,301
LV,1000,6.9464,301
NL,1000,5.8928,301
NO,1000,1.0136,301
PL,1000,8.5606,301
PT,1000,1.5296,301
RO,1000,2.5271,301
SE,1000,6.7433,301
SI,1000,1.0761,301
SK,1000,1.0131,301
UK,1000,2.7437,301
AT,1000,4.8122,332
BE,1000,6.486,332
BG,1000,2.3643,332
CH,1000,1.1466,332
CZ,1000,1.632,332
DE,1000,3.7194,332
DK,1000,8.2552,332
EE,1000,0.0,332
EL,1000,1.4124,332
ES,1000,1.3919,332
FI,1000,3906344.8333,332
FR,1000,1.6168,332
HR,1000,3.5575,332
HU,1000,2.6187,332
IE,1000,0.0,332
IT,1000,1.4041,332
LT,1000,11.5721,332
LU,1000,4.2219,332
LV,1000,7.352,332
NL,1000,8.6,332
NO,1000,1.022,332
PL,1000,6.2366,332
PT,1000,1.6537,332
RO,1000,2.8126,332
SE,1000,8.4935,332
SI,1000,1.0453,332
SK,1000,1.0049,332
UK,1000,5.4051,332
AT,1000,3.1284,362
BE,1000,5.8293,362
BG,1000,2.0544,362
CH,1000,1.2094,362
CZ,1000,2.8153,362
DE,1000,7.5006,362
DK,1000,0.0,362
EE,1000,1.0,362
EL,1000,1.3516,362
ES,1000,1.4717,362
FI,1000,1.0,362
FR,1000,2.0738,362
HR,1000,3.5597,362
HU,1000,3.5875,362
IE,1000,1.0006,362
IT,1000,1.1661,362
LT,1000,3413746.5724,362
LU,1000,3.3376,362
LV,1000,0.0,362
NL,1000,1.4794,362
NO,1000,1.0032,362
PL,1000,14.0716,362
PT,1000,1.472,362
RO,1000,2.3619,362
SE,1000,22001578.9335,362
SI,1000,1.0397,362
SK,1000,1.0224,362
UK,1000,1.0919,362
