tol,day,country,n_sets,mean_ratio,ci_lower,ci_upper,ratio_1000,extreme_1000,within_ci,rel_dev_pct
0.0100,271,AT,10,5.0468,3.3405,6.7530,7.6348,False,False,51.2800
0.0100,271,BE,10,4.7279,3.2741,6.1817,2.6704,False,False,-43.5183
0.0100,271,BG,10,3.7427,2.2931,5.1923,4.5382,False,True,21.2547
0.0100,271,CH,10,1.6886,1.3101,2.0672,48818985.0576,True,False,
0.0100,271,CZ,10,3.6048,1.1575,6.0521,5.2598,False,True,45.9110
0.0100,271,DE,10,1.9747,1.6206,2.3288,1.3801,False,False,-30.1109
0.0100,271,DK,10,3.8818,2.5193,5.2443,3.3318,False,True,-14.1687
0.0100,271,EE,10,0.0000,,,64537.1364,True,False,
0.0100,271,EL,10,1.3485,1.3025,1.3944,1.4074,False,False,4.3678
0.0100,271,ES,10,1.3502,1.2785,1.4220,1.3311,False,True,-1.4146
0.0100,271,FI,10,0.0000,,,978338.6720,True,False,
0.0100,271,FR,10,1.8484,1.6559,2.0408,1.9188,False,True,3.8087
0.0100,271,HR,10,4.4920,0.9938,7.9902,0.0000,False,False,-100.0000
0.0100,271,HU,10,4.1166,2.9996,5.2336,6.2064,False,False,50.7652
0.0100,271,IE,10,15.6930,0.5625,30.8235,31720.2103,True,False,
0.0100,271,IT,10,1.3040,1.2246,1.3835,1.3792,False,True,5.7669
0.0100,271,LT,10,0.0000,,,2218593.8780,True,False,
0.0100,271,LU,10,3.0644,1.7520,4.3768,2.4997,False,True,-18.4278
0.0100,271,LV,10,0.0000,,,7127.9290,True,False,
0.0100,271,NL,10,4.1078,2.8262,5.3895,2.6362,False,False,-35.8245
0.0100,271,NO,10,3.5064,1.7684,5.2444,5.1754,False,True,47.5987
0.0100,271,PL,10,30.2168,14.6527,45.7808,0.0000,False,False,-100.0000
0.0100,271,PT,10,1.3958,1.3382,1.4533,1.3560,False,True,-2.8514
0.0100,271,RO,10,6.0964,-0.0528,12.2455,2.1192,False,True,-65.2385
0.0100,271,SE,10,2.4878,1.8530,3.1227,1.9538,False,True,-21.4647
0.0100,271,SI,10,0.7698,0.2732,1.2664,0.0000,False,False,-100.0000
0.0100,271,SK,10,1.0474,1.0325,1.0623,1.0000,False,False,-4.5255
0.0100,271,UK,10,3.2682,2.7867,3.7498,3.0203,False,True,-7.5852
0.0100,301,AT,10,3.4654,2.3947,4.5362,5.4041,False,False,55.9445
0.0100,301,BE,10,10.2201,-0.9622,21.4025,0.0000,False,True,-100.0000
0.0100,301,BG,10,4.8288,3.0281,6.6296,11.3713,False,False,135.4891
0.0100,301,CH,10,1.4647,1.3042,1.6253,1.4731,False,True,0.5735
0.0100,301,CZ,10,4.5256,1.3164,7.7348,0.0000,False,False,-100.0000
0.0100,301,DE,10,2.7841,2.0192,3.5489,6.3335,False,False,127.4882
0.0100,301,DK,10,86.0877,-25.8767,198.0521,0.0000,False,True,-100.0000
0.0100,301,EE,10,3.9982,-5.0464,13.0429,81495.2414,True,False,
0.0100,301,EL,10,1.2581,1.2042,1.3120,1.3068,False,True,3.8709
0.0100,301,ES,10,1.4209,1.3328,1.5090,1.3546,False,True,-4.6661
0.0100,301,FI,10,3.3643,-4.2463,10.9749,684472.0835,True,False,
0.0100,301,FR,10,2.0070,1.8440,2.1699,2.7182,False,False,35.4360
0.0100,301,HR,10,6.9536,4.8969,9.0102,14.4969,False,False,108.4805
0.0100,301,HU,10,4.0267,2.9672,5.0863,7.6191,False,False,89.2145
0.0100,301,IE,10,11.6673,1.3836,21.9511,386865.9736,True,False,
0.0100,301,IT,10,1.5129,1.3699,1.6560,1.6545,False,True,9.3595
0.0100,301,LT,10,12.9932,-2.5039,28.4902,2247311.4127,True,False,
0.0100,301,LU,10,139.0878,-159.8850,438.0606,1611846.1512,True,False,
0.0100,301,LV,10,7.2451,-8.2889,22.7791,139559.9417,True,False,
0.0100,301,NL,10,13.0688,7.8108,18.3268,0.0000,False,False,-100.0000
0.0100,301,NO,10,1.5051,-0.0621,3.0723,5673155.1395,True,False,
0.0100,301,PL,10,14.2521,6.7407,21.7634,87.5999,False,False,514.6456
0.0100,301,PT,10,1.5796,1.4147,1.7444,1.4334,False,True,-9.2555
0.0100,301,RO,10,2.5798,2.3581,2.8014,3.9511,False,False,53.1553
0.0100,301,SE,10,14.6901,3.9736,25.4065,0.0000,False,False,-100.0000
0.0100,301,SI,10,1.0222,0.4736,1.5709,0.0000,False,False,-100.0000
0.0100,301,SK,10,1.0332,1.0246,1.0417,1.0210,False,False,-1.1808
0.0100,301,UK,10,8.1380,-1.7525,18.0285,48.2031,False,False,492.3212
0.0100,332,AT,10,4.0577,2.9791,5.1363,8.2001,False,False,102.0874
0.0100,332,BE,10,10.7636,3.2468,18.2804,0.0000,False,False,-100.0000
0.0100,332,BG,10,2.8484,2.2014,3.4954,3.5002,False,False,22.8830
0.0100,332,CH,10,1.2442,1.1445,1.3438,1.3386,False,True,7.5872
0.0100,332,CZ,10,2.6337,0.8791,4.3883,0.0000,False,False,-100.0000
0.0100,332,DE,10,5.4190,3.5419,7.2962,0.0000,False,False,-100.0000
0.0100,332,DK,10,7.0337,-2.1045,16.1718,0.0000,False,True,-100.0000
