country,n_sets,mean_ratio,ci_lower,ci_upper,ci_string
AT,10,2.7298,2.3322,3.1274,"(2.3322, 3.1274)"
BE,10,3.4603,2.9824,3.9381,"(2.9824, 3.9381)"
BG,10,2.389,2.0037,2.7744,"(2.0037, 2.7744)"
CH,10,1.2134,1.1593,1.2674,"(1.1593, 1.2674)"
CZ,10,1.5474,1.4,1.6948,"(1.4000, 1.6948)"
DE,10,2.3222,2.0465,2.5979,"(2.0465, 2.5979)"
DK,10,8.0734,6.2621,9.8847,"(6.2621, 9.8847)"
EE,10,6.6454,4.4953,8.7954,"(4.4953, 8.7954)"
EL,10,1.2485,1.2129,1.2841,"(1.2129, 1.2841)"
ES,10,1.4642,1.384,1.5445,"(1.3840, 1.5445)"
FI,10,8.1457,4.9939,11.2975,"(4.9939, 11.2975)"
FR,10,1.8945,1.7748,2.0142,"(1.7748, 2.0142)"
HR,10,4.3678,3.5184,5.2173,"(3.5184, 5.2173)"
HU,10,3.1706,2.6195,3.7217,"(2.6195, 3.7217)"
IE,10,2.207,1.5056,2.9085,"(1.5056, 2.9085)"
IT,10,1.3782,1.3141,1.4424,"(1.3141, 1.4424)"
LT,10,9.7178,6.5482,12.8874,"(6.5482, 12.8874)"
LU,10,2.8995,2.311,3.488,"(2.3110, 3.4880)"
LV,10,1.8489,1.3547,2.3431,"(1.3547, 2.3431)"
NL,10,6.3529,5.1753,7.5305,"(5.1753, 7.5305)"
NO,10,1.0666,1.021,1.1122,"(1.0210, 1.1122)"
PL,10,6.3198,5.3511,7.2886,"(5.3511, 7.2886)"
PT,10,1.6089,1.4822,1.7356,"(1.4822, 1.7356)"
RO,10,2.3869,2.2654,2.5084,"(2.2654, 2.5084)"
SE,10,6.8081,4.6507,8.9656,"(4.6507, 8.9656)"
SI,10,1.0312,0.9858,1.0765,"(0.9858, 1.0765)"
SK,10,1.0138,1.0091,1.0184,"(1.0091, 1.0184)"
UK,10,2.5449,2.0299,3.0599,"(2.0299, 3.0599)"
