country,tol,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
AT,0.01000,40,3.53636,3.16753,3.97455,0.80703,0.00000,2.57834,9.11794,False
AT,0.05000,40,2.89315,2.68862,3.10995,0.42133,0.00045,4.48908,12.98889,False
AT,0.10000,40,2.68976,2.56341,2.83300,0.26959,0.11805,6.17332,16.92226,False
BE,0.01000,40,8.02337,6.18474,11.02975,4.84501,0.38511,3.88865,34.28999,False
BE,0.05000,40,3.21663,2.81979,3.71082,0.89103,6.06369,11.63155,56.91909,False
BE,0.10000,40,2.06268,1.79241,2.41944,0.62702,19.64747,19.87133,81.51461,False
BG,0.01000,40,2.73753,2.45370,3.07260,0.61890,0.00000,6.00121,16.42847,False
BG,0.05000,40,2.03160,1.90823,2.17330,0.26508,0.00024,11.71900,23.80876,False
BG,0.10000,40,1.80005,1.72669,1.88166,0.15497,0.04102,16.47229,29.72471,False
CH,0.01000,40,1.32398,1.27308,1.38928,0.11620,0.00000,4.47621,5.92642,False
CH,0.05000,40,1.18727,1.16485,1.21406,0.04921,0.00261,8.13183,9.65778,False
CH,0.10000,40,1.13807,1.12482,1.15292,0.02810,0.00954,11.29735,12.86805,False
CZ,0.01000,40,3.27355,2.67478,4.20398,1.52920,0.00000,2.32080,7.59727,False
CZ,0.05000,40,1.76881,1.65581,1.90100,0.24518,0.01483,8.42266,14.92434,False
CZ,0.10000,40,1.50123,1.44042,1.57069,0.13027,0.28603,14.26707,21.84759,False
DE,0.01000,40,3.12921,2.60742,3.92240,1.31498,0.00000,174.93680,547.41398,False
DE,0.05000,40,2.83643,2.50010,3.28747,0.78738,6.98331,297.88023,864.72312,False
DE,0.10000,40,2.12376,1.96880,2.30420,0.33540,154.03078,409.23783,1196.24844,False
DK,0.01000,40,5.04128,4.04510,7.10205,3.05695,0.15494,1.97454,10.73534,False
DK,0.05000,40,2.62935,1.93410,3.90357,1.96946,4.67604,3.84027,22.39233,False
DK,0.10000,40,1.71551,1.43154,2.32070,0.88915,19.56682,5.54259,43.07536,False
EE,0.01000,40,2.19641,1.33227,1240.42896,1239.09669,0.04270,0.00005,0.09389,False
EE,0.05000,40,1.17319,1.09989,1.43320,0.33331,0.53424,0.01547,0.64491,False
EE,0.10000,40,1.05788,1.03550,1.12245,0.08695,2.34623,0.01754,2.50059,False
EL,0.01000,40,1.32285,1.28984,1.35850,0.06866,0.00000,92.57180,122.45902,False
EL,0.05000,40,1.32094,1.29137,1.35252,0.06115,0.04463,105.40498,139.29268,False
EL,0.10000,40,1.31684,1.29425,1.34195,0.04770,1.17644,114.46429,152.28009,False
ES,0.01000,40,1.40713,1.36180,1.45925,0.09745,0.00000,321.35374,452.18670,False
ES,0.05000,40,1.44618,1.41080,1.48331,0.07251,1.56121,359.88520,522.71488,False
ES,0.10000,40,1.47640,1.44489,1.50854,0.06365,15.14948,389.70409,597.72563,False
FI,0.01000,40,2.58590,1.46338,1384.24362,1382.78024,0.03948,0.00005,0.10222,False
FI,0.05000,40,1.11149,1.05985,1.29276,0.23291,1.19760,0.01290,1.34545,False
FI,0.10000,40,1.02782,1.01672,1.05181,0.03508,6.09233,0.01843,6.28073,False
FR,0.01000,40,1.98000,1.86639,2.11370,0.24731,1.84626,121.35042,243.92937,False
FR,0.05000,40,1.73257,1.65580,1.80552,0.14973,30.90017,155.14638,322.33873,False
FR,0.10000,40,1.52121,1.44354,1.61753,0.17398,90.04194,179.05641,409.35558,False
HR,0.01000,40,5.23096,4.46380,6.22216,1.75835,0.00000,0.10847,0.56738,False
HR,0.05000,40,3.57636,3.26814,3.95413,0.68599,0.00015,0.27765,0.99350,False
HR,0.10000,40,3.16513,2.92591,3.43391,0.50800,0.00542,0.43265,1.38654,False
HU,0.01000,40,3.60343,3.21474,4.11110,0.89636,0.00000,0.18418,0.66368,False
