country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
AT,0.01000,271,10,4.28326,3.15166,5.81810,2.66644,0.00000,1.54333,6.61050,False
AT,0.01000,301,10,3.01710,2.47708,3.82147,1.34439,0.00000,3.09001,9.32287,False
AT,0.01000,332,10,3.76154,3.19870,4.58667,1.38797,0.00000,2.97881,11.20490,False
AT,0.01000,362,10,3.45531,2.86279,4.27173,1.40894,0.00000,2.70121,9.33349,False
AT,0.05000,271,10,3.28825,2.76222,3.94929,1.18707,0.00004,3.06381,10.07469,False
AT,0.05000,301,10,2.64313,2.34735,2.99491,0.64756,0.00115,4.97402,13.15003,False
AT,0.05000,332,10,3.11514,2.69420,3.60493,0.91073,0.00063,5.01143,15.61326,False
AT,0.05000,362,10,2.67321,2.42516,2.92399,0.49883,0.00000,4.90704,13.11757,False
AT,0.10000,271,10,2.95912,2.66470,3.31961,0.65491,0.00111,4.60362,13.62591,False
AT,0.10000,301,10,2.44762,2.26381,2.63409,0.37028,0.00219,6.76217,16.55658,False
AT,0.10000,332,10,2.83517,2.49697,3.16399,0.66702,0.42599,6.79292,20.46687,False
AT,0.10000,362,10,2.59063,2.48060,2.70013,0.21954,0.04290,6.53455,17.03970,False
BE,0.01000,271,10,4.13277,3.00781,5.42479,2.41698,0.00000,7.65972,31.65584,False
BE,0.01000,301,10,6.55526,4.42526,12.45094,8.02568,0.00000,4.28699,28.10234,False
BE,0.01000,332,10,11.39515,8.02979,18.61636,10.58657,0.00000,2.48298,28.29393,False
BE,0.01000,362,10,18.42445,10.13802,85.16125,75.02323,1.54043,1.12493,49.10784,False
BE,0.05000,271,10,3.01882,2.53312,3.45902,0.92590,0.00000,17.16559,51.81980,False
BE,0.05000,301,10,3.31363,2.89320,3.77740,0.88420,0.00000,13.66603,45.28417,False
BE,0.05000,332,10,5.27534,4.80199,5.83099,1.02899,0.11077,9.12310,48.71183,False
BE,0.05000,362,10,2.66512,2.20517,3.43665,1.23148,24.14398,6.57150,81.86054,False
BE,0.10000,271,10,2.57887,2.33674,2.81495,0.47821,0.00118,26.84705,69.23814,False
BE,0.10000,301,10,2.87455,2.60362,3.15642,0.55280,0.00041,21.81733,62.71617,False
BE,0.10000,332,10,3.64954,3.40311,3.92803,0.52492,1.51944,16.88938,67.18375,False
BE,0.10000,362,10,1.39472,1.28018,1.54860,0.26841,77.06886,13.93157,126.92037,False
BG,0.01000,271,10,3.24067,2.65331,3.98143,1.32812,0.00000,3.45291,11.18976,False
BG,0.01000,301,10,3.62799,2.80547,4.93438,2.12892,0.00000,3.58087,12.99134,False
BG,0.01000,332,10,2.61763,2.14364,3.23396,1.09031,0.00000,7.68717,20.12217,False
