Country,ε=0.01 / 50%,ε=0.01 / 100%,ε=0.01 / 200%,ε=0.05 / 50%,ε=0.05 / 100%,ε=0.05 / 200%,ε=0.1 / 50%,ε=0.1 / 100%,ε=0.1 / 200%
AT,1.557,1.338,1.191,1.493,1.337,1.199,1.221,1.168,1.124
BE,1.448,1.3,1.223,1.422,1.319,1.241,1.376,1.283,1.22
BG,1.508,1.294,1.204,1.522,1.372,1.263,1.526,1.385,1.275
CH,1.121,1.087,1.071,1.102,1.071,1.057,1.089,1.063,1.05
CZ,1.232,1.157,1.128,1.231,1.157,1.11,1.199,1.141,1.102
DE,1.43,1.314,1.225,1.403,1.309,1.227,1.37,1.278,1.208
DK,1.506,1.292,1.173,1.366,1.248,1.158,1.182,1.123,1.094
EE,1.136,1.067,1.034,1.124,1.067,1.035,1.051,1.036,1.022
ES,1.244,1.177,1.119,1.179,1.151,1.108,1.125,1.099,1.075
FI,1.049,1.025,1.012,1.048,1.025,1.014,1.018,1.012,1.008
FR,1.311,1.229,1.168,1.306,1.245,1.181,1.227,1.173,1.142
EL,1.24,1.186,1.146,1.257,1.22,1.174,1.232,1.2,1.162
HR,1.424,1.221,1.124,1.36,1.209,1.122,1.168,1.128,1.082
HU,1.355,1.174,1.092,1.398,1.209,1.115,1.229,1.14,1.084
IE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
IT,1.161,1.127,1.103,1.161,1.136,1.111,1.135,1.112,1.093
LT,1.663,1.372,1.216,1.573,1.378,1.235,1.321,1.238,1.164
LU,1.412,1.27,1.193,1.397,1.277,1.204,1.37,1.268,1.191
LV,1.175,1.087,1.048,1.16,1.083,1.047,1.083,1.055,1.033
NL,1.689,1.449,1.281,1.505,1.353,1.253,1.357,1.226,1.167
NO,1.031,1.021,1.013,1.015,1.01,1.007,1.011,1.009,1.005
PL,1.12,1.062,1.031,1.065,1.04,1.022,1.032,1.019,1.016
PT,1.251,1.16,1.095,1.119,1.101,1.071,1.089,1.054,1.037
RO,1.579,1.363,1.216,1.419,1.294,1.191,1.293,1.195,1.132
SI,1.025,1.013,1.01,1.02,1.015,1.011,1.017,1.011,1.011
SK,1.01,1.007,1.006,1.01,1.009,1.005,1.01,1.007,1.006
SE,1.156,1.073,1.035,1.189,1.092,1.047,1.197,1.102,1.053
UK,1.463,1.343,1.251,1.305,1.219,1.164,1.29,1.199,1.132
