country,mean_tol05,mean_tol01,mean_diff,max_abs_diff,days_tol01_higher
UK,1.2567499999999998,1.40425,0.14749999999999996,0.21299999999999986,4
NL,1.2965,1.3992499999999999,0.10274999999999995,0.19499999999999984,4
AT,1.23,1.32625,0.09624999999999995,0.18199999999999994,3
BE,1.4065,1.468,0.061499999999999944,0.266,2
PT,1.11125,1.1695,0.058250000000000024,0.08200000000000007,4
DK,1.193,1.22675,0.03375000000000006,0.10000000000000009,2
RO,1.2995,1.328,0.028500000000000025,0.08400000000000007,3
LT,1.3605,1.3855,0.025000000000000022,0.1519999999999999,2
SE,1.05075,1.07,0.019250000000000045,0.037000000000000144,4
DE,1.36875,1.38125,0.012500000000000011,0.14800000000000013,1
NO,1.00775,1.0182499999999999,0.01050000000000001,0.014000000000000012,4
LV,1.0675,1.07775,0.010250000000000092,0.04100000000000015,3
EE,1.0465,1.05575,0.009250000000000036,0.018000000000000016,4
HU,1.17175,1.181,0.009250000000000036,0.028000000000000025,3
FI,1.0147499999999998,1.0227499999999998,0.007999999999999952,0.010999999999999899,4
PL,1.044,1.0505,0.006500000000000006,0.018000000000000016,3
SI,1.01775,1.01975,0.0019999999999999463,0.0040000000000000036,3
FR,1.25025,1.25225,0.0019999999999998908,0.10199999999999987,1
SK,1.00775,1.0082499999999999,0.000500000000000056,0.0030000000000001137,1
IE,1.0,1.0,0.0,0.0,0
CZ,1.2155,1.21075,-0.0047499999999999765,0.016999999999999904,1
LU,1.33325,1.3227499999999999,-0.01050000000000001,0.03699999999999992,1
CH,1.083,1.072,-0.01100000000000001,0.018000000000000016,1
ES,1.21475,1.19625,-0.01849999999999996,0.03499999999999992,0
HR,1.2269999999999999,1.2005,-0.026499999999999968,0.05899999999999994,1
IT,1.1815,1.149,-0.03249999999999997,0.06800000000000006,0
EL,1.23475,1.19725,-0.03749999999999998,0.04799999999999982,0
BG,1.33175,1.292,-0.03974999999999995,0.05899999999999994,0
