hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,75.14384238961122,0.0,0.0,62.71576826309084,13.160912289086301,0.0,9.14189269674974,31.374150998329654,33.5257978482968,0.0,0.0,52.495543451856605,18.713630438731744,45.37396319925726,55.73045562355741,97.74798962232191,51.92744217361205,87.57537268110784,18.517493328132446,12.89539001924722,25.41740198898584,0.0,50.519585587461,89.63088658777818,35.43932075028138,0.0,50.28398533740821,94.2743493042806,0.0,32.871820697397524,0.0,24.636187863311143,0.0,0.0,4.315217461943551,24.599875272311213,10.623925095631552,38.28745354665928,40.21521642336096,22.196210064239757,0.0,18.445092862278344,25.98622242873718,15.177334694728453,15.559029839038912,0.0,0.0,20.258573900318776,0.0,0.0,18.630197399359815,93.70447357159401,0.0,54.22824965102587,31.684601740064767,66.84305543430176,0.0,0.0,64.2780582250478,9.36898142564435,13.523178718763193,39.70244428369962,39.844166657600226,0.0,46.14996614949775,87.84241777984914,13.845602448999816,6.1991796764058655,0.0,2.031329938620699,13.289053808429419,31.845404984319146,0.0,0.0,76.4288278541461,59.78990515586377,0.7122198054031923,0.0,0.0,14.743117418456924,49.54170097517407,5.027968327448756,18.767159568961663,0.0,27.403618323922487,14.057679896290546,27.71556501083496,63.509040691498996,55.64580712816063,16.277749956276963,0.0,13.273249713151127,37.80375245876232,5.926017529377145,32.02932818896399,17.751279041793016,13.955097860261105,71.69374808286338,0.0,0.0
6,52.37002299167614,43.63490559532386,453.9598563632642,196.39757244839723,186.4250858847324,310.59928346552573,55.818455429103295,484.58201674760846,144.32587420214446,390.36792754564704,359.60557513395815,135.25053430991903,319.71868115540576,83.84897783177277,94.92944426604338,267.96862908533745,206.3262751661543,551.9550081514357,97.70638841815786,358.7249487032349,60.3807866769817,80.61097900030904,273.0815635434386,157.78700295498578,202.47557673728386,189.6821537646875,9.933401526393652,123.9307600242029,0.0,143.6476795498512,121.70852153806507,308.61457261743516,48.200496652416604,426.2084962501219,388.5157147071652,271.77616540809817,119.06514078211264,66.67150510934803,3.216348607739377,346.573587294179,184.60300889056325,0.0,156.97682375253294,245.88559620751352,228.50115318734973,156.09464916155912,496.6537716961659,159.77123180284136,0.0,202.58261216193586,331.3864438576222,177.66576672267735,220.65273914088,212.49533309432366,132.7871050581307,60.49836497807101,229.12406018736033,121.76636508428943,397.6504433720146,39.90508645642947,349.76457819019,66.25327352924043,243.0264196854289,63.59611114519416,0.0,226.64557984634763,197.3451464361556,114.05836045033713,336.36001885689205,258.49230269513396,124.7460572931051,199.98256077690147,71.62964616903639,358.14031471964466,169.24222645258124,241.68785161652445,258.3629919464559,143.71851169828716,178.742315143461,97.75055964169616,135.1264377664728,17.163904830469477,442.81925623843983,318.5712562832311,180.49662251123118,438.56443372405465,141.95753871235985,102.68425802889298,270.4702234472303,238.56554178546608,366.1683050927995,169.69352313598552,316.5824744567334,0.0,0.0,417.6147492204137,33.55315726240224,0.0,222.0215398608136,237.0275789022798
7,1007.1160885886098,641.8914271024862,501.1645458549793,978.1822073693714,581.0580034214993,803.9754717857228,329.13449779207065,704.5346479086023,407.31067633658097,437.66398758733624,288.7036192156183,783.6641457205486,678.294697928267,604.5113316372667,334.5144378124519,169.0802717334921,608.7629478887247,471.9196556973794,173.18818764672602,356.91684074781176,499.25721419155917,565.4870548475843,170.50975384785187,725.7581804519978,14.509348041821795,767.268354978326,1037.6889253705785,862.2241001587377,308.21011482840845,561.1389591924823,483.491505651118,535.2509751219318,471.66803018226994,620.8716572267615,375.33883023989955,423.9169631046445,715.6824848590358,1090.8346981198488,639.9191849975768,612.1467723502291,692.5539595979695,641.477681775141,522.0453044381915,864.0006880365388,901.2370115300063,576.9920741420256,712.0937063050114,693.3739560301649,678.9282324158635,852.211931780907,340.05266274881797,483.4162820740234,439.2447417487782,464.3649176260579,410.3558169614767,621.9895545269114,541.1263807696072,333.21127378972005,241.24442682388536,645.8005085032909,313.878371071551,320.35272116830845,466.3942126196003,211.54600299154532,315.38994572990435,679.8452295738332,496.18260537826313,420.0064290960879,184.89373661659408,922.5012509383961,254.74579751783034,722.5731224179401,628.2486050349424,453.8660377770859,949.4697238607486,691.7765742507618,761.9735537393203,849.8074119847754,535.1618207301294,674.8093493983932,169.23183326769527,541.5309018173388,879.3631303104439,472.17758602572087,0.0,337.81372791432307,525.7895238285643,913.7138139531503,471.4802725330223,144.94586116158047,1280.9762655503384,504.5013665059496,729.4155031728877,378.3918640962338,732.9418669381282,713.1334128756077,635.7696096936385,641.1758248434664,617.7925615358773,829.0186986665717
8,0.0,734.2502598497299,935.2608143741345,1176.0495182205098,322.22986996708835,843.302176353847,953.6720826277658,533.2882038299394,931.2949069938268,495.6890904971782,967.5256744475247,130.60397428058695,459.07208958023193,657.4179924718596,970.1940629480873,626.4928986889997,917.8784730417594,490.55516975452747,276.0302014176752,569.6319151855581,171.5640538771088,402.4441609893527,139.80998005041192,983.6017970650103,55.88508661250182,1340.9103073036458,118.60633099073732,503.33592758286795,392.1461112501507,589.4724923782558,904.8001418387742,1143.9671661340535,841.5982770308233,604.3452699397127,842.8056984779641,588.110336857831,557.7016187229324,865.1951287390616,593.8206701111419,407.26651248324606,77.85840638006187,1010.7369961949646,97.93790154362682,365.4443263042445,806.6158591648286,597.4222059192527,243.69549329109594,1330.9601651496905,1003.7568573906522,682.1074337107999,519.4079924649994,792.383644814308,443.54029073210893,512.880546211973,0.0,348.99332743010433,1045.0259117513456,279.80445160141,6.84034067373932,706.6172410990171,1434.2641975583956,770.2133281236412,234.1589479981215,741.5221623355006,1072.1907533021822,0.0,10.191746122393056,1215.2783658261103,627.838289670083,681.3209316066161,329.1799818946038,0.0,740.2017164402132,860.9183661690959,921.4741330757889,359.98234216501584,355.0416577809991,1217.5086228070363,1197.9471029237036,729.5882355950425,228.78906946103558,1196.5974278755332,876.9917312748487,0.0,1088.1712128881397,413.6291828745844,723.5441510477765,1391.0825994395263,295.0500711297066,878.0418541047001,135.91312725197918,475.39033360677047,130.37275529132557,1224.5734982630368,847.026101370893,682.7034224635514,710.6907456163325,706.9375188979543,1819.2926746620487,1448.7819126501645
9,283.9232219646219,714.598849996365,1787.542009141262,415.3678880554359,341.7560516797886,1124.748871310396,1141.8685990534516,786.9390295931987,448.2381986492035,0.0,612.4685453469932,742.1296611099832,0.0,1405.113546202574,355.76134627048356,1328.2186582100128,635.1106431987916,843.49610270117,0.0,677.9438556938118,1399.1746855389338,778.5802602427175,728.8326546856783,297.95428549296923,1235.8086791524272,1004.2637290342641,100.8739752531718,376.45808481258115,468.91771617629774,1127.5794751916408,854.6526554822154,1286.8841939379458,1254.4069024885803,882.1992473443571,854.041646696149,354.53995749238015,451.48530015080865,1065.9307871575472,0.0,847.8387659449339,1183.1904578068861,616.3897973111154,740.7360221559027,1116.3605688876296,885.7996631910763,800.5165522037121,1020.8380832675334,1734.105036743697,1467.537483364018,2458.3724964895055,1321.548022308485,632.1487505150544,951.6691452577487,1177.2763490047328,525.3831253563776,1264.583399417562,1217.9974195575921,393.60558402513783,747.1791348987638,343.0674388681783,927.7808423669704,735.2785415769185,95.61724135291377,286.9587247431476,0.0,288.02607935187905,570.6920087403942,1110.786846667288,1228.7009438456867,760.0625040741975,895.9554066111156,1241.665538178713,377.23462432472155,1445.1510979592053,244.72638391429814,1042.0443275729438,380.5030618921724,884.0042925025938,922.3618298479471,628.5843078371267,1249.6633982359003,249.18126231664417,835.2135227064546,1705.0229211739927,456.776980653109,1101.9076483066888,560.3293336201122,1219.758105248233,847.3140063545906,757.8229357903203,961.7871261316684,643.3660874328035,490.0144347470483,194.93040432746784,406.6235448752439,1052.7303390809006,0.0,625.3973590418442,1062.2177565575491,733.2797915321082
