hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.06259327481517114,0.04727238088451143,0.027266747315253713,0.036994915986844304,0.03604634881274696,0.05147482951404795,0.06757525366962047,0.026453397572774255,0.03776866511834441,0.0922688139801852,0.022154305106316413,0.09366452648216422,0.06638302596539182,0.056499240063057954,0.02675152040841234,0.02381169470856325,0.012482733591714333,0.05942130603658234,0.06013784700837304,0.05905793876840005,0.026745238364069945,0.0527741395361761,0.012001243690677798,0.00815775641538628,0.02738422351797863,0.03984462394246132,0.0016692684038476513,0.02827154473046445,0.0,0.06793871339684168,0.07322593332980146,0.05819623846447705,0.01496112054631979,0.02329377557864346,0.021253868376629487,0.0284701708678758,0.030723579929886224,0.04542329804020679,0.04354682190548349,0.06209907971826159,0.05475618052395114,0.030851597316180507,9.851407185804822e-05,0.032483206880544596,0.03462745612983435,0.0,0.026091907163877937,0.0629188903169358,0.04164635106348418,0.009089398164967306,0.03365805625923895,0.008119135393768854,0.04927718217640191,0.04745720724969629,0.08743570602920828,0.0,0.06800327918936994,0.04205037277088927,0.08683093261887123,0.006154872394727593,0.06186004445307404,0.00291538829119202,0.0058416464610058505,0.06268924051707,0.06957627899222277,0.05485326006028557,0.015855744869156942,0.05570150217935034,0.0,0.0,0.06074715701290959,0.03227403020659253,0.06783400609536286,0.05660446505707936,0.029122188968664635,0.07749830444386227,0.037430042042560195,0.03425116087230777,0.0,0.04532886959825748,0.04679966120254844,0.029530408722319292,0.07249990737933631,0.05009501720023007,0.026750491271203814,0.025891391243200047,0.07352298990517708,0.04449717851186075,0.0323472450512123,0.014576164317590828,0.0,0.04832522130756528,0.04154668689746844,0.02030710062940522,0.03364908445853466,0.06146294451023261,0.06330693137971943,0.06344068804524776,0.08130255611847009,0.035300547633198384
8,0.24501074527310812,0.17856442918468568,0.09467834713595788,0.0669731543945973,0.17264804794588637,0.07920882378279764,0.13982125017882086,0.10733317495487113,0.023442675425179332,0.18924905967369726,0.1720846558784737,0.01759969203215045,0.1325368831850386,0.0891363146626449,0.0,0.15802459247844292,0.23542466066352702,0.11907606623848613,0.08873484730420286,0.06311216944960502,0.12275780419491134,0.1346778995143569,0.07335040930368993,0.07609335313234145,0.2190206404743015,0.13966423593032257,0.045707206011020476,0.18256189718186572,0.16226346047641294,0.1235243054134079,0.16222547353671707,0.10499126730724775,0.14035407602112315,0.14300847949646867,0.12355593997506491,0.08793669224593084,0.15514548750356522,0.15142227037365952,0.04073899987519869,0.09668941885445473,0.1875515520672929,0.10806680378602196,0.14012000028722355,0.16921554176349002,0.008668456904323663,0.1566299908176861,0.06038301551623694,0.20068034576150606,0.07046537090360665,0.29063963377381163,0.134587531091047,0.2813901741594891,0.003876139651695615,0.05862144819387302,0.2876860601563277,0.042901164021542565,0.03589342452845136,0.01913475140544388,0.0,0.18007363694981818,0.03424189805936731,0.06312849836531491,0.2559166088240384,0.0,0.093679020860166,0.1024680339666043,0.14006948265284958,0.26965911549238625,0.14128531367160935,0.038001979086365004,0.03404457950704526,0.17296619586481146,0.16793624795438808,0.15676799301999317,0.014136492864724848,0.0,0.07069166510779243,0.10535613588410479,0.13006788652736503,0.1926919574776001,0.18032195118299188,0.12464521383905247,0.23636564836336552,0.0,0.10530876534048275,0.11671288414889464,0.116017095026191,0.19879912550661527,0.08914878718212904,0.10450109440541785,0.17175720080135193,0.1159563849010525,0.24225165523615588,0.12728806988477792,0.1363241395782988,0.23421367672974724,0.23620278753333007,0.19644385998544067,0.09772396766476708,0.06877547947675548
9,0.25173681960398314,0.3153302287753631,0.2505231297135593,0.2990762091835994,0.37168973739598243,0.18636152353749458,0.2932752863079801,0.2506358028328417,0.24142534925297002,0.17134206517132589,0.2296771875225083,0.3441398487073778,0.22597767790500048,0.25142333485671503,0.26460376640063493,0.2140086264675351,0.25826819574388604,0.3952593158503645,0.2719082214429155,0.27470245442968727,0.14685114977788652,0.08528878166788736,0.07074200078662296,0.2809842117673022,0.3216777872123372,0.13897155060715233,0.237099513597403,0.4902980262337327,0.24760652586143975,0.3913153176387254,0.09121680063101745,0.16373916740461264,0.2580203463229378,0.14643338535036735,0.06281156469780344,0.11806990165111264,0.4232023356323397,0.32517274593612006,0.490509767889571,0.13336464103034074,0.3808994217025272,0.3859385988341657,0.37468133722662117,0.4709677612931151,0.04329970722417886,0.1564035227020272,0.23537138143276626,0.25523547557349247,0.3189537298359827,0.30484895300595105,0.0022121105781414685,0.4069736738495947,0.35006387841244657,0.3099290971524411,0.32988956007742487,0.22379688520259974,0.11101982729030546,0.3232360545721055,0.22533000495807815,0.2948639342192201,0.4479649143668041,0.2647983711619514,0.3919350989281024,0.24802797327982332,0.28129313630330194,0.1238034656849818,0.2516669029944309,0.09559499174853314,0.33610780394222284,0.2042413729226192,0.49742084658456764,0.3098593965306027,0.24676780596082762,0.16664278030075869,0.43320600235515816,0.06678418290452576,0.22537521111097442,0.343787739159796,0.29603604879654516,0.3098632880098031,0.2220677209435583,0.2930091370886308,0.24432892773801743,0.14568734189827764,0.3481187968532581,0.0320261218872909,0.19924820339285854,0.2630972971707176,0.5568726849440835,0.3946307517280997,0.07827964206814236,0.26546242295740663,0.30151211987583376,0.45633082160813426,0.31451374925192427,0.2597807775947352,0.29069203666802307,0.46065143732340874,0.3647553192782772,0.14599015464243273
