hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,44.799484975954485,135.3610533037524,22.767230914799338,115.56888837659885,77.88352123964887,0.0,76.77412820333457,0.0,55.73448895927318,0.0,0.0,80.29716298607394,27.038504261593285,30.821834181235623,0.0,78.1849100797388,102.38127961261097,0.0,72.79010093057832,11.714587803999756,0.0,0.0,21.79315106803525,67.68629193535236,2.8811880754032515,45.88799119963307,105.34165978875868,1.7881553897771383,16.071830811113053,101.34629649291736,47.44195855057543,16.450289963123847,81.685776306111,0.0,53.77239419180744,94.21866732356696,0.0,13.499708353647158,120.64010986612055,127.21943548543825,70.990851434262,0.0,53.68503818464852,62.07493790197435,0.0,12.835166382417441,0.0,0.0,113.55589359869462,9.339236609011984,50.79826499842712,60.08158729429614,103.93140672094208,74.52390977833646,34.11151210414232,7.0138076506944245,31.16587098593887,63.55212903935288,55.09046125579252,159.52855237845466,43.26221801270617,0.0,181.06971231393783,0.0,59.54667726812511,0.0,60.41763759080691,29.007733654809613,53.71870383008179,104.50136299889854,90.91926186573613,37.61401566376719,11.507784750612466,5.534554034144193,57.348177453266814,84.0641530449058,41.22573800004915,0.0,0.0,103.91537047477814,33.63615140514135,9.99122189671862,24.39167141717429,47.806946933947955,95.62997750845639,56.31055355635105,103.41324104552459,21.37221754378663,61.67675836828332,78.79768679538434,31.119682815550238,75.46098315067229,73.96953280523017,65.64170126363182,25.0794597279546,0.28718787564203296,27.174012976320096,49.1372862025914,33.68263578795394,57.88476542868267
7,236.2652920087399,352.8635491752385,556.6849962622098,292.9083390736363,545.6459269097578,523.3687791546029,286.2790455395758,391.9640453282737,337.3749792893658,193.05715923364727,253.7911590644842,339.893139994466,203.75734466610118,342.6868853537766,435.51520157233,338.4704077877812,496.28836889330216,152.78102491330202,288.5670904594762,625.4469033663245,174.53352854987014,379.48589303401076,70.75747478812914,284.2737642433268,160.04885924661085,292.4165592384729,257.5668098554571,486.50155895718063,618.7616249689862,314.37022269198235,318.37533982255127,78.3302607468818,113.38080040709164,306.60207831841245,487.4060169254044,400.28701179582373,107.91983090300661,324.58305247990114,574.8183833931178,390.7159513130897,439.7107485073435,419.04415774704654,129.12949227358126,445.8660989449004,229.20590590550222,594.1956804290007,339.0403953063021,579.0810121945026,609.8618303926945,548.5500185412507,214.52874067224764,299.138396750712,370.2329994874613,205.68095421014618,292.1217401626984,267.19497766367044,307.5130299002443,354.01393632222766,435.70106779464004,334.0427906293056,323.50501285761715,140.94298348275748,336.51922396071024,584.7929025665325,332.0887600585358,129.67799973938656,92.63544484878688,134.5035297781235,362.78035435903814,450.24127534853153,148.72061692123677,304.62178388197026,511.0592355369613,246.0701256973756,443.9624069880142,155.87975079076642,302.4343588610539,298.00535435429066,282.28969567282803,537.6295433425196,419.9210944928801,131.99912422243196,465.61279039718585,285.97197101029076,291.8557395594472,293.00973651215315,402.11693580384406,455.25346379303573,231.5626261177943,425.0747454537363,293.1890047266696,449.9882959936143,589.7880644005007,566.7788672260399,42.1646414032233,271.1768632359515,430.1888661458615,414.68128493484517,101.74156403997813,426.46918645434226
8,711.0952887038827,352.245269820528,702.7913511774241,860.9906732815543,755.9852944966688,680.1124766220721,673.6690441510656,490.5306527264694,682.9494070632351,400.9109395422366,1037.9940319128825,799.8515737168628,648.2587234420574,222.98631803587682,742.7043174632,858.2881602158975,147.14263383101047,965.5765097130734,751.9385032803085,941.7434876575029,660.7259917108098,858.5968410589534,677.5722628558478,644.9550389925275,533.9994463341094,835.8966267920887,789.1982397738941,529.5924313938115,0.0,375.2869571963289,740.805557756426,456.3523096803589,621.1841301429869,937.8628965397993,455.56924277628065,508.7019929259747,666.3720506850099,410.4950813460923,627.5116852118001,536.9946487171796,1004.5284150236967,421.6480658114471,722.4590458996113,226.8221196421169,475.22670194497454,218.93517046876764,894.4730184889047,507.8918780236055,865.409958363204,622.4643007078619,1004.4466916949458,561.3530289255239,695.7145574352903,762.4678574558272,393.18081609680644,566.4398126690838,611.1503375331079,543.0576908679418,702.7623930711916,567.2569521989241,537.6246600973465,559.6281071332694,561.8473221985568,886.4799554911975,429.93202668663383,709.2927038054711,393.9058876848658,462.44725406873454,629.4895292812012,393.21968519179393,381.01162086892793,494.0896312345404,502.21553626603406,628.4366940637445,815.3012892750792,555.6317118318083,532.7519456246542,722.9503539764376,535.1209358351563,587.7503856305625,732.9163627979356,900.2266203521876,611.7610985069545,627.6585295412751,603.9420066173262,777.7455630970936,584.2388722804628,556.2219025533298,820.3595529216666,452.8585530413925,357.40729236829463,586.6834100206505,606.0953961225568,343.8761108771963,169.47809195930716,851.5727123708834,476.87150123270874,455.9807774586375,673.0968303390927,290.02850098120126
9,763.0545099736605,811.1344504973969,1225.4856651873338,1384.586139973227,319.02252132872616,365.2492414848025,695.2799537435648,1330.4689012795652,1140.6979565876204,279.0659206548239,511.70113321192827,762.0599731515503,954.3455687838431,1031.6298733042026,862.7666620340484,816.0474365093244,1011.318170103958,449.8034640974082,521.443138183421,835.5623809654735,674.8741247429372,520.9209049780128,0.0,891.2460917260662,123.00241973587083,548.7174949960956,468.6515548585774,358.81682925305375,715.708474519069,1395.0392540793123,462.5975709559888,138.09874859379966,1111.11536075792,976.9610559131356,835.2200018869037,824.5592731243928,681.55222764036,555.1909910732477,681.2044819518437,1172.5845846823881,943.2954400197133,765.9923153063108,1198.0732333583524,993.7281135031386,684.6528783140079,1118.7596163352607,426.87158293082825,672.2153541655628,758.2505098609769,834.0393627184916,809.8136511657659,924.4142623318498,578.6898975577686,617.9554128755982,1313.38215895941,963.9901027300405,446.20177213350775,388.27679247908554,1024.5998631942846,545.5377397440168,1071.4376720420578,1063.1102215583574,634.5776615059608,641.3485399436391,814.9840371344163,334.91424637769916,819.0414077218921,1313.0563300427243,663.9518667676847,411.8878216998557,806.2837367819471,835.5069124827878,746.9788886166281,629.983547324319,411.685570308814,1185.5948935075671,672.8896330827428,986.2413356467501,1016.6896841109913,911.3594132686063,932.8010312649694,797.4420031024302,734.2639512283013,332.26825828816783,1092.0216190623896,499.2287969532966,985.6565159996783,445.2621647725141,778.162838451419,1337.0548895220186,784.4519824323702,1056.7195763744226,282.0240853118504,1227.5464899478852,1085.5563117968425,808.2414170462624,806.4109969109118,385.48345545682673,515.0665754281968,1128.6462638242663
