hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.779433125918722,0.0,1.8503938335020662,1.0172333546611052,2.2893519416831754,3.0571293473089876,4.277156277313189,1.698397443343322,0.5784442129430538,1.316765406764644,5.290074477797933,1.6117769619395461,1.1585974907122534,0.0,3.3582299710150725,1.1313258722907946,3.260903325522227,5.36339765011903,0.0,3.2471618619177214,0.1291849786006254,1.3737364968442844,3.0867477904619443,0.0,0.0,0.20871680488839583,1.990837146085373,5.322314698923202,3.087594914726699,3.788016712329056,5.6264431116208,4.115059747481858,1.3273155337694575,0.8842590061374582,1.3070091264847248,2.242490981334797,3.8382959219137716,0.0,1.7095671729781503,1.9074724308418423,2.726379313635967,3.226178281754313,2.0528863147701184,1.499710074657096,0.0,2.751316882868785,0.10244448743551304,1.794963977020276,0.9908160614405701,2.0977773366190573,1.6389241041172216,0.0,2.2093948543752493,1.7005906496262977,0.0,0.0,4.933404889526738,0.0,3.0646957690421646,3.540629354409786,0.7215378092033127,1.7551446052842445,6.4890347256046415,3.918611631062147,0.5898183762650602,0.18377655465052545,3.667652645275904,3.04278597993135,3.428702668778764,1.121201199706447,2.1901802451600947,0.22513199092218183,2.3607251094516006,1.4458446765521384,4.560787166460949,5.076799558333125,2.793916364019463,1.3533735430291545,3.5227081431890372,1.2644508796707732,2.8533219080542365,0.0,2.3902300642189735,5.601802348139353,3.8225409571771003,2.3926716489313042,2.472065574826201,0.0,0.59847549014418,3.893103777979892,0.0,0.0,3.806042589105168,3.4498984231939294,0.0,1.7252449984828688,0.8575873537151482,0.0,2.545801201881682,1.9284696609291132
6,15.33442605716239,9.423407062234583,15.62877923931774,9.100751337469939,8.324685548878657,12.123255429432897,15.005356666265001,11.068444947114573,11.070261681960822,11.73843850743409,14.448584573544206,4.271965899897075,10.023121292278477,6.687651859863891,10.632580327560603,2.6939750586872897,15.302413129069507,12.61987157917524,11.935587110434247,14.452263358097358,14.074674197914858,2.5606563134108127,10.115361099970889,9.61125645718789,13.283057800276374,7.9007023010557225,15.675272719810005,8.258956353945846,10.060428129538993,8.185185027769695,10.672268779563172,6.579830463011221,12.42105473567165,8.284621082385383,12.897883577075433,8.706633034949606,16.557772672091062,14.145409410274189,7.651475595266485,9.467856671784043,8.07205897369681,2.7241546049967376,20.138394535019884,14.527343089828573,9.194962176210513,14.349854751122507,2.1886549611948105,9.655751324433167,7.913226433706164,2.1070041927670626,14.564332909844392,0.41208443920255,15.631728299420883,3.483499628754097,18.80419243706138,12.347793337920553,5.527259424266015,14.48060158892928,9.95169322994052,7.195270640329559,7.885782880578315,14.751048776472174,2.467012162918329,14.111766161269955,4.390465357929189,13.716303013873151,11.883143010978051,11.360575156758088,13.935686447631827,16.119409884644103,10.02689618434011,6.913740704464856,6.673480408142424,8.596528723472813,5.054375035945786,6.120871745289852,6.952745473910691,16.955378603652164,11.212617156519935,2.2016386215600843,5.079523036450088,12.368020460746223,5.623972382165954,8.10345800759124,13.157500470253346,9.199614319970554,12.94695738982356,6.402279303103647,8.534519381614935,14.965314204356108,19.332893780325307,8.758761807772697,8.004305914372349,11.306152747910449,10.652903381247825,14.151694328885892,7.9932266614572,6.62915181461691,12.67690235950625,17.855845105501423
7,17.482048305859553,18.601247765377895,21.079792077121702,12.609093511939033,2.96406119227289,27.413894673731953,11.628459604407443,24.207007098034712,22.562241458604262,15.343297114872431,18.159766267672182,0.0,15.680382092548172,36.2770116577212,13.599421209498786,11.578108832487708,41.919610661046406,25.453401436304073,0.0,6.452227004306613,29.10653700998091,42.96342008072024,14.473012820496745,24.53871492174804,20.40936291009859,12.120958184617834,35.77889444214154,0.7613772751593757,10.774501041632453,10.867982786938384,17.880988065897835,8.497092149016723,18.015811800003927,9.711647670485794,1.089658592420765,14.235789345408147,15.222817363638992,34.28692376409376,25.495498485927456,33.98090952136865,42.545406862674135,2.9274117530497694,8.474808090738822,29.069750502064302,9.44681046025137,41.611019175800195,26.794891626413083,17.61226566283027,0.0,51.21339219232917,5.383251905450306,24.24845366353327,0.0,11.287369311604039,4.2706308622456675,2.6485010543174816,22.400231696155664,18.082781147555824,8.01971416826884,19.287977183198294,14.400886974370103,19.877336798733467,19.465449022249143,17.36707694219093,10.543561343042535,16.731743715373938,15.015441793568751,25.310456019276458,14.911596386454134,24.173441411011193,13.361631535562722,22.71981113133267,9.971078772469248,7.755771033230852,23.326630553787645,18.547043142226887,25.796010067569636,22.45562880837336,37.15566684736392,21.806841141519776,15.34612870601597,17.70822038292159,4.7801145265470755,26.06043387888721,19.69784083892762,23.2257006474469,25.287679454744627,16.97639554423253,30.07579575027603,15.250123530569674,25.500456454783997,1.3072823803428477,8.567407855427053,38.05198043311046,28.74065261291954,15.98056029463473,28.698590596835956,25.064937015720183,3.2552589110842494,22.096808759319458
8,30.04386088445351,16.16007217937652,43.89892066687677,21.079115760228508,78.66824601194531,42.71924892690945,26.140737813498333,38.3488524445443,30.121874043133275,41.45639950751266,33.20003411529871,63.680623113678436,18.276213812713383,19.666061215392023,28.639588391455092,42.81001477040942,39.57396587712682,41.52092806797367,26.86407212578632,46.324488977426086,39.99436905627365,39.80443090886647,37.29172894948456,14.087806190597023,70.4487893168826,31.55815017385222,52.30408169039792,10.867118220482027,52.916715068825546,15.326884696596572,11.402113201383063,40.2886061124009,22.053686130249435,46.90949448688972,8.830028714367142,34.96318984210902,23.69285485709984,31.905139929146248,19.77610657792523,33.14172235390637,0.0,9.826145257800622,33.80630493020155,12.838234845492579,16.322982975959164,34.88170463658369,29.427560457407957,19.03216571849856,25.10704300011284,46.9266287728619,34.90707816879427,11.027561011075043,7.698324140457498,39.049406896067225,28.269086358577553,30.223439064340766,11.178482968517379,20.355192720318716,32.93887824789889,25.547703909293396,29.262057330158797,60.78406102161646,33.317345868642725,35.77265517108344,19.72383789352285,67.0099896491428,23.532437301518247,41.32686904728944,34.65994942117969,9.706141822292299,1.7105694013716288,19.841742144152743,14.460616092968364,25.30703396877835,17.884207034588943,46.33084320896285,33.5999874974402,27.764166169325943,35.04287531774588,16.715833238354946,31.774722818622543,19.674115921619425,30.05304400447222,30.20600951202139,21.461809857078563,21.836491127115732,44.72520854022534,24.306349340787875,34.95307691932554,9.876949577831077,34.122529710688845,19.537152350293933,20.25796263728205,12.522788949733398,28.279357092591944,41.49205268817407,12.283470933477272,40.06914458278525,64.82866652838509,44.582006874091874
9,37.64859670352527,45.43931445046654,12.56487869899669,48.573988418150705,31.96846212301357,52.167170695225536,40.68476230820964,33.12908856911929,26.7155418040845,41.026504499656895,33.90980633733342,43.165506186988104,30.116533258116696,19.404802917101584,58.142366000251776,47.079820834270635,39.919877473114454,9.791930396318634,11.911113102480169,62.54885326775041,61.33322683678297,51.95955050142601,41.79346041063858,42.91883228897259,19.659486842241954,22.28640104219985,0.0,55.03660647761467,31.50736568920431,36.67943341388188,18.995573659528485,12.178317141670789,60.05134488167038,14.206101995393006,47.67030706511813,35.049116144793075,20.329858261370347,6.447095600748558,26.004128606911884,13.520672020920582,61.539505243264486,36.212568001659506,64.17782912920181,60.55651309517117,37.355636475088595,58.38762535275347,40.55764888045884,21.14229329854261,17.509271900798588,31.55292965815836,19.55960829977623,16.54869707588569,94.43288281178685,3.5037930377268616,49.30039294268212,27.141968557322475,13.520056033746698,62.09445265656451,40.53374380117436,53.97672057676358,26.990345384567142,33.51857717251504,45.451899858153986,66.42010472590637,41.00694914833312,52.373939791988974,27.485560074606553,21.429911183975648,45.1808289148749,14.494822316258087,6.281074165600614,0.0,39.328266023319365,9.706524919073932,25.090344763822426,25.421790342149876,47.02551702296342,24.10105624788129,53.202765526585026,56.120589477445904,32.30413046301926,0.0,31.4438494603333,41.93267552593748,19.44482241187401,14.918307378637973,6.313445581220812,41.82041981454782,19.965374527297286,32.52921976729947,20.556330747935643,30.572524643673177,25.97471438210526,16.11214650410419,43.23928570624214,53.45340987982272,4.447278682672216,28.33536987152216,48.100660989681046,41.09230480610487
