hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4.941509570077986,1.7070290498032166,0.0,3.2797462611828867,3.644050639828324,0.9593846305703035,1.4914438981446665,0.0,3.5898447701431486,0.0,0.24236807480863265,3.918309888570301,0.6497603117617927,0.4797676154764002,0.23128823610665572,0.0,2.139128743054081,3.0915452161135892,4.0358457104817855,1.1117470593084244,0.7934766264816948,0.38047403281322023,0.3663595819267944,0.4397388375085908,0.0,6.027840130386617,4.266164677015618,1.5209237757049054,1.5706082210995225,0.1682740954867747,5.808215698390787,3.2881760610404127,0.0,0.0,0.10773713765351178,0.0,0.0,3.4044290672728454,0.0,0.0,0.5564727421650344,0.0,0.0,0.0,0.0,1.524711095994934,4.462682956691457,3.219702748756072,2.0497370969046624,0.0,0.0,0.0,2.4152021085884585,0.0,3.478663885997201,4.644214763873606,3.152098481798182,0.0,0.8668736343701658,2.1661001817465615,6.150686317989315,0.0,0.0,2.710277434569948,4.546369310189413,1.2328550428579894,5.514476573658962,1.5990627495438725,0.0,0.0,2.478012761539059,3.80039528519794,0.9163598624658731,0.0,0.0,0.0,2.8390311771858565,0.0,1.649510980945229,1.711830035222968,3.6373557934467264,1.4436739948774204,1.17424781205072,0.0,0.9557724589805845,0.09317263493288319,1.981657811423853,2.891970957032189,0.0,0.0,2.646257333858516,0.49762640915039136,1.933832500483134,0.14609814150059747,0.0,0.0,5.792856930954504,0.0,2.9730424859846383,3.5116346925172963
6,10.206205324417764,4.407660388386342,1.5889605123962998,13.136321220771215,0.0,8.301972833490389,4.416509237313912,10.918401924669237,11.682649238502048,16.728792075490325,15.20405283372357,10.285588943594146,4.341359673770507,13.636833581242836,10.000810251602232,19.0895607531679,13.54368892842831,21.18425823332021,7.116160946539651,13.784274068544487,11.289158138403007,7.32066842086393,0.7662678688993285,19.366593447244586,24.667806083992243,0.6254342986987105,2.223560810508273,9.010803192484259,10.490875594036217,5.641822942978617,19.223411459520747,11.48673064448867,10.422635640766153,18.7917933099515,13.329038091938573,31.09666853504116,12.987956648184626,0.0,2.353644637866788,5.991034899271912,5.124938125827943,4.248968022065809,10.796715297861011,25.732873143766273,31.201815190432143,5.370447045161042,21.899093932164256,6.773355761801,4.557933057067819,16.309202259130114,14.196180199646298,38.89797471410941,11.202329033473315,0.0,14.611586579419306,0.0,12.023787964354103,3.7104630365219746,4.218659962321569,4.623573581580961,11.60119864766256,38.84689911250162,5.978021726688678,10.193579812117832,5.7664014142535285,0.0,6.599314128516344,8.084927649092805,7.062232809554361,16.11502937225091,8.459431769542299,0.0,15.361401955670589,22.882764204443838,3.27786134605792,0.0,7.349817721485177,0.0,27.115438793521086,11.296421237577784,12.079266376064101,9.2700214474693,20.09070957331201,12.609560349958617,0.0,11.098217411448436,20.705667579223167,0.9216871758620684,15.579479627057534,22.35340772565619,0.0,7.756805398554502,13.41991620239438,0.0,5.793070393511633,12.471535478238664,23.587074153596063,6.250064788331213,13.192017651294897,17.873346911798052
7,0.0,37.74189486801227,87.06491676208215,46.06080094577453,46.761486266242876,0.0,9.899737719545243,15.454074296786136,105.11755199180851,26.938759737530532,94.90211529688153,83.58782873151216,70.88082931154159,3.3074549710463685,58.03226044842344,10.290728056912585,23.352021781819424,2.5932807312082105,84.58219365049837,60.745629429990046,28.014182545464756,61.22364153942172,49.48492052035435,60.01630542216121,101.0821970621487,74.16904277207875,47.01252138600554,73.34491526653649,44.6770153223111,0.11224153901014233,0.0,34.742805113313814,20.609859802742438,75.15738988656867,35.5464232633943,22.802184926451122,6.352021902050396,87.19834395074932,35.19479551670729,29.2187616121643,27.972578056911715,27.829555472840873,111.19109470507591,55.116771144765075,38.84256807376413,48.322726274715876,0.0,105.89271318879219,102.62466761268422,0.0,7.331176659061676,38.962327815347564,80.63220679388232,15.037194065027052,6.425352803091414,52.620199150355894,64.86522873617844,54.18394376713144,10.336778633046137,61.757471398678675,49.349377376264435,15.268096781388081,63.25844620979905,59.93883913281226,75.96691555409859,0.0,56.752734003569046,73.9906680744189,20.86276876959308,111.51618698863807,72.03036334412515,79.12562193393087,54.30092766653487,72.52980881891942,22.226985624532716,14.375403631830675,46.7435467205249,37.4827853615073,62.98517608384832,67.18545219115775,0.0,37.05177936105606,55.70145320200811,86.28199539936693,67.14509925318097,85.75150306354813,23.150010649301944,49.3178681717161,79.02487344885165,78.83656617347678,95.46287419907978,35.52937018353255,144.37152120037499,6.913255759302501,77.4598926523964,16.38492151693185,44.75359870542298,58.1600387027927,6.810351617335648,113.30966025136756
8,90.86945884666609,33.194235353224904,111.54352959952826,47.39185540771449,99.46487650877862,88.43034129043907,50.97464350790448,11.764916624701257,49.012319375524285,71.63819127748917,59.30445819902511,45.65865265349041,125.40878252627576,66.69194360835459,70.9270636967467,8.738714733715,212.72306954607348,117.55333407026032,129.32719341204222,6.7504387365513026,123.650029090159,105.70526470928381,46.420976060862756,146.5860835046788,163.87205711052962,27.877947470959477,122.50605419950351,56.38232579747705,151.24207586691898,80.84783947677005,65.07140819487611,42.48665431190733,107.43755045536079,40.46032658844938,61.592531572625916,107.5984407550157,11.158042903930394,69.65735423084773,114.22841381616433,51.6049061277033,51.654816097661666,94.87465712924563,26.577459440049495,13.32278615807649,48.4059656547244,107.96255632787268,85.53385004668787,54.48652862155635,62.61918380262461,41.012274338485234,66.42925367505399,51.05494511871214,137.72094349314628,128.20052568788643,131.62782833713513,88.1698318552542,0.0,66.51058721495599,151.35704936950663,60.44284704981156,11.555603703265795,85.01692985817805,71.15956663813871,56.37904995956299,29.09988638276561,95.20512237182994,136.36740834154824,69.28307987899069,63.46221008976304,32.08996069042573,46.78090490423085,62.374050099277405,143.81878314385722,47.12871602687193,101.73457036105724,95.81546267764524,25.097869830394565,45.99752424099344,51.15095785714614,116.58856704167164,85.25888102399387,46.61342067054338,73.57509924882532,26.219973372898494,109.83689170725754,18.425428504711,86.82016569141805,47.26625192644474,168.07410994013753,62.620403859546734,0.0,33.898337019099905,40.51942354698169,18.664479738401546,177.78098719583647,134.14570772280342,183.26171274122214,75.70570910200121,11.84646408473818,85.68339659932084
9,92.28724634041437,47.74344632531128,126.91546539323713,125.2027982400141,120.94860442186723,118.30247133886735,158.2468851622511,94.29164395901232,46.75494241661647,164.11534198193266,155.94470913409032,126.54573878863165,124.86953615137608,132.84840071080598,193.95947668150183,61.96990950530251,130.11785168617664,72.5766464354058,35.56358935925806,127.54075419834408,0.0,56.117676723747614,74.21163413122096,89.26455534332757,126.73367166177997,63.35123638268638,78.73215936635893,3.0024454641547464,181.1191652282971,184.2402824277856,152.6203849248252,69.69063219976691,23.12354943331765,58.46001572377323,113.54615217249003,10.46880194534144,184.1620664702044,139.97497645618597,181.37768785297823,61.81787311490931,93.20157140148828,92.41677624582881,148.2149934997227,130.91425284010015,33.47282189792317,67.35074765898302,169.96053764012572,59.25148621438994,65.27681153424808,149.2508070042193,64.9534093777886,0.04771209167779489,97.11521537514034,129.13903844523742,108.06605014937799,61.828456558853794,36.55348369735573,86.04105077311837,142.78119466511177,15.692540940771778,71.60030147486276,170.76040904103735,102.50656763201945,96.18285449958114,102.55306968249118,135.6635152858027,79.8917206476954,20.733500350640867,36.90335132865275,41.6869269240859,193.47657294644597,36.39399671575556,67.91446798351264,87.17983000827168,80.33890929095463,57.24222271015154,39.80571391082613,24.453517622742453,59.25014305591504,179.7396373498451,17.52140183055451,108.26619406037929,81.27511556192168,117.30614748983318,72.14103885417612,156.6375049015847,0.6933223158387136,73.26003367919846,21.98529191843899,149.46269805069863,34.997863705724136,22.18122908571533,129.15386646962915,114.34162979396424,119.86023503866184,62.50629447486327,129.50793161963776,7.255415708115251,190.90380746886737,105.859663649682
