Forecast_Hour,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99,scenario_100
1,33.827960418295035,84.51043013668978,0.0,84.11629083111703,15.43498827990085,150.28886471529466,74.66453059016993,0.0,0.0,106.18962827768952,360.64970827640514,82.34015217563227,38.04777830328608,78.13932541332991,190.18700721933084,0.0,0.0,38.86349360980615,130.64015727799026,0.0,0.0,130.25399804981498,186.10314836880167,172.26944256847167,301.8415538317296,0.0,71.39014812965121,0.0,7.568612510038292,304.7366090502725,173.65034610588333,67.17442521648255,115.96455310507505,143.10872629237528,162.29798217863112,93.5724177880776,144.00103764839395,116.15706909724317,165.5334068157935,0.0,0.0,104.20464684277368,0.0,70.61338961539239,36.545719577663554,0.0,0.0,169.20335636122564,212.18265140766405,21.000941673810004,178.89967590442788,214.33419807803196,358.3110787287501,94.50623000508136,205.77684282973547,71.62869648857787,0.0,0.0,190.8133006185151,142.6414621506134,0.0,13.151204285056295,0.0,0.0,262.9356444227066,131.46328640495904,134.97737905551497,293.12295172754347,0.0,80.16607529990901,65.85317988291239,243.570588767987,172.52218447654303,197.942711263259,243.3082104822032,0.0,273.116327489044,173.84240194493947,0.0,100.79425821280451,240.45709124908512,176.25540733358633,0.0,0.0,74.8329662500711,23.312735006209778,350.1806586922381,95.02995624700094,5.751538454228282,209.12771235273402,236.57806189309827,0.0,141.92960415448715,79.26621050536188,13.520484339976719,0.0,0.0,204.68993078649333,144.83211086382678,0.0
2,8.391422989199157,83.68264205515275,0.0,66.99457428033085,16.830754988181525,139.184281390979,61.47741155657918,0.0,0.0,94.96723052625651,346.7520616236821,102.90494508323863,32.841016959211714,79.92678542370344,203.1930359715122,0.0,0.0,31.503562338943013,149.34417683278005,0.0,0.0,140.94106336187033,191.4590946055955,182.99985837510116,300.72861916129375,0.0,64.17924744448977,0.0,3.9385820338400492,306.1988726635225,173.3814874221539,58.56082062958038,95.01519357718585,154.56802976134531,144.99019738303951,110.27020013920286,155.84825106612237,111.71505490085778,158.9385049348926,0.0,0.0,119.11006256218491,0.0,36.733131081300805,39.14275203666541,0.0,0.0,169.59201041980594,220.00215053399552,24.213142249637528,179.82723455650913,207.68578743910504,349.3446461892206,116.6450128444611,220.57319279983008,88.74925270900512,0.0,0.0,183.12162940806854,139.04210189815137,0.0,30.78607990780708,0.0,0.0,263.80168567720494,113.4365923403906,130.30231349436235,270.69674561730204,9.938130171865453,84.3972296120264,81.87620181730253,257.65413193661686,164.72861832282564,178.97765904553432,238.58151452196805,0.0,271.4056260019635,148.15730239021272,0.0,105.1714078400627,267.5039157807124,185.85842616383724,0.0,0.0,64.19893644976126,2.619599445440457,322.58004547351436,95.19485279974464,0.0,210.08225601321405,235.19305923115294,0.0,159.22753372914724,82.9154015164501,24.213710517723783,0.0,0.0,231.08872548452453,158.66564365966687,0.0
3,0.0,81.64501767963813,0.0,52.12442209892365,14.726615002521442,107.51726270716316,48.10206737877367,0.0,0.0,86.68171519893279,336.89326508651925,132.3908001582729,37.7805291425839,70.93501666600389,214.90314451553445,0.0,0.0,34.540182692852184,161.70252297014923,0.0,0.0,157.99780469200294,178.6763345097736,206.15939475957907,306.5099177093084,0.0,71.25832980390746,0.0,0.0,303.30864733605347,158.04084959344647,44.2514652965161,85.65534976880267,156.686858654532,154.43029049936894,120.54611772062849,155.9516848619753,113.58309340108315,150.83585675399848,0.0,2.2708456088332696,134.03854092952227,0.0,0.0,44.837297430082025,0.0,0.0,172.38099538613568,225.7137522627876,11.92997770251948,181.83620483377155,196.7044178343256,331.13946946008366,117.18020979581755,251.94863189477184,99.4978006739385,0.0,0.0,169.22728975550532,149.46330466927088,0.0,62.85443711628092,0.0,0.0,263.16932595609563,115.08812822322236,117.75149301911091,258.3038352250453,21.65058651615132,87.86735702112219,86.43080803110685,252.44062230988777,152.1624638205197,151.10442326053817,235.14696851916617,0.0,272.15847405965656,135.02492278637328,0.0,97.32912048323814,283.3768268367452,203.2371261458236,0.0,0.0,72.95626682726673,0.34748366219074,304.140033075553,85.7437020435033,0.0,201.88003145643677,243.89321970227343,0.0,175.73567410658052,82.98501783838631,40.519431153951814,0.0,0.0,252.76290727082005,172.84963963602306,0.0
4,0.0,84.66358676047582,0.0,46.05767540447241,16.031995633590995,89.1390093288875,23.553246760574993,0.0,0.0,66.40305416690846,325.3909593545527,161.0284722361127,48.987199273824395,58.53018888352521,234.40859894088518,0.0,0.0,31.014735751865047,155.83525193215155,0.0,0.0,177.790902875347,150.9031947109679,221.11214068494883,309.0555417721714,0.0,85.54702884716066,0.0,7.118336902511729,310.9076613520516,139.42568157223351,43.22432002099468,79.48039502879814,140.49414248463128,158.769506288714,136.0857072508575,168.01064021853648,117.04385958347014,145.92192540644612,0.0,17.568007022622112,154.26822725918305,7.9212111044570435,0.0,49.067293866897984,0.0,0.0,189.73554225809607,232.48558632711556,0.0,183.8018101173465,191.53644983833422,316.4361936766908,134.39028828555394,279.045562421663,88.76175701787999,0.0,0.0,156.26305599888707,174.94951404706111,0.0,92.80346834740222,0.0,0.0,253.47307098410036,113.45851857550579,126.5759778103962,260.5842235255196,32.61931266093231,89.55876506545651,93.2203660530089,216.6007801957639,134.96842074297066,131.93657733176667,239.41815950049934,0.0,272.9265639426425,129.13165506701736,0.0,99.81591223171435,299.34494722556354,219.29395234723157,0.0,0.0,94.93664553002935,0.0,288.36702095581563,69.06352370284718,0.0,188.08396425762552,248.16633253268188,0.0,194.0096644022728,96.42109468764875,42.48679845408679,0.0,0.0,275.10775442121957,178.24863410199418,9.264530116786005
5,0.0,76.40182918876275,0.0,48.864225587724434,18.128213745342165,80.54612925827803,0.0,0.0,0.0,43.96088114278501,309.2092213720933,188.6704264586506,67.80111196901242,60.837911480938914,254.63912836583387,13.64521469774661,0.0,38.79675493835683,146.5418503059342,0.0,0.0,207.68202993660302,134.33905258820835,217.71957571305586,315.2568182458001,0.0,92.2939473785435,0.0,15.04165455341888,305.1296408673709,121.00837049943178,56.021803436534604,85.1070440691091,124.41680599244832,159.7741018381447,135.15189749139066,176.01276601722702,128.48652582082138,145.06197856910782,0.0,43.32970247600949,164.53223322946883,24.15336566871082,0.0,38.102822526101846,0.0,0.0,210.68564634958958,222.572281108304,0.0,197.54078001921812,191.2100906448149,286.8551958793513,155.89369925289373,283.6989107616703,95.12337223886922,0.0,0.0,135.0078714439914,184.63770934044035,0.0,110.49107514303964,0.0,0.0,241.4747436461229,91.15071492771142,145.61905923989536,269.70482288009464,44.857023714288914,75.1945691146725,94.09998844284443,176.277780963793,121.753282286912,132.55795220750792,234.83565626602774,3.137180756060218,252.19742623718372,121.55573291214137,0.0,96.71934690631404,313.5222961186269,221.59689415682524,0.0,0.0,105.65611200366834,0.0,287.70186110161836,68.7296276912349,0.0,174.38456295826768,258.00755880554584,0.0,218.5170048527185,96.83888333420813,43.152581919723175,0.0,0.0,300.54947883259,184.73247570008343,16.107146767594912
6,0.0,66.69406555348962,0.0,49.48068664920533,17.91531295976182,85.4890280799157,0.0,0.0,0.0,17.729177158247253,316.9052006695581,205.45907635114742,76.82118746084889,67.22636017092394,270.2106642474216,32.80724146476912,0.0,48.8703809120606,132.0399994159951,0.0,0.0,232.14250778540463,113.55724079547903,211.91511150586993,328.689431539884,0.0,86.0241434638459,0.0,2.2059301289480118,295.98523609686185,109.31207849860056,82.97729419163068,82.58327462832318,110.78038354696697,168.84238859204805,134.89000872551938,179.6543296687314,130.1248693411255,141.4130841695096,0.0,60.526613033796856,177.5779432736639,43.50348832296037,0.0,29.32856734455852,0.0,0.0,222.04887230914588,204.7815849102343,0.0,201.7761598437647,178.59273296487504,253.01949564915358,176.2111719566035,268.6176024250854,85.86214816800863,0.0,0.0,124.23320212723259,173.27521794762276,0.0,114.66701182891828,0.0,0.0,234.22651154042904,58.87442991754895,179.59868149464143,281.0208198778081,49.25026160396917,49.638549145133126,100.65612004856474,148.31791254035153,122.3559815470347,140.79543656529034,238.5984982331944,3.436943587143375,233.64018923973472,120.61338216490536,0.0,107.48654938785268,331.54400068611176,219.9433988387791,0.0,0.0,85.76488469408147,0.0,283.3764669777095,82.2521220420227,0.0,176.19452535803248,271.2646428637525,0.0,228.48743466415954,77.05150130842243,47.77312233882034,0.0,0.0,332.8300650961077,199.88502475755845,17.128900530389657
7,0.0,57.22402813455095,0.0,44.10378970150103,23.70144516758853,111.34838543447495,4.033370115884182,5.1374503347628035,0.0,0.0,339.8744846579959,203.91534970139563,87.43645408082426,91.60523168315143,271.86296649843615,46.83792687106298,0.0,50.41093214700946,112.94339894144875,0.0,0.0,255.3789140399541,100.99357224907047,205.1493481325649,338.65456800776644,13.337822060404989,69.30374379401037,0.0,0.0,274.75899630917456,97.8500092061016,95.02706394741749,93.3931745327649,107.4285020849118,187.04623645731715,131.63181165216218,198.59752905322378,132.2616830676326,126.93577581809473,0.0,74.06000658075962,207.25072058774015,68.63723529011543,0.0,17.688894738714126,0.0,0.0,231.320959362493,168.1048972777933,0.0,194.96047565015064,157.61329654077036,232.47950743641093,186.70319204979035,236.2619558459106,83.61203170015466,0.0,0.0,103.99533817895903,145.6946793811013,0.0,109.90865483149983,0.0,0.0,221.87353151538198,42.940279774555066,207.9681111431298,281.8660445480133,47.73193967059195,47.00387617745768,100.95575360451186,124.56945079672558,123.04092952038933,143.0587241300147,228.57346126029228,1.4133457594402046,215.714038151604,148.36280308727237,0.0,124.06096125469824,336.8443217292741,220.94646665354634,0.0,0.0,72.00468692574809,0.0,297.9352160339762,87.0065371029517,0.0,175.78977467888564,278.21582876046,0.0,241.33751458771454,47.38797945880384,40.74670538604715,0.0,0.0,356.14952148528755,208.8745224834155,20.12983711447376
8,0.0,59.13784662907392,0.0,56.72862633877287,12.59836570689778,145.50660531685668,0.08494140617453638,32.54299081126286,0.0,0.0,366.70584213520897,205.56078847283368,78.36269121596143,120.38249231344474,269.7059482199537,55.70540560611948,8.656242256869021,44.49920821634184,94.57078328655376,0.0,0.0,277.92200954122796,107.31345659444762,211.3715694978152,366.3643753497325,24.19271405295956,65.35649282546538,0.0,0.0,244.61973110689217,86.89431813569405,94.85235598712823,104.44878015630604,114.49896977643769,202.47461668653813,116.29840709749331,218.9087699899252,128.17227885693245,125.94685175123482,0.0,88.56466797413833,249.56651828484263,88.57181837616332,0.0,25.676989666553013,0.0,0.0,224.0987169674463,135.93222274772194,0.0,179.28244321227743,136.11212438810895,223.85307011770556,173.38795374025818,202.76797951137138,92.593764981163,0.0,0.0,114.3020544671537,141.39046456256744,0.0,92.28056703398995,0.0,0.0,207.52851445012095,52.72325704295571,242.58930834630146,297.5608520639397,50.6673365722134,61.21683964063211,96.95427444175543,103.47377233712311,124.39356109035862,136.71198989635394,228.8275331599673,13.763201592498064,204.24860801488887,178.41858303808456,0.0,135.8617350643438,323.10644939108977,217.61258934311857,0.0,0.0,61.426366477184956,0.0,325.5374936999819,80.99356596490051,0.0,165.59129333701668,277.0260246105148,0.0,248.27031430392162,23.704132462445344,20.72972366485814,0.0,0.0,387.0974342578131,203.13176112284037,26.102382166924997
9,20.99866407459828,56.943277806249434,7.88197050871058,58.83971650053351,4.987828421573724,173.3259964023042,0.0,64.74379304204218,0.0,0.0,380.9130115875964,199.9609129478244,79.28464347148035,156.62443908914494,257.90864156908776,72.56262984464246,15.303587849950517,40.12347118755647,84.3195312015815,0.0,0.0,280.72337104493533,118.13476529083695,204.70363310754388,380.5774682595893,32.460420246393184,69.51511892634207,0.0,0.0,230.19225809010607,79.43421069654259,95.84418225673434,107.66782661942034,106.31162710914039,228.1482996441707,106.19112721500031,253.46192198516965,135.0297186598066,126.57093250970868,0.0,97.47893352102535,278.0961447889508,105.35198240432337,0.0,17.235390657905626,0.0,0.0,210.1524402139363,120.74191220910203,0.0,172.66499069241166,126.65981555519907,237.90526043324826,167.96224459673022,183.42740169287558,98.71940604964156,0.0,0.0,136.6244732262096,136.77109851599974,0.0,70.23840678079213,0.0,0.0,188.59051499701616,58.33263575795255,279.74139695591947,309.831988872594,53.227759693186336,87.3752542345708,80.16922400794331,94.35544879540225,137.6534069698131,122.52949643601609,232.00910666946626,0.9234511895115389,209.7956583342534,199.45561065816193,0.0,131.68112447806988,308.44979317784384,217.90285722572776,0.0,0.0,55.190814688575244,0.0,338.8101147112062,69.08346971679477,0.0,152.9302204806423,267.14971403161155,0.0,257.54263011125954,42.790801114684044,0.0,0.0,0.0,409.9907613234185,189.3645852685632,24.518529896443724
10,54.574197640210826,55.98799866258374,15.37388210215957,59.50881638056568,0.0,200.7946263168586,0.0,86.17819199868988,0.0,0.0,395.5147805969764,196.02752491868878,53.83763768623707,182.18546803831833,237.63127179793787,67.60051953539332,27.03284256692109,45.71906160726004,61.743927201248525,0.0,0.0,276.1940787150438,134.82952690610608,209.45369123384972,398.97502682858106,21.979476225385937,60.856810511544936,0.0,0.0,209.06606349703878,77.13710778138324,89.92525251266792,89.40898896979218,97.45689974018597,242.8732835403994,104.37515904107572,266.2553399471358,134.26934202713443,119.01538988511972,0.0,105.65524761003398,301.01853334907656,106.45814410714132,14.039125858870975,12.170997970636293,0.0,0.0,208.25878711259298,114.2549033260037,0.0,177.32158076348355,112.78759441051986,254.06672696610957,161.64016709070853,167.17145920266103,98.48640209071371,6.15952162799536,0.0,159.48188463901917,131.41349421837492,0.0,49.52793086413348,0.0,0.0,180.118324989889,60.723748558227115,303.7099389464845,320.90581431684603,46.97891164962974,103.55667550317925,71.76050845468085,86.28175053229984,145.12146161093557,125.0292465347272,240.3496598765456,3.9063291074546385,233.04297345803155,219.0350084729747,0.0,120.26860539430794,283.7340586193375,231.43631164787797,0.0,0.0,68.11199067354652,0.0,342.08957577916317,61.2947405783252,0.0,163.4084927699598,263.2829255467142,0.0,255.12697126727892,74.32923220571408,0.0,0.0,0.0,423.8102709813883,173.18928204739836,27.582748796964992
11,58.16128671225223,50.53067986458993,22.218947218697423,48.874527237179265,0.0,230.64017023362348,4.5232697397127595,86.02268713888367,0.0,0.0,407.10409235210886,183.31701596708825,19.44188820147116,201.79317485043666,218.35074092635546,66.35152239352551,30.304107857409335,51.18475790558554,36.145248086601924,0.0,0.0,259.6284281384653,163.3398581028077,225.18524899088118,412.7387072313506,2.884220464595785,42.503222101537666,0.0,0.0,179.13423582919364,76.85969830103546,81.09517189987916,73.05318708918688,85.51399766785622,236.89022850588356,94.83428215673099,268.51012380254394,116.30309293703885,119.64399831284169,0.0,94.6545240796593,315.61590268315547,97.37673650620314,25.86896454529594,4.348777566450551,13.700299677658577,0.0,206.06646405531666,93.69810558114732,0.0,159.59077959675727,92.77480825918434,280.57761390151325,164.37680460179882,168.2859790230185,97.84585504034607,20.869222673631853,0.0,173.71188265858552,114.29164970023139,0.0,48.226976733079425,0.0,17.11323408650901,193.9659567772573,69.66364258943536,330.1265186985121,328.2057292727525,46.47739825507285,126.006336618711,61.719112094168736,85.46096503453482,148.34728729329538,128.58297892892907,257.74310562534185,0.0,244.68675685139408,247.26973041294548,0.0,105.64285766173239,255.20341602518195,240.98465140795088,0.0,0.0,80.71328638136029,0.0,343.514065808394,61.814276783376364,22.88090004001978,176.14705836927237,250.51594926744076,0.0,256.25328802370626,109.76745073125318,0.0,0.0,0.0,424.87088028515353,145.3611781505364,24.833928751769037
12,73.43333405584366,55.75599824759469,34.96580484873864,27.72977313819969,0.0,254.70930945480853,0.0,79.81428952758206,0.0,0.0,412.66606318331236,163.21246623843268,0.0,216.57395757540706,201.51194358404285,58.08718169094034,38.56481365859665,58.25910936030999,2.5586959491065357,0.0,0.0,244.99652156517624,186.2056444293861,245.79821819080675,426.18191379124676,0.0,13.956379310771467,0.0,0.0,160.86939739017197,69.41829986855855,91.88834873909003,76.94002659472902,91.55813710629356,229.02808555414296,89.19358789169232,277.83463103181896,107.463761760122,113.4010325374874,0.0,84.51754857633932,306.02288177476703,95.77708108116188,39.40271311833522,1.5157097152596606,4.42218689352913,0.0,207.40384848025388,56.03729989097257,0.0,128.2867767184195,66.9122684763413,292.3817594088962,166.60199918691046,162.99347642722336,93.77325984617578,26.949220127522494,0.0,199.11036902575216,90.86140682817278,0.0,46.12511169194903,0.0,62.07491532322604,211.51126258192085,82.06391607700316,346.5971475610387,329.832221548754,65.23536897560236,157.01801544979605,62.2753673034689,83.36190075705588,166.94872170995288,140.9372217629687,255.35368739171304,0.0,263.86434377528667,266.2713030250494,0.0,89.8167611632898,224.2663448418082,235.81969520231468,0.0,0.0,90.72971985751438,0.0,337.6677601055284,78.46688615015181,34.41750017092642,180.83621826601959,232.74663331971848,0.0,250.25299108959635,139.56860640097744,0.0,0.0,0.0,426.5370855765824,121.79863575330428,24.239968956293637
13,84.05761133508487,75.0896939730172,37.753012074839056,23.64417373763746,0.0,279.4863214721512,0.0,77.34282489100897,13.351970353208856,0.0,431.45060955869974,167.20405356413642,0.0,231.5677833881336,191.7588294585775,57.595862439944824,35.418865542473156,55.247331300583,0.0,0.0,0.0,213.14538007401146,194.34066474843092,248.69636052628553,429.87848379337885,0.0,0.0,1.1103268796867667,10.117492370099868,147.8619434456742,66.63438505597226,110.60380027498098,71.43784876932804,87.4527728255675,231.5503805462647,80.15312732619157,267.6213565110136,114.06151526896258,117.35991112975253,0.0,85.8357270034373,312.33403780964056,92.58371908628877,58.996668940878386,0.0,0.0,0.0,202.8958831915167,27.94581325643324,0.0,104.67749652086727,41.458491153393915,318.3521959709607,180.88557171021472,159.9941332052818,115.86541698784988,38.44983276671996,0.0,233.1503924000013,71.01588994978276,0.0,60.430180114167015,0.0,88.66349772795252,231.47575853617462,104.81588401167352,354.2392390830339,322.38253061077603,88.05807023078006,176.00310156572442,63.71270111489754,79.07570264549894,175.58472963103128,162.54160178159825,253.39015899809826,0.0,266.68473870201467,263.39502084370673,0.0,90.158084717812,197.7228787456779,228.8701573793369,0.0,0.0,110.66278687414383,0.0,331.36442049252673,87.38105925420707,44.55528919950257,190.12472228314203,226.30483407328708,0.0,255.71580333618627,160.39719869231251,0.0,17.448963648316138,0.0,415.572228050311,92.31479172726685,7.376346173259961
14,89.92777211399785,93.74904681368045,26.18613963243756,38.840735215784925,0.0,285.0105611683106,0.0,64.37808410694693,39.19729096531823,0.0,447.87980434716667,176.33149595519802,0.0,243.57456543810898,188.8921238425619,66.9572937605757,37.75789661607402,40.77892802662229,0.0,0.0,0.0,180.05112887011495,200.14914685455386,246.59862954850325,421.67092782658483,0.0,0.0,3.7646531400556,3.107702730892427,140.43694748316642,51.69242295770056,120.44827159662955,70.99112220462337,73.55412321440022,217.17130781440224,91.76598941838043,264.50820870796286,128.7592453218677,113.60376271117681,0.0,92.9287953632743,319.6039667468218,93.366827625758,70.55426850020615,0.0,0.0,0.0,200.25718584242367,1.6917935584344832,0.0,87.32190950042055,21.540462802361503,339.7383129196079,195.93876922846812,166.46857504963816,139.2559142633748,57.67574143395773,0.0,261.7746265121384,70.14946634133277,0.0,69.18657586011734,0.0,98.78872653500183,237.86221008285202,136.5836045103796,344.094685408839,299.86360185685703,105.58483873040434,190.4999076383183,53.24638049577472,81.79018194558759,179.06001244983656,180.74061831829727,247.187392919454,0.0,262.31490270901236,239.15731779744783,0.0,90.78481219505069,178.19914250449165,216.91702088039318,0.0,0.0,134.12509979512922,0.0,323.7830463772301,123.33513419290725,62.07271424191298,186.5730071616523,223.39023213406568,0.0,241.20215470180585,169.45829151687735,0.0,50.59016941524911,0.0,407.6675790201492,66.44571093012135,0.0
