hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.48120869637990343,0.8897250607217236,0.0,0.0,0.10623825388364708,0.0,0.0,0.1894596820423568,0.0,0.0,0.0,0.0,0.034418760103675256,0.0,0.44250842531281526,0.0,0.4894840412242716,0.6833976279905748,0.0,0.19658684397578668,0.39709707752101026,0.4288726642668776,0.0,0.41619063253477595,0.0,0.4919685691664253,0.0,0.0,0.6987397250396034,0.0,0.3552131957093069,0.0,0.0,1.10478605903552,0.0,0.0,0.0,0.0,0.7124701789548588,0.0,0.48765878056427286,0.2982288486063319,0.0,0.11677746110276295,0.0,0.5180376384788091,0.0,0.0,0.0,0.0,0.0,0.0,0.2945184519029053,0.38898601759420254,0.0,0.0,0.33546663113857966,0.0,0.49274900916002834,0.0,0.0,0.32496692387154813,0.0,0.0,0.0,0.1160735036593593,0.0,0.06588525942023576,0.0,0.0,0.0,0.0,0.0,0.5912901953009696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38287804528694414,0.003386217981640021,0.0,0.222019823039253,0.11270152946796802,0.2986770639065691,0.0,0.009755042777971934,0.0,0.15348609609548802,0.0,0.0,0.32453285013627986,0.0,0.0,0.0,0.7427813808771162,0.0,0.021331648430756606
6,0.9381131622323406,0.7386704088819311,3.2266521783032687,0.4471372646223728,0.03081546587000905,0.29652002208707295,1.7730200916423042,1.4292214158022158,1.0713191956185053,2.3741498274323307,0.12212880160795148,1.0967090414756062,0.6421558486182568,2.682161914381726,1.0740855880341666,0.0,1.730094609595116,1.7296788413351822,1.752675246571302,0.0,0.22120251735505392,0.0,0.6584733927290076,0.0,0.7800594846981495,0.17592444043407907,0.04963624840947789,0.0,1.6844399579493756,1.4370956099900807,3.657876676168864,2.9070765531867773,0.6430408621889774,2.806724619671161,0.0,0.0,1.9453350532938984,1.655900103773611,0.0,0.0,1.1398396930412988,1.4816463736444625,0.9786767004584245,1.2655832915829823,1.702580068850492,0.07468603044193012,2.398297011314538,0.20748882820459036,1.6543397862017775,0.6398464145916825,0.4940212924963875,1.2818045445907762,0.0,0.861507078522178,1.1024614234931298,2.14635253611862,1.4387629861674904,0.0,1.409697766792967,0.0,0.0,1.4757506802059521,0.005360937828509105,0.153412778925491,0.0,1.704042049941934,0.18710437419961534,1.512452477583962,1.1691060599989476,0.5740633826852222,0.0,0.651741943856565,1.8342234023260793,0.18933886263970456,0.9520623290626563,2.10934769313862,1.1098721012012263,2.1539847165942776,0.823612965874014,0.24093251651192948,0.06361019484303732,2.0869528047298376,0.5100289331145539,0.34600628958367596,0.0,0.47936869296352624,0.034838444748940045,0.515839488609246,0.8879252730237287,0.0,0.6497581292924433,0.6118070092960903,2.562779664987808,2.780511697778934,0.8035237696052693,0.7192719763557545,2.52858260936154,0.21676498513353093,0.2807564130277921,1.1534899016611762
7,0.0,4.899592229456073,1.0951666030278733,0.0,2.006420365292361,1.0355492519556337,3.306481058148022,5.227920302652283,1.7949267136756104,0.684391904774915,3.476058821416542,4.524844500594153,4.442834047855162,3.199380156093042,0.0,1.9783012882595066,4.404848644886839,0.7572242981481232,0.7226916310480762,1.5814560048407487,2.9995663873571283,1.232398100683251,2.6419812813804215,1.2444721285626326,0.9868277661606647,1.2501199016923983,0.2665475230504186,2.3067635229477057,3.1247897919741723,3.74853476334912,2.721030351463408,1.9542296584710221,0.0,0.0,1.4833712548102715,0.5273742266925685,1.6971198880394378,0.6376228620950932,2.944366850222445,1.685699910922428,2.9476080488088594,1.5966767136661402,1.7324608107444954,2.7095077816487336,2.446298907432642,1.9303068671817671,0.0,1.3307604092882546,0.5306498908584114,1.9143369698767836,1.1998519927111415,1.9074159518965716,0.28127133257888515,0.09189697568291355,1.0148033670399519,1.1761022888285846,1.5060614112112407,4.97887325750841,3.649570214848209,1.7562570626897118,0.0,3.30222338232222,0.9432353848683132,0.9962159498212335,0.4836100998265067,1.6595454102729637,2.3521408574498452,0.0,0.003185760470351573,0.001422895161451887,2.8590427400591913,2.9220241236359836,3.735525003352304,1.7238251157730289,1.191118493321851,0.0,4.653275209128886,1.9093032001501329,0.3560780781261301,1.9281681978660823,3.9126947925356697,3.1715011479903676,3.2914443141597634,2.388892345888351,1.9579683960403227,0.0,2.704778753984603,2.9974022871538324,5.60015085141023,1.511953845430047,3.917944329646065,1.7609431166154503,0.1344072717747815,0.9989740750986502,0.6942497221371124,1.6570568920609308,2.712474353099857,3.009120946872673,1.266127829186174,2.1597849811487437
8,1.1003718774609508,3.0258224714590236,2.456933921254204,0.0,2.7087318731399823,2.0444652058655355,2.10023134083435,0.0,2.577854994979275,1.0845666498313036,5.155445402883513,2.929994386308536,2.789119671640291,2.8106920747290287,2.1467167378799763,1.2723934345196068,1.6134235957569782,0.703209302422205,0.0,1.689874986039014,1.3077093334480852,2.007553889930647,3.5040208294656194,1.0511210059861997,2.4483601114201865,2.8465848030088865,0.0,5.70910091843331,1.904960960039807,3.0042482758678974,2.369041262959861,3.3983420181802666,2.333826449466609,2.309364483441071,3.1037178597532202,1.6042444710067572,3.7526900205859537,3.150516579948965,0.9831222551886185,3.2184907651747934,2.6234971522095036,2.5457841782306545,1.7981289513282748,4.340552455978848,4.422550785110376,0.8265559696500371,4.231713744251279,1.8387263500446458,0.9808946515889572,2.8047157139787924,1.3286252008337847,1.1920573876940836,3.1995800848967453,0.5611708681377163,2.9351934930567216,3.873265915069193,3.4300060947617186,1.1625413849616169,1.6834898231319029,2.3682243511861474,3.465189758915116,2.9587841396971886,3.3779274279750764,4.438165339993254,1.7004352258218385,5.395054309693437,0.0,4.109237600488333,4.916152139052851,3.046052066356471,1.0414512142568537,6.041161163932329,2.7375608994569727,3.2843911855615606,2.825958740321574,5.094095566248445,4.164610931935518,1.55017597811046,3.444587846695338,2.4795650372156395,4.557589240099146,5.650923098194373,3.649288089484724,2.9076639253471743,1.45153208692058,2.646084647763431,3.664161350876337,1.607172574499129,4.44833060371325,3.2137468426780997,5.392270663683659,2.1236518127213557,0.4021747084534617,3.034738303636292,3.0012803852743954,1.960648061123775,4.1037210574338685,4.751614095560262,1.525339992099434,1.073288355248848
9,0.4107180007620772,6.88516095925165,1.508553329004048,3.9702746913723077,1.6326324126156204,3.5499692815771366,1.060230690224262,7.133030155411271,4.136987337179428,5.512414352839924,3.1033760148916127,6.7300214435277645,5.227468703203666,1.9370866979699009,0.38189253703818826,3.8148327429157836,5.860967850611567,2.7946355350899776,0.3659639378696138,4.3957692043781496,0.0,2.792873025288201,3.4995502692820466,4.045304067262008,1.6548945000707582,4.8462112433623545,2.775794210800932,2.5016020327781234,4.969101722107743,3.7773032142772562,3.0273273816645268,2.6629238229497245,2.508035172213912,2.0016377343548823,2.681320520647843,3.706845192740957,3.2170678681764384,4.573201941806554,2.5244625484467464,2.6598416383346573,3.656658751262705,4.044550146959503,0.6178445538516644,3.1180821593468293,2.19450647487543,4.1928004228974505,2.1994148505208906,1.4161236270396065,1.7011651072180851,3.1741028514179592,1.565539666443466,5.421143277185087,1.6929980647033676,5.961895192149228,4.8073619290349185,2.562464341002127,4.532483886982733,2.1766716699588278,1.15145293764753,1.9321232097608942,4.228511970528881,3.8578775971368566,0.9100752892269988,2.2590103440547344,2.136262494891095,3.529535819675198,1.2836720211209582,4.718647659923489,3.2599353024337074,1.5394305726127677,0.0,7.453722142222311,2.2130573909125255,2.394422608112598,4.489262386626411,4.949206373941182,3.558254851260254,3.0901636714341074,2.9346341722243814,3.0930202412976353,3.8666851540216505,4.936360208055458,2.109430715808393,5.295855286384516,3.5963155914166003,1.166606368639665,3.8218745106945264,3.619313256972267,2.49152594382654,1.5554911166964256,0.5571655809163802,1.3328897234937926,5.003593070677972,4.718229873625979,2.0729117632833485,6.417003529807014,3.123818196793328,7.078477152135534,2.9198922336423756,2.3490231618935313
