hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,9.283032327171298,13.696026930063905,0.0,6.056082469510076,28.32956406501048,0.9432072753815826,0.0,0.0,13.527181583815025,22.112730646032144,18.20897333404318,21.041661649638637,25.42061142345792,5.828424572892289,9.66653739023995,6.097711674645421,0.0,17.150979115157,12.808950735674681,11.996370870781332,30.494017939215055,14.987443427153757,2.6639359277419876,0.0,17.577309819183796,10.278077895544925,0.0,0.0,7.927821372208827,9.593769893353222,11.72963067180265,3.0199328717925153,9.15216130218089,21.520314420157654,5.498518550349035,0.0,0.0,16.529927837046944,8.431201942151425,11.936539639068135,3.9794164775232654,12.548235260801132,0.8209815630617321,0.0,0.0,13.664147556527393,5.488730793246135,17.46804494999684,2.1106425701003815,0.0,0.0,9.349272880786595,2.878107217885324,0.0,0.0,14.541768889025946,0.0,0.0,0.0,0.0,1.7415205055081877,23.849735475448025,10.990372269090217,10.925356958537446,0.0,13.493696499175908,20.106556984804115,20.043528912358614,17.470478463553487,0.12503765843278636,0.8703355422414907,0.0,0.0,0.0,9.401428515495802,27.297255613543552,0.0,17.09224186510257,0.0,16.093854268848627,0.0,19.90374842859259,16.527073991453168,2.158246043637689,19.127770707502243,3.0804690732752418,6.6377165075829385,13.757441269427323,0.0,20.081182799907953,24.07302447906117,0.0,36.884080606104376,26.556456271699062,0.0,0.0,37.57779496269002,15.485876512368723,0.0,38.065280914942655
8,47.71592032924169,35.03224609018104,28.230056773101946,39.76095475533462,10.663450970198049,20.583347750468555,46.561821491035055,33.20895410363605,50.97000828777419,28.451600793043134,36.18789244472124,22.45159090733039,84.15181343509204,61.63013966820476,25.22346988572306,14.630388057082467,23.578929387792705,41.202428110988905,8.499266942760979,75.84182576822194,33.28379449019064,42.262219050529254,10.731758102189332,26.520068099322057,36.700371651769856,5.170546552122833,50.985016141442,38.735869500828976,44.80134240732377,19.802209262274935,23.260725624142502,5.341912408703848,32.48457765685505,71.78972748839044,51.26354598322669,25.093395531917658,53.04841245614975,43.86700094746991,5.835144577683618,36.309060578735824,45.27469753441097,23.69322207911209,53.87708120538641,60.51036162521956,24.94086313127321,61.544110316007604,33.742309922379384,78.54205269066759,50.96892160780256,36.27048695557501,37.65458894116983,26.781449823701912,49.12834513592763,28.481191605313892,0.0,34.63083946135387,0.0,28.440895489530934,13.883263670070388,28.485413277673732,34.21058981350054,34.89367978384571,8.66647354130199,0.0,35.5704270342111,34.566156825034035,10.815887607457444,12.343017982689425,46.44520757963792,36.765125704875615,10.998913789210704,30.110349112199504,86.42949956863939,46.24323750687674,38.00752923306387,46.68229596195892,23.462716622266797,11.312577659031394,32.779570963369935,21.088954709211293,57.96715552841474,0.0,15.119273306696666,54.81407800003708,42.00946421615788,41.991889602095476,0.0,28.413968146877288,57.13471446729346,31.87626970861864,50.39254165283386,19.169188547285906,40.691015614418,46.87316560110946,40.15794451296417,49.06829977648186,36.719842592181834,24.094441616229318,18.070203625124982,27.366125968701226
9,54.19001072392403,53.29056867904335,50.74045233343376,53.24178974510521,14.7381882332418,74.62086750715571,14.49600487660917,6.289848649278895,24.607244973174538,44.784239893919946,36.87757517286903,27.943495273828187,64.36963657020476,53.755439825757584,0.0,44.71193759746195,55.18507083049171,43.39203573428217,47.0269908258699,26.363947926853072,83.42195025704096,27.678836845065184,38.69578568392255,43.18084620313468,43.349261979805995,49.394627558749434,47.132221503649795,68.86401414281002,24.837496933606683,9.17825314132299,58.44374115150781,24.499976159404998,40.74711749381746,26.94522850460544,49.623809940322964,68.87911186537495,27.94676459043975,9.907111737755137,9.21574946599086,55.10482947837124,47.01838721964018,10.929000935708824,0.0,84.50511692563927,50.843433810201745,10.25772166981011,12.343645011271239,13.559687870535935,15.492453591061807,59.412650790511115,42.434034272444975,56.62678244290262,60.666489790002046,30.989162047254304,15.605276594237345,51.41718805391591,0.0,0.0,37.05339713965174,68.51447407300196,54.33053983599051,49.46118159579736,48.06207426393463,72.97849043563271,59.091167204911386,60.59311956113163,0.0,38.052496216513575,5.9812002097391,71.27551669394617,6.695639262457256,33.9584344129196,30.25226494305749,44.72824266940346,44.38647864518207,59.94645219442705,35.13583801242988,26.08429182556113,0.0,10.145257378584567,45.36318940930644,60.69957921163227,19.726334613459926,33.31029704892034,70.89900518830687,31.84521221263045,0.0,66.01221167137713,62.15472859668319,47.58152140506511,33.654516665589185,27.96414382775038,67.77964030584477,36.80287029919627,44.34653709310442,75.81193258813136,36.82107669637055,3.052149147650553,11.530522658961267,84.4822260607673
