hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.3098627808399038,0.9900550236831749,1.3592948042516353,0.7706403588499553,0.2313755905397938,0.22188550740641594,0.5920307377238324,0.9302941346065232,0.0,0.917653667361304,1.8381260829107127,0.8766648637827228,0.3634743852623227,2.178063059140721,0.0,0.0,0.0,0.0,0.2716891884401742,0.0,0.0,1.6920946410011446,0.0,0.0,0.2876566640311365,0.0,1.7717411015314861,1.3667515750377235,0.0,0.661334898846865,0.499884827237953,0.0,0.0,0.0,0.8066686605949027,1.2799672835169582,1.3318029977474433,0.0,0.5970513998146935,0.850391902230917,0.0,1.328184190943583,1.2013606648949122,1.5725030561302322,0.10998495257638,0.0,0.0,0.0,1.1387229539054615,0.03284602668673797,0.0,0.0,0.43440594178905,0.0,0.601452401872727,0.8371733706755504,0.1098333128009519,0.0,0.6701658860967933,1.629125311009225,0.0,0.0,0.0,0.0,1.2133456785934125,0.12280700087916088,0.8441313151969876,0.44082361267396564,0.0,0.10463213264303473,0.7858569808907572,0.46638041164860217,0.01634956603500748,0.0,0.8596967144623662,0.1579930321229982,0.0,0.0,0.0,0.0,0.013546726567358724,0.0,0.0,0.0,0.0,1.3306485761843927,0.3716818434387318,0.0,0.0,0.5106406036991611,0.0,3.07650476005826,0.0,0.0,2.0300394354652167,1.5813850554552218,1.6437318341662075,0.0,1.0339044405288764,0.0
8,0.0,0.33109892522465945,1.2380246246422026,0.0,2.159452871155051,1.3592080156666229,0.4283950878043046,2.7872251509456762,2.424280612466828,1.1125165593645734,0.0,0.27205250202269626,1.6254194166395457,1.0480527902778933,1.4299458925626871,1.5056624965096257,4.064312676846818,1.8803793876421595,2.2946419848226087,1.917981577635436,0.4301879662546566,0.997466907173156,1.0978898260818397,0.5840485287015432,3.545425783414477,1.1297836710028206,0.0,1.3015552836402324,2.731224414223861,2.4816934984428314,0.9163082449710562,2.7605109345556684,0.0,4.5357732248806135,3.166055147365171,1.8249755857834764,0.0,0.0,2.8306762296217327,1.7732322597344645,1.5351006137593657,2.4568180217271305,3.0723930672569044,1.4925910613123003,0.5357314488901086,2.364462668412164,1.3558062043706922,1.9775670073560456,3.058990235776908,2.1990028616833674,3.077197541367259,0.5152322607627979,5.00112555387284,0.48859822560456645,0.7637024158801156,2.320131469663056,2.2870701228279904,0.37324346865209446,0.6283385879924219,1.2210010614698907,1.8027614188972274,3.4124687616454454,1.2896859946024863,3.966887419020055,0.0,1.1834772414180246,0.9734143588297772,1.70382111411826,2.4026142581082963,0.0,3.6301838857991333,0.3125003572685028,1.328539262850252,0.6992511845940984,1.6560370343498576,0.0,0.823903913935989,1.2673551357832396,1.2209177415396646,1.4019856632038843,1.1019528806666619,0.0,1.8347403305883525,1.7235973903657693,2.5177180468979747,1.5657289255075837,1.0250229896535767,1.0266250532097947,0.9987680804280795,0.0,1.8890197594693452,0.0,3.915431184220865,0.0,2.428464766643168,0.48653676096124976,0.4210908556368722,0.4520896662091719,1.227980107270851,1.8196014547613413
9,0.9716483075366467,4.027976259710349,2.174109319496024,1.4272622490084559,3.10814153243893,3.878770499873505,0.0,0.4401281498311993,0.1741738043247696,1.559249463707908,1.670375234669003,1.4713667199885818,2.8270689124699095,0.0,1.8343689976154387,0.0,1.2551653802422353,3.529101049914577,2.1001066608854972,1.043010091128839,2.740764275864167,1.8033533923405667,1.1237459111536894,0.661568043857514,2.517223810404963,0.8303612772010087,2.7170150995087257,0.06689592989452575,3.9944310135282795,0.0,0.4094036239159098,1.8376387694569276,1.1329181790272844,3.4846420112298064,0.0,3.6614310067121707,1.2037476230416566,2.1139356563562,3.183626262051944,0.6099295920207932,4.698006832263188,4.102405926967408,0.23576824339318292,1.966109898755361,5.0914660126068645,2.2856688991900476,2.0878539054325733,1.1966650135410466,5.411879100117044,0.0,0.6690433122709383,2.4019741435479602,2.2637516997783,2.522015698915536,2.206526869122758,0.0,0.0,2.279181556482786,0.7602640429122736,2.8993651289241473,3.6679207514816774,1.8605778026809108,2.675178738435714,3.888274274468874,0.35940125783057897,0.0,2.6168442545649047,2.5027309489619203,1.6933654953670843,3.1295308953513974,0.37882041717034465,1.9153303785350941,2.9704501663167844,1.435734750283915,2.781469219763747,3.5892029969039427,0.8391812848823605,3.4477954282787038,3.6743159678106574,0.661969519465647,1.684537454088245,0.0,3.8203910429102748,1.239271352515545,3.787308053892407,2.6074746337687746,0.0,3.044549479742772,4.379887666825413,0.0,2.676099419850061,0.4682943249518867,3.9277497078418513,2.36273487708759,0.0,2.373450974329177,1.6465621028782231,6.77283202589042,5.108888844912018,0.9830754908184183
