hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3.7417282329861017,0.0,28.310534703674506,52.83361560837034,51.423189563384895,26.544462971917092,81.45862464482383,75.7507976911111,32.44073463376255,40.54022289240713,55.05562378718544,11.042496653533664,78.9215092079694,23.547353165676874,37.48478262245444,17.141075647441976,82.3817620602899,57.921964313016986,24.82883335735697,68.11127180587349,0.0,37.930375079988494,55.230599406668674,37.44196336910679,28.609648017341115,68.75104876997466,30.117212783860047,50.37976362933626,47.58341597663592,79.50915895500009,32.78262250656386,0.0,0.0,3.5768363577512474,0.0,1.945975083104834,0.0,21.276895541370276,42.43004451242351,63.34426987827082,0.0,78.04831596976317,28.540264015273948,21.96594042044123,12.066280568141789,26.647123402472516,69.53491389221855,0.0,74.19717201190166,22.6968564488945,31.820962380918665,0.0,11.052745056531936,29.264650589024352,7.040291286840194,33.84602446167712,102.38292877895884,4.211147567839607,107.88997208426491,92.66665802758814,99.21342869425507,0.0,51.7467588934355,48.95076208948424,116.58724020358397,14.212781800855957,91.47278526652153,87.65970379927347,58.519125661249724,0.0,8.376760973986503,94.12213655650709,10.982137163928172,0.6801600895645734,104.7365395091521,0.0,50.719569445898486,74.41023582759051,7.3358624557049055,25.60201271109701,0.0,0.0,74.42572932088633,50.111422380972186,26.0733067248823,61.17530526248102,0.0,72.77635294362287,33.66352322524334,30.564201172112647,102.51800011073652,46.95047068791878,60.20430588937147,0.0,58.50469338895504,49.23404776440563,72.88333423188038,48.981806728141926,83.06284723496236,80.95014989767037
6,569.4375621649206,421.5981571366249,442.2231039466725,480.37066988923,266.1197590810451,262.87043384628583,243.4209431913523,231.4324729541564,528.3316147696651,358.02464740880464,65.30140800930491,337.19523198630105,11.213253284684583,211.25274185430794,171.33285073445128,399.7930101643753,238.4568998628381,25.19667714895482,125.41319592227116,111.3483987051411,97.5485066116758,70.56535536135496,199.68243102217986,280.39356084080606,0.0,578.0717530747049,148.64768795594586,288.8391291793849,260.1631719507239,185.76562595916153,6.369158005337141,372.8743519380113,0.0,236.06343793900257,448.3594757589086,477.55151981756336,299.45912841176425,334.3321200509602,234.92808197367316,217.95122803832402,435.769872136298,7.340492457044945,332.01194266116187,206.63153985218892,277.4008534364457,119.71974346272255,568.5330023438728,0.0,320.6571395127796,349.2636961955816,279.7611722505757,204.75954415713016,282.69744890577095,38.3186479573647,0.6992990752972901,230.32371617913856,419.5909880040791,0.0,138.02584864811342,38.61120344084176,344.3362486478343,276.0589908741209,0.0,532.0121360344122,361.7192319925273,304.3036042052428,64.30579628745053,251.87847122688024,216.62161077203564,239.2118539656377,46.80668957218671,74.7182504013594,233.68857010714444,346.29620114998113,301.010859064446,600.8871812930215,98.77151654192662,67.93225332113869,231.430237478581,221.6161526475016,0.0,655.0713133326924,320.0852037655595,466.4353988638177,292.16654192502176,397.33708587732553,80.03546387765513,58.171488491080225,364.23414968834555,264.37610223622505,292.2964299924387,420.441872066611,79.08330408290726,193.1950458694701,172.84546169591505,204.3389624704355,0.0,27.67488578319106,165.55895288722687,108.20258980833388
7,588.842491917168,642.6201878796951,223.54330622333023,342.2347590390378,402.87263917560375,445.01315360736436,420.84814780293567,534.7343740725603,517.3833370782063,509.0722596930909,382.01036653346495,620.1307705661784,281.5008453323851,378.5303854140844,309.01035307053684,191.74822630050957,86.88988403902636,490.2252518813784,481.87354807947963,150.7136058693722,546.4111669902319,324.05010606965067,0.0,41.10000311775946,187.14649136836195,518.933041956505,241.06974078692195,531.7833841921426,511.0818850440642,19.36102454485473,536.7520650000463,299.9444020450841,503.66818037729274,301.32465370223224,617.8577732053051,384.34108466149246,120.57600814543076,329.303422848863,230.5527274389882,168.0860717915627,353.0698743732389,500.75354272946566,236.71460234738225,326.7695831086502,517.8296026107445,287.5206439939939,173.36054405462397,431.6816037977126,457.94409143048654,82.27678498217779,553.9064113504896,421.22647929081444,650.8049433228429,537.9047313218848,545.6770006429963,449.53174505640106,253.94060532241548,504.39117021207636,174.26494104306383,607.9718892474483,268.80067508891216,609.7742850461616,191.16120767643238,49.48015359886983,565.6651706499656,553.9699395049063,350.6296804541571,225.42352370472477,402.7804708013308,378.5886975968323,525.0068438961378,48.037399715518234,527.1511916319404,388.3396568558098,412.4954973857029,823.6361701872894,287.97324349136517,323.5780055080559,302.8709783067841,588.799888592455,386.25740272813175,445.26272367264176,496.73848468012704,512.6166048266547,562.2054593701387,224.91391357453873,643.8273044124204,22.1948540713272,616.0266595641287,636.5829145954141,259.178321407039,160.90213937370604,81.7346906397126,341.4587782258649,624.3806467844339,647.6277635009316,398.8100132354562,451.6813431279364,741.1893785488543,368.14825711835914
8,702.7105630291378,572.5762008113818,417.5576666803364,694.7172599514779,384.3504952268297,684.31073473776,823.3828206428308,614.097389159513,494.2113193242226,454.81602140811776,526.4137757642253,764.7480114743381,509.3032100026868,546.06857945329,421.6635880103995,792.2896209332971,364.2821433323311,565.2530926004375,649.9541949429346,373.1917644180896,299.56483023543746,855.6636981929373,506.5544478526462,521.4544158855362,308.0076238433698,742.4160515195776,142.02882566916645,587.8804844872758,385.62252841103805,693.8472752499242,410.80073437822216,422.79369104327986,835.9785965197145,669.5276111276658,614.2638287700235,803.9064526217678,764.9404946310277,495.35487597711904,683.9464589897539,555.0088009843037,60.70379162046652,641.9457453992711,761.5431364119072,734.9528371518915,599.8008502737,286.2246455310469,573.5972810495549,650.3700794199904,491.96261171952233,454.91692364054836,428.98448987718143,309.3914592502397,1066.5601289591361,532.5003499554393,590.689436750716,210.0968516812535,369.6955596438252,692.3331361722446,495.6554757230538,379.89266466005085,368.67198796484547,659.8272443537813,728.0858759624499,691.4269714152706,526.3438086738772,838.8068446630743,500.0764491125106,848.2324230052055,260.7577222219212,786.6326478608606,608.5240614878596,643.7919700646536,341.8240171678501,797.4549329846609,516.3203464548868,353.17310456115655,372.2733971592776,688.4373856121953,459.7819533175254,520.2448874275077,472.7755237771262,529.8896914154575,272.94917500276426,689.7645870948566,727.594440581118,400.3664076589352,672.0914504200795,91.771545818253,830.1942719766439,118.50385649683722,366.036773287702,423.42708528467847,405.21594088963525,601.658618504761,677.7852826880198,460.74295250320677,603.6532064239897,238.7216729576607,653.2973224535339,565.3589128656492
9,727.4763791550502,591.2061385067786,862.591899042033,862.9794223814674,567.5208589356075,417.5459817152844,459.630794108734,591.2689516177834,753.8799741286723,455.99053605808547,589.119410296145,495.5444262770154,351.3308872259649,614.1219036565291,443.5473257763549,708.2894557724713,722.76266082966,609.6094562585546,244.73923782691958,1023.562219755371,1042.8064897109657,515.2520250335159,605.2137170222333,737.6157699124644,422.901580661247,612.7234632062068,529.9910946406796,617.7776973395786,832.5989358046435,562.5383641510393,557.6556152661187,560.8442877825177,678.2815850517295,1011.6740783534327,631.0865195540456,766.458711541627,574.3022803862062,331.4375768695098,591.1864062802792,630.1604400243936,574.2977340634638,374.61694710345023,896.4752666039612,806.1277437724198,456.5588935725709,800.5228968740178,560.2316014194486,735.2162338278538,886.9744148841645,118.15609952301935,451.1414717541395,720.9330813019102,697.6669328659633,743.6676076403936,556.509652241683,425.92668661660855,831.1433041097177,439.02890622657293,591.2988161449655,658.1710094153271,573.2707260721742,928.8089403953701,536.966724388129,1193.9267410957254,366.59355375746776,453.8358035909629,522.6208011001548,448.9144308827677,712.5399902919419,782.5774129903432,681.8490303915041,596.5805726052292,1093.3665618216032,396.44633204399327,534.596305916547,613.4089145088839,975.7968603151263,255.78596382311133,692.7483724668248,430.19883720747634,468.6044017566931,671.5455518638469,896.1068877098769,295.70831536210693,576.47137797193,546.5330831698462,578.4157953257392,1007.6052306149542,375.0199457232093,519.3462099121106,826.1455391907584,484.9266858282855,663.3185493823908,766.5792390386408,619.8076291815244,472.801775365165,717.9732033410385,570.5746509824245,638.2203897493866,195.0405292618267
