hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,470.5822855486635,750.3333595567605,691.3940033513663,363.2676226248841,0.0,199.50519674111086,0.0,516.2681097004781,0.0,645.2948862311756,88.51255997994865,0.0,791.5369423184906,962.6348620398093,39.71306300386148,0.0,0.0,0.0,611.8327538215924,0.0,201.73467316210693,53.14678792548865,0.0,696.6149128976908,69.1216100104363,713.1263588918983,0.0,0.0,394.93529192609515,0.0,214.08338117301827,0.0,0.0,166.65512676298167,0.0,0.0,494.09968913850685,390.4930858863115,219.01689011734737,654.2620583023659,462.9465250417235,371.0891441105714,31.505965429092825,0.0,58.784766033671076,814.337075840713,558.9896146282797,53.910261466304064,326.9495953438061,0.0,0.0,463.8905723765172,0.0,736.7308458273568,396.4035116512276,0.0,0.0,649.668011710274,0.0,0.0,207.3995318848937,308.59817430897226,401.57067543120377,0.0,0.0,0.0,0.0,551.327026109695,89.74390455264181,0.0,0.0,749.7065816709071,362.63655625465043,0.0,820.8745750095378,609.4047655823869,0.0,616.6217769551656,0.0,42.43924817734292,0.0,701.6974950091283,417.04439576082274,19.626804946364047,549.8619405683089,0.0,0.0,602.6378627092115,191.62515358583073,0.0,1.8187911463619457,300.04719070616045,0.0,0.0,219.46300988047383,0.0,181.59885439754092,0.0,72.43372427907947,0.0
8,15.49480982969385,0.0,0.0,378.1091642891045,628.1479155421428,42.958842782066995,151.31238580270877,1434.8712128295297,0.0,0.0,949.6103032324258,1605.6031226651496,954.248711473674,801.0280811202306,0.0,1027.0356500563207,329.9984094268292,1495.1669628487998,0.0,1488.9550722955405,934.9999229872574,1486.3888213220525,334.54892786106114,431.2065864079571,1782.3470270135608,0.0,0.0,1157.0004132241597,2446.166838636861,749.6000818504631,0.0,882.7711190989835,1260.4692154745007,815.4911768451866,1599.3020247590614,386.04520706382164,573.1353426825776,1157.8812186309538,1134.1419785194648,0.0,833.9735489734159,470.2931961407162,2069.378789929792,580.5594613105684,858.1719078022247,341.9978310637761,757.8141499434989,0.0,1067.9664727045451,1356.1630809806743,0.0,479.419676667603,0.0,0.0,396.4340513581151,936.5438773264177,1328.793726688032,134.7484962237565,88.34735099877395,0.0,0.0,961.0997934578203,206.63911341587908,0.0,131.27942507928935,0.0,1760.1704378142122,1294.381312450262,0.0,2347.038506462876,1382.4250905653244,0.0,1278.5245129057505,1643.7725824371385,925.8999861166405,796.8325036527585,2305.6954287250965,0.0,1624.9670348283184,477.42151102116986,1495.1777440091407,841.0280215372466,0.0,1735.6522879830034,0.0,201.42173519063078,88.14580088153065,656.28593807852,58.61890521191498,0.0,26.7144719530732,849.6327405985514,1058.6043788074273,0.0,0.0,0.0,0.0,1638.3571933656813,1359.770989936166,604.0664800258584
9,1664.8959309690833,1649.1759123297109,0.0,0.0,1240.017821459583,0.0,0.0,760.105635104683,760.6329192614405,553.0722862828097,2461.3098837408843,1421.1857309230509,632.9920913243654,3115.7581851257155,0.0,1916.3810345402392,2708.9819799196016,0.0,0.0,0.0,2088.906694000995,1817.7618127459077,932.1451348535375,0.0,0.0,1706.6187735043927,0.0,702.3951694779919,1800.9236483328968,500.1847584712289,650.1498936905775,2398.3215576664943,1431.3295985531677,276.93617419080334,237.73680376937688,15.783845050499622,2895.189740779827,1457.4466080750924,0.0,19.814660583550562,756.8952244696303,1420.8420411598324,0.0,1818.7179521219282,0.0,1746.6165843022263,1644.6774057397504,0.0,4379.193338022238,61.64741853921413,0.0,1348.514859873443,804.4705405838786,2160.7657628194606,0.0,697.7338419451503,942.5684281960938,0.0,0.0,426.05061887676266,1002.9954786281668,33.27285763558234,1121.9510120281443,1457.3771792704185,0.0,3239.1723311138535,0.0,0.0,232.79978199908538,505.5769711631697,2839.1245230720333,2390.803847274781,947.8015225830843,458.3037689391568,1161.1172959454225,0.0,0.0,1407.4765920976806,0.0,494.32717163238004,558.1332935847513,2184.1866493552698,0.0,4027.8870144062603,0.0,0.0,49.92089972669169,2144.7844845786813,0.0,1654.8480651420552,774.1693379309877,624.584327424615,99.43642327863978,2288.9709397573633,1014.4362784443432,3089.811169130714,2504.379250115118,2869.899017344738,1266.4214475091333,0.0
