Forecast_Hour,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99,scenario_100
1,261.82548345728605,0.0,134.84441060190784,364.4560792708459,0.0,246.43738232904053,0.0,206.71109024971423,531.7351246176369,244.40281918187515,296.29510438680455,612.5997186407393,338.0948725307252,618.463009563714,864.3050855214567,274.6187458828089,158.1365043216935,494.72826413771986,413.2481609907684,0.0,116.07857347233733,730.4479036587563,386.2915502416877,513.3124528625672,818.0895603529323,0.0,338.8934003964625,351.9769078264596,952.4008017268454,401.6611955520797,236.36401901485726,513.4316331041304,164.51262635892832,0.0,176.22417426163003,450.1635094528216,637.0294142277481,156.74394848785764,248.23093885215968,443.59539728899335,640.4297983648112,493.94571766092236,524.4817337551613,0.0,11.585627206868764,149.0998657840365,387.4881004238282,509.18125919833494,371.21404096496923,0.0,185.77376986632044,0.0,148.54545718591822,76.41498333424047,419.2621585541876,484.69532033401134,344.81643591195984,534.8033825664145,703.7357794023806,207.86066388906443,512.6759063749446,374.85303118682475,160.21610161385425,673.4089338737888,0.0,545.9980394060706,174.7704153234336,683.5810375323779,85.8940621023344,64.75602792335957,325.41097882210454,554.4155580769219,405.1163200981674,0.0,267.5403886039726,336.29908065312674,366.720292232719,0.0,650.2708588449175,0.0,413.710004518492,656.6380699623262,0.0,0.0,208.00611889158466,551.0316528616763,113.5207010644524,199.16510130674868,597.1934309509361,0.0,0.0,450.8469238767126,646.961107203856,0.0,197.80650034827994,129.40920102230464,255.41799525939982,531.690880213171,605.1784317895743,549.2247505399912
2,289.9054464837162,0.0,194.9825130548159,351.46560136612993,0.0,247.10470012304046,0.0,251.65795441443737,504.0767611508797,230.80805995707271,290.2207323100379,591.9767419165885,325.9000940680628,633.178444558064,837.375831951713,237.47353657949316,185.1546250951743,528.710121892508,413.0255163068622,0.0,131.21054587964605,750.5325272884638,404.7730119100943,546.8697335666274,805.2679155473884,0.0,325.6165323074696,333.7287818470596,933.1565813164002,397.7437218752226,209.03676003720486,501.9322409696664,187.38898567005032,0.0,184.71570444677792,486.69990513026175,613.905213406729,215.0442738045649,229.49083797327245,476.0655339564023,651.4997768402602,466.6254766912225,485.7602337324903,0.0,0.0,113.9788176080938,419.9194321831752,513.5810630059821,362.8602263997003,0.0,179.1047200314791,0.0,121.89764706186375,56.997424038212046,447.5868285747993,472.9043199933776,338.9636856603662,510.7153151033237,663.0490196041476,248.7685944283701,453.7417590929743,382.6922283284015,160.67801797655753,686.1079134233601,0.0,556.501036940778,194.8708781105527,687.0296315367198,53.63186198246166,33.58102695825261,334.78021290168135,552.4128481536009,403.49540987728835,0.0,274.91760787144074,346.4437706671999,351.8393097333806,0.0,647.5981534400621,0.0,417.0252402125478,626.9691103487016,0.0,0.0,238.33129854043204,522.7237813886607,111.84555080852323,144.5875206981667,565.4837792890526,0.0,0.0,465.64003618186723,601.5558638685495,0.0,190.60222065046457,109.23241846986102,242.30719982146522,518.0346709049024,635.6252893483859,565.5386639813844
3,333.0213717147873,0.0,246.61862397385897,338.9553320423011,41.66341848868058,254.69464889015768,0.0,299.5765264998937,469.0881116177106,200.92560642307672,236.74533134642422,620.7291755690363,332.71263564510775,663.3072014750468,820.4585068226643,212.00493534185642,206.5108411544192,568.3756731224759,406.6398166640953,0.0,138.5985350062221,774.4764696863682,437.9690904714847,586.2627952961013,803.7414155868998,0.0,301.7803814097226,354.2241086494416,870.0291858141161,406.26870178864186,214.962552183195,483.07034796341287,211.49750721579923,0.0,182.00939959068063,520.8093577472016,601.3384420848555,266.86567342707644,214.2996214241931,518.5798440581102,631.6624785403125,428.4564999667967,444.52644531080716,0.0,10.47304302492472,119.56456573334856,475.7333032320587,477.18395977695405,353.3258544028856,0.0,169.33716826243432,0.0,71.56497869658912,79.19011607280345,461.47433823522664,478.759742996478,336.8372871359163,498.90241212844876,628.4402907854577,274.3744865383432,401.86872712982245,408.45699433807926,157.73025627112912,699.7042344625249,0.0,556.8043726730671,226.4649969330393,699.1856211153338,52.926643046829554,16.378223137289297,362.90309095295345,532.1985186308725,393.0332263728709,0.0,268.4039472099818,351.76049607950074,332.9529326268992,0.0,632.9504115829011,0.0,423.24298560382385,614.5032642127488,0.0,0.0,255.24804431995582,485.9564812843938,104.47299055746475,123.05617244163597,544.6778653498673,0.0,0.0,480.7143062756142,564.8431166729791,0.0,171.70825526668426,88.02522701769351,253.53421561907584,507.8766277450866,647.9259354845882,575.5433116952975
4,367.59670441575196,0.0,287.6322779985301,322.1378987036527,76.84838594427967,262.5280007498643,0.0,295.10611729466484,458.62731475266446,187.8467557672286,178.2064731334982,657.7382878829827,341.2613685401925,695.6949311520401,807.1319158298895,182.75666414146082,239.4466927880915,590.7945101901387,392.4560056174625,0.0,181.73137353355082,809.2603948775163,488.5361143889423,623.392214377732,796.833983053052,0.0,291.3849403914878,362.2993009669461,809.3718062020444,408.80477152767764,200.67253504094873,482.51877707542013,240.10255636725373,0.0,211.61580490606758,538.1568415365712,597.1542634686988,276.8070409805857,221.06235504987916,554.4088493691618,588.463708257653,420.9952760482863,437.6542648133925,0.0,0.0,115.0881340346314,517.132872660083,428.77639866037964,281.9897467460924,0.0,172.3113103870942,0.0,27.019164471927922,105.76142359256426,445.9095666664937,465.789159269787,359.58023400484785,482.2191200248857,611.980146000926,273.8816150787608,361.08810049402064,441.5769286057415,177.73654147335844,718.5548605263039,0.0,569.7500588897246,239.00064652916697,701.9548233722498,54.05787600753709,4.751571970560178,390.92977229549297,485.3433970877179,415.9957197388547,0.0,249.10105207399428,346.6685521318587,348.6544467630006,0.0,596.3014262666607,0.0,419.96456184286075,624.2734153681529,0.0,0.0,268.1008952906924,457.7566140043534,119.4496931634971,112.52478296392297,523.7767131305256,0.0,0.0,456.0805369976615,537.1236569740609,0.0,157.75102293862824,44.548455898155765,256.5911850743278,530.6895421666266,663.4754990804411,551.285702894156
5,392.01468463318105,0.0,315.27335650530927,320.285322722013,75.2640050521697,245.16395396214574,0.0,275.05219604669185,454.9360159686714,173.7262208540365,140.4950547752002,661.3612192845904,371.56539699957057,694.3117194088956,783.4961403633349,136.9007401438689,282.35330516342606,584.1726132923845,381.17042645521576,0.0,209.91884188181075,847.1955664576426,517.9638842647176,633.7035992352601,796.1892375826374,0.0,317.60120276911374,403.3917317248014,765.9388517067822,386.37049832525014,178.68346936252547,484.057964677251,275.0787341545801,0.0,213.14546521602853,508.3970591532228,611.2430678897152,279.57868147148196,242.0481171958725,615.8981708239103,562.4024388392162,406.49913082907057,436.9780939786292,0.0,12.797480580966976,103.02395840766701,536.7763528745166,380.3787014895696,221.12815526431334,0.0,197.56155714215862,0.0,4.455713049162398,131.39050194283124,416.61556416976396,430.51533366163517,387.6261601774337,471.0432073470885,598.6387519441607,274.54532645479355,336.2052724206038,456.4583222361394,187.97294449600662,767.582808768339,0.0,562.3120875985646,242.07515891534814,721.8446419021773,58.72325840611771,0.0,407.19107095088583,469.9746692099371,439.64683926483804,0.0,224.2789896890049,340.80538628788196,363.5168632220373,12.047707543866352,560.483167074482,0.0,437.2839881020665,610.9174246644375,0.0,0.0,277.1156003840689,422.1143910911482,130.71526732350156,99.35780388919977,513.3804347570657,0.0,0.0,430.3411697356456,558.9495032449671,0.0,153.96169227501144,3.7720126407106136,281.5853491172769,538.9634782371899,650.8370324662719,556.1089450668131
6,419.338903756655,0.0,340.7097497935148,305.23216518673865,81.80485534488025,224.30753863928388,0.0,252.751039925773,448.3282126893979,169.1395171340183,116.15584929995123,708.7136219040772,406.5386441470483,686.9503700905665,769.3879409581896,108.39265399033138,312.9367514350468,555.2015452425669,413.59622756068393,0.0,214.1870195551643,890.1778901877051,506.3271771124928,653.3468113652675,806.34295522899,0.0,335.94849653740533,453.856534287998,751.992199819415,367.2514345250508,198.77762607121366,458.3397412423566,294.27859700963,0.0,186.30401166592623,491.40592449468886,628.8007741628669,256.09231817408545,257.1819412506776,667.2522737173981,541.6395498584207,381.10566429413814,385.2105674627119,0.0,37.1539759028887,112.9509055254899,543.6135361294884,352.53364931522515,169.0238989971562,0.0,241.0973208470283,0.0,32.09207357051298,163.80422086375236,401.12389167205265,391.9691026959403,413.9527035307952,453.8354066325471,587.5644396846818,272.97985793803866,350.3499677105061,484.0707461896967,191.74002710544517,815.2375878340142,0.0,532.2741682644776,223.78970991389733,739.1283238854379,74.00105519676876,0.0,436.28267049750093,448.5992789492028,438.3358299013787,0.0,229.0823903131303,342.17314012201206,384.33706532907263,22.57943383798363,525.039790029618,0.0,465.7492171812204,626.5346481168731,0.0,0.0,306.04431028241476,391.9728151125365,176.62795654344112,96.9718102814137,526.1438784213412,0.0,0.0,428.822890365754,589.0779414713058,0.0,189.5887812996374,16.223173554683797,319.7300156998017,534.8286041911996,601.1503306326485,585.7586915873242
7,401.8585530949856,0.0,370.51810229557344,311.67084779527045,77.35233122386506,202.88884715740824,0.0,216.70602090739314,475.5649326949324,142.47783824611335,93.10669006219985,742.643318912124,438.152860327299,704.7057526656048,744.4859993839829,99.40155650286985,309.09545870123503,537.235301641201,443.6135672467052,0.0,199.82213186091724,917.4144138473971,501.69873317967404,660.9572816231239,793.3612858448798,32.676938908071804,341.36528908049263,504.339186599341,721.6112214272703,343.39482544695795,231.00385461663421,423.53018828047493,313.7564931754849,0.0,169.7574026781872,445.94159841184023,625.2498579967175,235.4547709092709,261.3873940076152,689.6878299459429,530.626145811358,347.74525655220356,360.2469343774752,0.0,71.2011904709542,96.02732081027955,582.8066966765055,322.77511929429147,143.62929707497398,0.0,271.4139730428292,0.0,51.33442409782316,174.10772303414524,406.5315662426963,329.58448948125715,427.8110877244027,422.5521059889951,612.5110629785083,249.9745153465463,363.40130468506953,559.4594438725941,160.20493305956438,842.3746174004307,0.0,510.2905801124663,205.24410511172576,747.4877295360268,116.67364632172877,0.0,455.20464335225154,422.0763961374478,423.63856575363934,0.0,248.52096313158975,356.68167824919504,415.7978636712627,0.0,492.6171201699784,0.0,509.98821868031234,651.5646914428609,0.0,0.0,325.9950913734111,380.9348459675749,232.90087057996675,110.06370658131306,544.7179839513115,0.0,0.0,432.550569724292,617.2878448974004,0.0,223.05882846405012,38.28474153385753,355.74746374748065,519.3229441993851,569.3192170272469,592.4573863772154
8,413.37325248074944,21.958732081836786,379.9849570398125,309.9765115522327,56.29420605471944,180.18239798336253,0.0,174.39263556250398,519.2724023886456,102.9887199800439,80.95127904961808,745.9427113911646,474.24464154207834,717.5476779320998,705.3345273197014,107.47496627316099,321.94783541607814,505.05338318379626,454.0642387347709,0.0,180.24646452510362,953.5488535104157,495.89369809089766,656.4066652998852,775.4953514050926,63.00094408894509,366.4541576290187,543.5486462487265,682.5660835370661,338.44138086360226,258.26018383601564,414.5978484771967,304.3123799448427,0.0,157.86095306635443,432.99006356803784,608.2246361111049,225.30092206470172,232.61501112696098,689.5459425337131,509.48256795763257,325.45678032685623,376.52720306906133,0.0,77.58142545525729,66.63550984292866,622.2954479111456,311.5590298832619,117.71458752314638,0.5823847019219102,302.44931721302436,0.0,40.05306063541531,178.6329298295925,380.97968545875295,272.9096584426312,441.29707643048516,369.08608475157973,650.6997038085058,210.06072212195193,376.5052281610772,617.4900000882358,159.14211333752195,844.6102141131053,0.0,479.42339180899796,181.46839620161592,750.4563305802313,137.27789511416017,0.0,440.2846740702725,398.8835775143611,412.2685061098315,0.0,267.1999850317674,362.613600306085,446.729843528104,0.0,457.75415808507694,0.0,537.6019009347103,651.6826542220779,0.0,0.0,357.41435069985863,409.8651594164512,240.8632876362247,132.0780430924575,558.1164866721016,0.0,0.0,436.6610674501726,631.5933712595795,0.0,239.98718122323953,57.415565547462165,366.56076457001154,507.5761870193686,536.2417112569944,579.8847352184895
9,456.6830938685418,60.853260762563536,380.1950473870789,289.0911393755826,40.20853356339427,172.11173548730875,0.0,126.22843126934771,526.7656170066697,70.85544450020507,90.74678914994101,759.5106517646462,513.461291632761,750.3621728731646,663.8925827318944,139.9227395975462,332.0899934571039,472.2489048466218,444.303547021878,0.0,160.14071395456833,961.3952031393624,502.08566443310167,615.9673517919665,771.6522320315776,67.64211625924855,378.11649316380755,567.9018502330907,678.3115358616767,343.19981537963076,282.4761289671932,410.0281598204315,284.9338103137118,0.0,107.14821938682505,443.25489232736237,572.3226166479756,249.1680144450341,217.03796765559701,670.902845004568,508.34990463829877,338.4050286132261,418.24308676226315,0.0,87.01952950597479,41.58487706781921,641.6905382519426,286.8608398717742,93.56204006404411,36.18081812338022,338.9287736314548,0.0,51.424891000581795,187.2847382707913,352.1112576127378,237.87244727502102,458.89518467754544,326.8441169299301,715.3777170125957,175.49770753817347,401.5945669881921,651.6250347948318,199.2975387285497,861.2829631358097,0.0,467.5134628070622,165.91990928075907,731.1015030077831,138.40221533523163,0.0,408.4142774751821,335.8863801284272,405.92137931313965,0.0,298.62601080190456,356.68309805195133,510.9553267276514,0.0,442.9896696696571,0.0,550.7679361112705,668.331346784867,0.0,0.0,372.33080408318466,462.9620373194042,238.15811113328806,161.06467052587755,566.7926530431346,0.0,0.0,452.01661278088994,615.323415642638,0.0,259.59350229537256,63.5672269286778,371.6362450448151,529.5939704456582,537.7914410223092,569.6618576709554
10,475.7503612127932,113.51799642463968,386.71605344046986,272.55840665353156,23.659352084284706,158.44739018708924,0.0,80.34619893368102,536.2752859887621,60.983752356781935,110.5457820396893,765.8914264346472,539.9355580464642,782.1753659687756,636.8213503368208,167.26675331186487,372.407544038787,442.6942072117071,388.3006069213178,27.77481945641523,139.91688093535518,930.4139049311013,513.4258789091846,616.364807353589,785.5366098398135,119.10101459851722,374.5410675319217,581.386988214907,687.0158367674316,327.2179304420598,324.8253558955942,374.6785924535385,263.8925567979915,0.0,59.123128817194214,456.9925249316293,539.2827261131085,269.84892788631504,201.09755463686176,651.5103263195376,503.3445563229351,367.0575074257521,463.92077820003556,0.0,75.43107150328862,13.582595773709556,659.7659516441597,223.7534094814363,90.97208209094802,70.79646227395375,353.2710893794143,0.0,72.88515090585037,213.13616258267817,339.861944754789,216.06481832642504,453.2892775308119,267.64708306139113,773.6261682646125,151.51811924369255,420.94298756890805,648.0688909690175,247.45043366365934,880.5780950413214,0.0,446.8966019930215,179.47288768150673,738.2306706226159,121.51870553713934,0.0,388.31571197548476,300.84601503765356,393.66310128979364,0.0,318.9692569427538,340.9442832011902,572.8684089015608,0.0,428.81944572742697,0.0,550.5554959142128,667.3125511923304,0.0,0.0,383.6609240036662,510.8741284573768,256.975030547725,210.20757140801098,564.3814010887534,0.0,0.0,491.3661480205925,617.7476986521878,0.0,279.86106735827894,63.90285281826863,331.4031682414941,543.721709470949,528.0893211371731,532.9193958765906
