hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,285.7853177414225,0.0,0.0,0.0,0.0,0.0,88.13730991099563,0.0,451.96731498116077,0.0,0.0,0.0,0.0,0.0,68.3137509438798,0.0,248.99411663555625,0.0,0.0,0.0,185.1052650621748,233.6086443136364,356.9643752668849,489.01238387919966,0.0,0.0,119.83716369250398,322.70576244830835,0.0,0.0,494.7550313875204,0.0,22.794350919471203,225.2015296231855,37.920284352880415,0.0,0.0,148.99239573229244,0.0,307.63207008971966,0.0,0.0,360.4996699489518,436.8959882315683,5.353963639346773,0.0,0.0,0.0,233.05315782000682,457.01090665059144,0.0,544.5642204419446,0.0,0.0,87.57101960739156,0.0,517.1828502421015,0.0,0.0,441.35104541244993,78.7747265091425,280.8452722286347,0.0,0.0,0.0,0.0,0.0,1.2555559281106432,155.40826387506414,0.0,0.0,263.53885570383085,0.0,0.0,0.0,189.2536926861725,0.0,0.0,0.0,286.42891041210663,0.0,0.0,0.0,0.0,0.0,0.0,186.00992850324738,0.0,0.0,90.24322527377856,0.0,17.6328052901567,140.3307677185134,570.0695339538245,68.99498391521531,0.0,0.0
8,185.6601322151589,265.43979814128096,0.0,0.0,0.0,771.8263905209267,939.8239579722778,0.0,185.24813886011532,1302.731475420521,182.34514641235285,0.0,0.0,55.02100496521217,730.2788010731005,573.1928420523443,938.9455476216024,0.0,913.3152458417841,0.0,0.0,538.1871789952112,115.29218093055326,886.5170786794454,450.512872347683,170.04558102849046,237.04924918544535,435.8899777343028,180.36864833610048,461.3087309450366,229.08229978102375,822.6715257652892,200.53384286973255,463.52479191128157,234.58976594768978,0.0,0.0,297.5875329570455,0.0,65.4561061355177,0.0,0.0,0.0,377.3357639675395,0.0,659.4200151096068,1097.1230700234532,333.47120226189304,435.58452211629367,597.424069756562,0.0,0.0,486.65029421455245,966.2866012427029,434.85918349122664,67.2457340495298,1491.302561291879,304.15259653316275,388.86207331428045,0.0,395.5816265864648,79.89004573169686,44.75830003722626,0.0,269.6345116057448,0.0,593.8558282079487,85.35899863890066,0.0,350.89939862659753,75.8677144791979,465.87650181463385,536.8652543132116,392.7376169949365,678.0237821858119,0.0,359.03527869803054,0.0,848.3515259849346,0.0,0.0,713.6231951246532,182.1947150903639,0.0,0.0,391.033690497736,0.0,1113.2432346206585,0.0,0.0,611.8628703875103,0.0,1489.620305842724,223.12724560574523,938.1924891189956,106.32559343556457,661.3009517471532,1302.0832949143316,726.7818532352685,0.0
9,1416.4113230501957,2168.884268962546,690.2946148541719,67.21476591514693,1665.826607649295,1387.4921867261346,1584.7928204710727,1505.2664248837775,1120.038177326521,539.859046907031,968.7283406294839,1287.935323848532,2002.6183840756353,76.04496107395676,549.4891577399877,274.9704786704011,1704.425606312715,1898.7529264388,1835.2342937874262,868.3137677758572,1453.9912113923242,588.8445877174004,0.0,624.8335518882625,1032.8658384686896,337.4556787694779,1541.5927312846675,1291.8782099391797,1118.1586635649853,1285.8771191331118,731.588257813117,1058.6831980573834,1729.5627236593127,877.5905613681601,1676.6508631338907,909.9300050872839,484.33986976295193,1004.8668956914497,1479.708986021124,1226.3177235197159,1028.590753849767,1045.4699927116353,789.6481326261544,0.0,546.052746888029,1665.6495008765285,0.0,297.8498189190435,956.8720439536394,2328.098106163976,1648.3895959986755,274.4633470389465,1194.919660480621,1076.7953536419234,2246.2749174947444,814.330414413965,1699.5857347712245,976.8368086210414,2024.3433173497478,1512.4354392998205,2347.5124972863214,1108.1426300996145,818.8467627533707,913.1032052374067,442.9930380679466,1703.674228678573,1137.7382296350336,623.815137832958,1493.1537986754051,1981.482524686513,1091.7285419938105,506.26135277516414,1426.8624122849567,747.590659666266,1166.3990030677676,1452.5804176627853,932.0347297490513,457.3414048231905,513.8346439037998,814.5438979824173,975.972678968654,1105.760197514713,958.478589881254,1131.5922594876579,1184.9844514687916,1833.7184673430713,1213.2868310215113,1161.070764942868,1010.701240333247,1154.4119327560363,993.2662657157802,1073.6041683707097,1498.4426799930447,821.0536486943557,1122.8913362957826,794.8704924959331,1455.8409858550467,901.7923965742597,1360.7281291553893,173.42866819824394
