hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,78.50471541923292,22.589590076678256,120.3796522485613,0.0,0.0,0.0,0.0,53.82274761284951,16.391390182160706,0.0,0.0,229.30422375784278,0.0,0.0,44.311436157170206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.57130879579181,10.377749035568135,0.0,36.60336232852669,44.5975261564748,150.28408440103374,0.6271086965693122,62.31529058420135,0.0,0.0,11.51417405078438,102.41330917612713,3.992056248203127,13.698865170052388,42.2658751526998,79.17701539456235,0.0,122.79816991514883,0.0,70.33845105347966,0.0,0.0,0.0,50.82361563253757,0.0,0.0,58.67762035597276,0.0,50.71951842070816,0.0,82.31243708081983,5.409309400435355,111.03620328781149,0.0,6.635279019213147,35.85628203448475,54.421706895811994,5.958066470117524,95.77609813364613,0.0,140.45755287678153,0.0,89.37998927615621,98.6268767177237,60.54516253296015,65.06360957772175,15.916646396086275,10.680672039032029,0.0,51.498482187354554,0.0,94.90809867119845,38.01550872634607,0.0,84.18142852270714,69.22467577370732,75.98213252317336,109.23435783539188,77.23905545916472,104.27347464966358,0.0,0.0,24.6969455665039,148.78520982925087,80.01640311743543,85.94366042204757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.98993730107156,0.0,0.0,126.01068919167682
8,75.28679396188626,54.38327842491533,320.04743209211694,202.94376690753398,211.37846357860946,223.38885617886177,157.82322389612483,15.1268713257642,247.47308369857467,65.14847314288073,148.5811051716627,1.306029601885058,0.0,0.0,366.1701913975388,52.09687992471333,94.11735633043953,101.81437288740038,67.82861575585196,3.9837086724444077,264.72697775118354,198.8901685927785,248.84251596202915,167.27051776797953,242.68186352426835,51.45048423649828,7.614036385931897,3.3113104516535117,67.47964590272743,6.9295995309867635,113.56968280966223,190.07404619048594,152.03059284917754,197.5039111431222,57.67451167307439,81.68373665599657,68.54608865042634,91.16043379111872,61.08573335223,48.36882341933655,0.0,99.99682043771429,25.26760804233983,187.72636731835388,5.736048308846335,104.22830962728993,23.718028771955915,107.88693536836449,70.34333392407696,0.0,180.41241737860506,25.163988085521424,86.71050829598902,98.12748029080338,378.21927567353566,0.0,56.4730536297348,98.38216781378496,0.0,16.678452451307805,164.2666168471735,203.0168061333933,222.3572747377778,39.29696311217176,203.41466613858864,35.25443530608791,164.150068401647,125.41096367505371,162.47685716916766,46.124484845009775,251.85906410931895,0.0,346.2449599497743,99.45022159955107,126.44032751727777,219.604101918553,101.31402147545663,95.46869621269173,23.48432174238613,74.21362802835155,247.5298735690697,418.3063775982736,70.88609404171311,51.34704257333271,8.742590628221208,137.05977710724594,270.6642234930706,8.379571265383717,51.03951829677047,0.0,240.60673546048298,20.744395725431133,0.0,138.64998319079473,110.51150802009565,57.681024389436644,0.0,80.57961946985466,174.92586059987897,52.84058200098318
9,377.6390119694822,399.5339081243439,420.7507017054431,189.0683102014819,417.3884748236404,286.0938116189859,437.2858726607084,278.92790548810996,419.5793914568753,266.92798911745695,402.673626703626,302.42663204783236,343.7661355904436,328.92683011587985,232.26617310515513,205.88238055140192,528.8673742397289,318.9283501122733,530.3037066936547,334.15538214586013,392.643830728044,236.36420857409678,205.9821829990172,221.25361489611248,403.22568978404024,205.19226130624168,178.22407914072775,163.64075987060494,192.00421480888852,200.6800633129692,462.80684761931366,394.8038422642576,289.8019361451608,295.6566622957366,213.55186090805591,275.02462115539834,483.88030666716315,134.30290072283884,206.5391193183425,361.0689397041782,368.3261930001683,530.7890209582102,361.9103127915952,294.94937559535094,376.85550235872097,353.77896731582786,487.11860378485596,449.4670887807472,250.7159399008904,398.51823241313934,401.29176002478755,239.89033847242194,462.6915701206168,118.46249402014485,400.1239011128997,322.9344473247196,446.8165417873785,336.2175028738661,462.21417375697865,217.8846667517615,440.2013907197991,335.46881126344465,260.005312035324,336.5327376872665,91.4616031961082,174.74865182725927,451.39112310017947,157.01523191113043,314.77370490698587,134.73273017025204,373.3242752325611,193.91514697912504,296.9741199268707,203.7267949241006,274.07624245181694,387.3406062537837,317.58760295719526,414.19405974629035,420.4874356987677,398.4478770727781,375.247750885659,471.8394815098891,477.2748872776546,286.9164097118786,182.898785672738,339.2520160267863,251.50523829004828,308.63892857650745,184.1740428252037,392.93841602214957,410.9220707443161,450.8743766662312,332.68186786501496,367.9969187979884,261.14394027319577,340.53086364520266,415.3034243317336,253.59217257909302,400.95280059342906,285.85154956425123
