hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,1352.2489240480309,1856.382032214891,5537.190397294436,0.0,3041.409191628699,2916.8221592147474,848.2084412898769,915.9070291848939,778.533772154247,3602.3170592585457,0.0,4551.558581370449,0.0,0.0,1135.8331398809983,90.74397681936529,2913.7349042793585,0.0,563.4769072761884,0.0,133.715068585798,0.0,0.0,0.0,5780.2179628458525,978.6917206765737,3002.681581777346,319.9090983486617,0.0,0.0,4067.8555918309876,0.0,0.0,0.0,1052.4453193819413,0.0,0.0,0.0,0.0,1543.548615204702,2436.740803200284,0.0,1415.3724959946603,2270.2866320116386,0.0,0.0,4372.7668090890875,1042.8972081511702,3710.0311243323486,0.0,3272.3485597460312,0.0,1612.1050698044999,3224.2227195288324,2131.944377094411,1965.4823255283268,2094.8971066912873,3870.3573988425424,155.24315508113074,0.0,1126.9476832605537,159.0299554685193,0.0,0.0,0.0,84.84090286175166,2758.6482830222767,0.0,14.396065094363621,5252.15201658604,0.0,0.0,6157.8466432679725,2430.9601132152775,75.93986190245903,0.0,0.0,0.0,0.0,4196.621746432356,0.0,0.0,0.0,2996.275058122098,2258.7147177743855,1693.7666954259482,0.0,0.0,1008.9075402638698,1103.3252841587625,0.0,1952.504460691944,0.0,821.517236008079,0.0,0.0,1254.6744957136648
8,7370.658013248909,11446.062351216962,10102.049504502716,2411.0909115283507,3839.0430875823304,0.0,8824.195681358296,1590.892482491035,3413.8912819540255,7555.182776004445,2492.841076036288,8328.218343200819,2618.71278242205,347.17920202220057,5254.720063849898,3755.383141081249,2182.2500774323426,5220.137153828442,5965.8276853876305,0.0,5751.061828266222,0.0,0.0,4669.475100586111,1430.6279741094597,1015.9591006502437,4502.334549378446,3773.38066566428,1632.8490174701174,862.0909037151855,1232.847119874313,2398.7698258167843,4361.527703067712,9249.287652006187,4285.572399589685,4093.5784409505704,4139.6498576905815,2248.0074262328094,0.0,4930.868474192768,0.0,1115.6140463546162,9006.981110903602,9796.76412732103,1548.7346513921323,0.0,2532.7887482753026,5593.25865271447,5108.048910958394,4671.224868314117,4625.295599284112,8614.985345446672,2227.8421987022634,0.0,1486.1158724802085,3250.394462502853,1061.877280514002,5502.003777976557,4283.073172692434,7647.082622644099,10012.58947359411,1945.3096950810857,4965.637346961563,3872.4955409575423,0.0,4539.915293572476,1335.2746908574632,3161.8738973637032,0.0,1492.188038044278,3686.3638895010345,6626.98908256683,8290.018503340025,8088.557672044442,0.0,0.0,4352.733894449022,0.0,5748.312819608103,0.0,6003.275208963343,5583.562456185917,3052.338915328495,6229.3501188822775,13111.722182833135,1504.5673802113672,383.344258361788,0.0,9976.159857566285,498.7055790252766,2622.7283275539485,6075.7846408377845,3905.877454423416,2250.434880628253,1528.9796202267717,7404.256397597066,4919.21502134995,10118.10739626459,83.56145651361885,1939.8886600859942
9,12265.787787577734,7428.071178862019,9465.114582777522,20139.681923673033,14152.575585692159,15035.12564194787,6104.76976869067,6084.332075112718,10362.137820216782,11774.547353579606,8602.46890556239,15231.270951840666,7711.956941453046,7058.970260395757,15849.640060087335,16880.440684124307,4505.707196229378,20644.879421860864,21085.116285879056,6518.763050821719,14740.77422437804,11696.120593927082,6736.152129227411,15999.914989879702,19164.733167561782,19911.25502500983,4455.116076464292,18794.783374057122,15779.212908184672,25103.35330071855,18630.999975457577,12550.737763183432,3949.086123090794,13377.504560089094,4718.337814857858,15769.300600997361,9394.752335750127,6787.604557856664,18938.912330597537,20488.664375667402,20570.650745927844,13878.243078190222,13169.207867872949,7757.007085090023,20113.546422266194,17019.188983189313,14234.368850715027,20309.392346588545,14982.17171456889,3225.394988802549,8531.370344794463,16776.66259192412,14871.021377962481,13188.675124166055,15256.003034471456,12151.295731291162,21122.38131235169,900.9069855816633,9594.86067154598,12771.0395137986,11628.277009039452,29421.41573162385,11395.508562832103,10808.28961717637,5774.2243371428785,11500.787848564101,20091.891968594817,24061.59351906918,11413.004613760542,22871.0001315111,10509.886849434664,14086.1097364831,6746.474442626654,8175.097196065751,15757.328076452739,13500.83873317113,6716.520744824604,10846.71516366023,14937.148321386303,19181.370468807818,9328.737463899382,12137.185002280392,7853.671942289379,9037.536803722061,11665.210401345237,10089.420768885784,13167.188964909166,17097.579527087124,18609.840094151776,15092.158478879379,9285.716252168691,7693.196964113869,12048.947817816963,15001.221389929246,9493.88017764717,18213.954323461425,16963.811311426503,11893.613038602847,12763.292753463005,14429.42461205733
