hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.1776045360615086,0.7435884351646969,2.1591808731981867,1.977031421164145,1.5402524612842763,0.10382736235963819,0.5364197065632125,1.8529188096162574,1.9463020402370512,1.583360205283153,2.3507452220187774,0.47924587295819754,1.6271033847156589,2.465842024766429,0.9141727262772699,2.6209943486225757,1.5765430617686897,3.1546794119865904,1.1684769237488644,0.0,1.6742762649160616,0.936052701370035,1.6354066165113819,0.8448545551767422,0.6152548942391116,3.111906157223874,0.0,1.2824717857636214,0.0,0.4249245781945752,2.647080311935228,1.1031075782505135,2.240592748687564,2.420148862697981,2.5143474912277286,1.9026435364562393,2.808343787345307,1.4758672496454395,0.7852117558906005,2.880474919146355,2.246210811235064,2.249963845457674,1.5829611767211436,0.0,3.5248720031287126,0.7221099036777752,0.4830197578603982,0.5352816287923184,1.2214229148736915,2.981563618046664,1.2325308920683378,1.0591970394839891,0.0,2.22072780797191,0.5068682262570768,0.720759363573448,0.0,0.0,0.0,0.19565558289779528,2.2709447054069463,0.4941015232137259,1.3932085129268024,1.3691800166407249,0.0,1.6434804966679646,2.4068430868299586,1.4345812009214836,1.2034032624004154,3.9132698310590124,2.517677552295234,0.9508903497602681,0.8245860655323547,0.0,1.0190557978675134,0.28919198021899817,2.5979378522310634,0.0,1.4670908381343724,1.1343498727454668,0.5244347757026356,0.6129970556887988,2.436192163302457,2.1765720710069405,2.0440402171414735,3.3590156810815905,0.5627738352748162,1.3976781074278444,0.7717923422228188,0.0,2.2375965855990287,2.3837101419492495,0.0,0.028751994041693596,2.876316840042609,1.1254155463715514,1.4198888054084169,0.0,2.4867881667724707,2.5916764859247223
8,1.1465247129158125,2.4244258736416304,2.0637661725956598,0.9792848949111485,2.8417266540660266,0.9558309386979971,1.988045150620733,3.2196654762507775,1.9477818494793064,1.3366976743105041,0.24673260494836913,0.6258853729413607,1.6264794627574686,1.9166523920131613,0.4340943148398615,0.0,3.9618885479865384,0.9606009695330333,1.4566529772408296,1.5612893036370603,4.404942948810197,2.0940617642819217,1.0937822874296748,1.9938670467262412,2.2164591911034455,1.1095750854009006,2.684360278698287,0.0,1.814426306803677,2.13674616059315,1.8768233056243435,2.796362307897638,1.9427244185201777,2.3198231515876433,2.4805021316979157,1.1461164005737448,0.07192096267069292,0.7510857233130548,0.34635485929676,2.3532706157107475,1.781272581862676,1.5324219654151805,0.0,1.6096174680757245,3.457409792460977,2.8462867827988383,2.342358222306623,2.16397084013868,1.098059006173643,1.7627974140050533,3.2737290055623527,0.4137673780609816,4.34786552775122,2.0886980298035835,1.2913302025738755,1.223460603133145,1.405181181009389,2.655695254148136,2.1645620151978373,3.5140600010472416,1.6437138561992723,1.201439962053314,0.34597795999182757,2.7377600277636303,0.5457818166170463,1.0296827349460882,3.3960934971216927,3.0220152415703065,1.6100523564082414,2.4155369482974165,3.434261773040826,0.7332865352215097,1.577287484552149,2.0985330036913163,0.5344120505777412,0.5660865308503555,2.861726763726317,0.6041706913011957,2.2633015022686753,1.308315797832384,3.6315549695588567,0.849386299806014,1.7513847694590685,1.9605476492979113,1.061327677492884,1.8950709280228881,3.524585398041374,3.239350368555461,0.0,2.1781805302591404,2.7162232047883452,0.24287182058482415,1.342664757318037,1.3932864717692102,0.7677344619232436,1.941294332004912,1.06606443186225,4.940839893048235,2.0387500633477464,1.4080818419012935
9,2.314791749276007,2.380693250476183,3.486130936467026,3.161771051259767,3.2439157316358935,0.0,1.8140085352020592,0.0,5.218432551320913,3.351132433784857,1.3846982239453747,1.4794776424238192,2.1192768660997983,1.8714620024053614,0.0,1.3394459738969626,2.189977956157678,2.079317154196002,0.5242267213651,0.0,2.6709466529950037,0.536074454570389,3.668082050610004,2.126239684208447,2.3505882398974562,0.6197842600614711,3.8075279372718556,1.2984345570485916,0.333946376363778,1.7189419551611504,1.9918605219900674,0.7463975864610484,3.193119948381681,2.35925950541363,3.2088716257040666,4.047171414759214,3.7605416802189477,2.916243837600285,1.8100219046957937,0.03560891724095705,2.2795216474632416,0.0,3.4507220924556896,1.7754956335032155,2.4490636846406555,3.2557828446295014,1.2147451197759631,0.7528315056799324,1.964422338262874,2.808187895600983,3.629912176015165,0.40713480036609195,1.2377398429338768,2.43945394962049,3.1494926449047855,2.3848276082986692,0.0,2.383796926441946,2.8392164839952017,2.5965312301812835,3.4906017706088504,2.4519354387466756,1.5521533607471747,0.9299022014630376,2.6113004960482114,2.018892987510517,1.640170861572751,2.5621745907789677,2.5930436233581715,1.571913886905777,2.358558682793948,1.29996209638005,0.7382105026121615,1.3223631790002406,0.2686248683773871,2.0701313259677874,1.3755509847067586,3.4832245795292778,1.7498098283422117,3.9813394470043812,2.781348156951564,1.5732382043344084,1.83641451304861,1.6472131910386862,2.5590797164056784,2.0777652559552156,0.919132838457259,1.840956804155447,2.449682416249931,1.1280598635257437,2.863109454878499,1.6947582850761556,2.829026012803052,1.7537972332395466,0.9902223430875703,2.1308448127966497,1.6924241579556112,2.0226200838858124,2.431558491926996,3.4709870001565397
