hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,56.635983611610904,7.213844390904768,23.561404530244026,0.0,0.0,0.0,26.911797301420258,13.997275470667734,44.34621190753709,44.344306868785814,28.808566147265168,5.87523067217357,23.917355651031652,137.64210312206043,0.0,67.74083689485497,142.0172302789689,30.324887007478104,19.951380073997118,0.0,0.0,9.731254802644914,53.301931136945115,69.68969945449804,0.0,18.275565513071076,47.050488836968206,26.884905581329427,21.932456897212052,0.0,0.0,0.8151371079717755,11.441554183648755,0.0,79.7187303648415,46.686595807529194,27.44330093632145,102.7323034322585,101.01256720820209,0.0,0.0,45.831898165641995,20.030915759352112,0.0,44.91164458286575,26.767853071271574,36.1378241051906,43.99090827734536,54.57883133307539,58.02079245424048,46.02108934325452,0.0,87.34668544801936,0.0,35.093961984305835,0.0,0.0,32.96357428870224,74.92865107567127,0.0,65.16144641359436,0.0,53.07575120295424,14.881362382364856,61.0957098525424,0.0,30.327334529685565,0.0,0.8858654531714336,0.0,26.488260557401375,0.0,134.33753890094872,33.6207235466118,38.24931166930869,0.0,43.38956678891364,14.235554730479162,26.464540360132062,26.85508514436483,60.98561823456473,71.659565175846,59.3660177395942,52.33226770779572,56.49771344042969,97.3451128373599,0.0,70.31480448328391,73.33065411342267,0.0,0.0,0.0,4.274602867028533,2.383323647003003,0.0,64.8253459397431,0.0,62.437180931108536,0.0,0.0
6,19.503164503048055,201.0128829367715,48.21423732839787,93.26479568068214,189.7276419460155,118.25445608924889,497.6028132662909,203.3943196153744,13.253028527169462,59.025455436662924,243.5261026062106,39.52047344945588,0.0,0.0,111.30359325009682,0.0,178.47808481220656,114.03565450784583,450.91288408608943,46.872766003084976,189.80916386135004,407.76371174765814,193.95202410599208,290.0994853617806,341.5362374445929,0.0,71.87432828575673,174.87573398441563,0.0,69.87609555895821,0.0,0.0,375.56722707853163,73.6544203565251,195.82279430744964,170.8738465061192,202.72643429652334,185.0570677899055,176.4721743395947,112.83561141454744,0.0,100.75231113064723,298.79447890355357,488.7903249121233,0.0,214.6764497137911,199.98994642872984,173.98652514306815,0.0,107.3941369039427,187.80802691720552,0.0,57.439156825293935,40.33328748922847,126.87354172362443,181.12729486096205,156.80294276652873,335.54681723361557,132.4419560997493,304.00124909214065,102.87199063470317,272.86263483702743,0.0,88.30753464609833,53.983195627116544,188.43978606233966,95.80349817427862,45.580458093681486,249.1897815287701,206.30903131035222,187.976835756826,92.79426269701226,110.69405951256674,139.48252192260563,147.2585876901452,116.95077797739195,206.16880483400132,213.12728316323063,111.94334556318992,85.85298314137634,0.0,97.30441361796744,185.55267811565017,197.43849327826848,176.2072964644482,323.4918769745483,170.21608100536866,49.9940384903057,0.0,346.94299511635614,218.20553716482326,141.57796300693414,223.00866933605846,138.7837008776357,288.1551035714318,291.2841172060186,119.43138712991508,8.748199877734763,63.07187575461551,198.56986509638034
7,291.1092549324473,0.0,306.19574935440875,641.0649974685207,641.0433167363326,220.91698922807552,482.8698311941795,444.527690520095,189.76820079494786,368.1073712395567,224.69673598395167,126.22455983434378,381.69990810135863,398.40370731688347,45.98295171425357,683.2869608116107,459.35171050758663,54.71895468488816,378.6043279300448,365.369942662875,344.11560764104723,239.97783167422276,244.47252609211458,230.00203793249597,27.851889375574927,188.7936313412148,423.4165173508213,183.75369690526696,0.0,153.66424829960118,593.2616865596909,403.01396327296584,453.7724329419661,565.7778811284937,0.0,161.0571702649823,614.2644207494643,0.0,166.2270299264763,634.1364283191092,149.92278359634494,167.9023508522996,451.64318788605124,108.13535702690203,191.94579744266792,115.91254996019853,207.62810730405562,589.0383184355965,388.72022741065416,0.0,713.7133383112853,0.0,46.95211721421279,269.60687908526353,491.4090436284058,251.37442863343864,412.82085115159805,527.2509909867533,288.3266748617116,380.57603964674746,344.4007040071091,0.0,444.58443523292766,0.0,358.50990639754605,12.558703452799989,394.48948518804514,241.6395169243062,723.1633016587623,42.05923830205947,66.310581521785,236.87172805470317,151.3367930786088,310.2509739145212,255.00978473090865,271.8262326470218,118.88056099871744,490.1537561267299,0.0,344.8946613717138,0.0,678.1876647460479,75.79709503674457,620.7194450202552,219.58125858003163,196.21990782544543,513.924349610028,250.47464986234604,50.692708469416345,579.6388859812685,255.50700396955466,471.6635580224922,267.51649846898346,460.5898260992815,572.5361309331729,95.37402197977349,474.47158977984884,635.2685072620462,493.1268628022942,209.43183356876824
8,1248.0043307716085,1901.7949818164561,644.6120500342209,1427.1056138187034,1516.8969560109667,795.5401552762717,1256.5629817900915,1398.372753450471,1000.927039524611,1726.2701404274205,793.6598782679393,1142.2106460963776,667.0343660451443,1338.168215116824,1162.711041090949,1322.8611104985719,1077.700873002135,1577.6047508562524,168.9984268540834,1339.8661913626154,1269.2879053056236,841.9848896771664,899.0002581904466,1161.9069996977512,1460.223577120118,1045.7265996273545,1141.2948555208102,818.6415406222688,1509.8097840879996,1529.3924270254943,1906.9412145091155,1175.405147901463,1290.4363512700124,1050.408411367946,1289.097685498351,1119.003718844889,1719.1902665720718,1069.1047929763258,1055.0004614858701,1307.1984210054948,1548.7345596899852,1306.502458692546,1361.7047796209329,1116.8802036878533,863.5857056970804,906.9387479291388,1281.3225137666911,1403.1847324794192,1624.6153132853797,1179.7264564302689,795.9161054814049,1401.3210345328785,1542.493947227805,1831.9664057307637,859.6066433778047,1524.746600872862,609.8284508611436,1432.2047440988838,235.44066474166243,2194.801947253025,1325.1627543232341,1964.8215522981213,1037.6771925205805,1632.232318110621,1128.0517751661432,1300.2410673108047,1216.5428003837144,1629.0051108281439,1325.1652604690405,1418.0085931316444,1038.9996548807283,1459.9284499669493,1571.9302380739828,1525.691683988012,1296.5751333357275,1241.3667565483313,1175.1466896201562,1840.6410487490878,875.2222207950724,1860.4972580244194,1063.2544238221726,1291.5437390466502,1283.6300740053498,1411.9249791015056,465.3849973192206,1051.4259157795238,760.1391099358354,1166.4402619835587,1115.128769486251,715.5915476986889,1618.0954481690692,1350.9630476369327,1061.6293865445155,769.6654001577134,425.89467008223835,648.8045816850486,1939.0909783112645,1001.1885083102935,1014.3668917161606,592.2806595338515
9,1894.1831956791416,1575.5830066783176,1475.1932433453758,1357.012343811331,1606.9431971714782,738.6153864211655,1724.9348844441845,2220.17443485617,1177.4932158636825,1431.4962965774723,1351.931497008536,1966.9460071088547,1558.724104653654,1461.8115427274636,1472.1290992711217,833.4209468931224,1214.4194827916758,2388.8499539504564,1653.2835986433872,1545.4711310649652,1947.0677209570638,1577.8113086477897,1556.5944406534372,1364.0979339005316,1221.9095925093284,1373.0394313415118,1513.70146907694,1648.545734079585,1189.0562561667984,1142.5927390549348,969.3934332031936,1380.7939335805822,1807.9017833143428,1015.4097542135892,1378.3905888450106,1416.2262569180093,1035.2048371008582,1171.7601798886726,2218.687916070102,667.1377961202311,1015.0854772851841,935.3474844560192,496.250848998749,1061.8250761625682,1532.6527198166464,991.0947648127243,1493.8330546164852,1551.9420213178025,1224.3958029340486,1456.0930498493228,1894.0802721121922,1327.6670888684275,1717.1487089093282,1718.8529207810286,1118.2661050942177,1263.2863907618366,1516.0627017167776,1598.563180246352,1972.4981433953203,1041.3642080662655,996.1154752606626,1255.288514967174,564.7609785498769,2008.9412331388808,794.5562237600075,1564.373349740916,1349.5176232704782,1504.794680367,1248.4629232719096,1283.3906244257873,1591.9374718356498,1992.0862643980927,1023.0830341365056,1671.6122539842652,1991.1736736922828,1161.132109369235,459.0337495349128,1606.378947005105,1988.3892887897282,1046.9154592421178,1267.6707786359584,2132.1860263043445,1704.4580942677283,1236.8004232674152,1273.3628967329223,963.7733777951079,1509.9268219455155,1722.0825960406514,1273.5698063596537,1437.7156772011476,1631.5872018637845,1308.7092420418837,1255.605320443354,2037.0480754920245,1838.0488512598777,515.2395109983742,1481.6257471571773,1094.7110992490502,1174.9520628046785,1465.9192714900375
