hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3.3258975352047853,6.157530076802619,12.217725239499122,0.0,8.758067596964366,0.0,3.2796864067317673,6.572148493780657,0.6664166228724675,1.5918397387527878,7.662756938345616,11.403002703686246,3.3521654561197796,9.800284331889014,10.357438619238431,6.396513522201971,0.8836863021712001,0.0,0.0,0.0,0.0,0.0,12.8563814419347,15.352645575559778,2.5654925292988664,0.0,5.479234459157648,7.960356566309773,0.566273429946359,9.461638163606839,14.246655165221599,0.0,0.31934002280590357,5.067049140388052,0.0,3.5552768788978217,0.0,7.2831261960477685,8.142090791693505,0.0,0.5891997416266344,10.101722024887392,5.559031361444077,0.0,0.0,0.0,0.0,3.201460396836332,7.809017564979859,1.7700497910157371,2.823220286433446,1.9838565860659159,0.0,0.0,0.0,0.3831968672236268,3.4084799314367777,3.1770497392853385,0.0,1.4721794921722668,1.9665192183403737,0.6688751385858278,0.0,0.0,0.0,7.756015702750473,0.0,0.0,15.195483633688387,3.100740560552265,0.0,5.687107604488028,7.1343200900654535,2.7921402354890015,0.0,0.0,19.79510964334147,6.632345893875462,10.885489955992698,0.0,0.0,4.564975827210226,16.048497918038855,0.0,0.0,0.0,0.0,9.490046971893744,3.848576845085533,14.43378302543644,7.219062590237906,6.125766320390713,6.677684740464454,0.0,2.571246280842237,0.0,13.308299013709721,0.0,0.0,14.351870016279753
8,0.0,0.0,19.836983235521387,0.0,8.375485067597381,10.020590606826334,0.0,0.0,3.6226364270183513,8.038937598668742,0.0,0.0,14.983117612634832,0.0,11.42699967463864,0.0,15.998965972030454,1.070040010232705,0.0,9.649786560325355,9.24091473326649,12.298992018362704,0.0,28.252409420804774,0.0,0.0,0.0,1.1093206598785983,0.0,8.092290919155955,10.432209527054091,0.0,15.68372496210064,0.0,0.0,0.0,0.0,0.0,0.0,20.884696934158086,10.151342015192107,13.194124835780375,0.0,7.020287993061692,0.0,0.0,11.377691428191966,0.0,13.739940271579815,8.72292311178632,11.921446602214637,14.152974657897769,0.645773490108094,1.911551939717704,0.0,8.641361233496198,0.0,0.0,2.777548414878035,0.0,13.110628273236177,17.059274180371148,0.4853140313163846,0.0,0.0,10.54842564936601,6.690754939893834,10.603539804345502,0.0,7.857526709135199,0.0,0.0,0.0,22.225382276224032,0.0,3.291517972299081,10.967856569642699,13.681456244058658,1.506255508191975,0.0,0.0,0.0,0.0,0.0,5.660238890523885,0.0,9.04978090231073,1.7378836391541523,9.027809886561808,1.1135328167935648,0.0,5.8201673415911035,0.0,0.0,5.746491988687327,0.0,9.14600829580256,0.0,0.0,6.002233590672711
9,0.0,0.0,4.01936113220358,2.47276413439329,11.304893296858506,0.0,11.738277449183254,8.280077730673785,17.465282124762528,0.0,0.0,0.0,0.0,0.0,24.38801480556498,0.0,0.0,8.200611361702938,0.0,15.470230994762815,14.422150697068519,5.279854711727768,0.0,12.1858088880589,10.072012227700268,0.0,6.786323092372452,3.707562834852696,0.0,6.239347185780014,5.172783476981399,0.0,10.787647617376818,2.41476393296648,2.1984226308779573,5.118348916296786,12.601413279211371,0.0,11.401603670010193,0.0,0.0,15.921401376480805,0.0,6.842780294272243,12.929562631611708,0.0,0.0,11.213725157974862,0.0,28.894252428792832,3.144240352034858,0.0,0.0,14.258558610913541,5.03541664131842,8.168417004845706,0.0,0.7372715154581964,3.844981638805079,0.0,0.0,2.7301175157663593,49.61834495279503,0.0,7.852740667320537,0.0,0.0,0.0,12.40522990386797,0.0,21.318194107743025,0.0,28.331109100760848,19.19577995520462,0.0,10.708743108978027,11.334985037623461,0.0,29.93962348770074,0.0,0.0,24.2410356952864,0.0,4.2749134171611916,6.070621149787527,0.0,0.0,9.987258538533382,0.0,0.3825699563235214,0.0,3.853501597443361,0.0,15.25330168764399,0.0,3.421116670433225,0.0,0.0,3.4652435179354124,24.36513145001228
