Forecast_Hour,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99,scenario_100
1,222.81714799964652,562.140324730819,1012.5352822650644,607.6292034082039,411.8529818579434,428.8756695076985,480.45412364459514,357.15148447650347,1431.5693823361548,1040.118909588086,0.0,1072.8598121213586,1457.960054655359,1912.9014075822965,391.99830667816894,335.97283167767944,239.3309201406894,0.0,380.07643527200594,354.03241282961494,292.3536027984536,800.9755575969023,541.5444811155663,1307.7552109531644,644.2761848901735,594.4526658739766,1146.6701654958424,30.00080015954461,365.3878818190519,622.7890047376234,815.1546072909837,100.4038846719614,0.0,684.1919555706689,0.0,0.0,277.3926930918168,723.1447306237505,459.7915840352991,0.0,74.68790036059625,0.0,750.1214174492197,505.6336900816971,674.4239787066158,308.20762763112634,477.4032672140816,769.4769147630552,910.2389669396971,1038.465074097568,35.39687737014867,297.63352872525127,479.14230753052266,1052.1407928639792,525.7316337652384,781.0394641009805,357.1398846664536,0.0,1339.9713366330757,7.449542340837638,1479.965093240657,365.9401512331615,483.8438234439559,431.9444543447439,0.0,551.962112934074,901.2319919148911,735.4713842497583,599.7944722915393,853.712863951277,1112.272984132207,1035.9449184602195,1905.79698927538,0.0,1145.9294145346057,576.540794655758,441.9038515760937,988.133450518547,0.0,165.2936972161025,866.8258428444774,1214.599570268129,803.0437394610376,470.23447374390275,977.7709578726838,292.7275098316511,131.0946429237231,524.5601303087954,696.021459905411,1303.3553348746696,99.49714757554494,432.6361060023528,367.1442943496322,0.0,956.2294471708029,133.47857430522492,983.3824623785413,1478.595370899909,1516.475715569298,589.9886752062461
2,281.2765528769846,491.0858735841133,1035.7327769218964,609.6112618776398,359.4555485194886,481.5232662953386,478.1893692263254,335.41757819459906,1509.998036331981,1031.4621162924527,0.0,1105.447135696898,1339.4784568701452,1858.5658286274047,381.6644220575115,414.63413202099906,266.4099666670644,0.0,344.0195082900865,414.0014705954462,307.41874121844023,777.5534048813835,501.9801975263754,1297.3315348214016,618.8190736017652,651.18946843698,1171.3828036133468,81.27219755408566,385.2746819894099,634.8991262983845,786.4417830845289,147.88213914488318,0.0,666.5313268598267,0.0,0.0,359.9361859291013,697.2495890856536,470.282104901415,0.0,0.0,0.0,791.9168129817589,501.05601258135636,715.0540101294475,297.80171449069155,428.85493321028224,901.192825764662,898.1147587910449,1049.8995581162044,0.0,353.54010595698253,549.5809243156548,1083.4726094113873,527.781531722587,824.6423653929639,524.2251088698637,0.0,1324.033801013959,0.0,1489.2147201877492,318.6632198693827,536.5862273196967,511.5173938326617,0.0,492.3635251777642,883.6008341454547,840.9750530435635,538.7095010848271,883.7149662037593,1017.8277678897791,951.0270236987598,1939.8757918804981,0.0,1127.7803440796492,552.722032287196,356.43739962878277,998.5021029724173,0.0,225.0269407297519,926.4161801505292,1181.3304668033848,708.0752634710309,489.7556004108927,982.9846667727766,270.05481985691375,193.3967162864319,540.9364325060685,776.5640495197697,1306.0473674418954,114.46262323474707,361.56793246679615,300.5368307592116,0.0,858.9864240090913,133.71847367544945,1044.1617327027614,1480.5275757448726,1550.294896704632,554.0496800641648
3,359.8178279992056,388.54478944743056,1007.9021207096288,610.9374881433803,340.19768104500315,535.8160591505937,494.2735511952578,332.2027695504403,1546.3781861170849,994.8928835706024,0.0,1091.2819625217178,1205.3463212233717,1771.5090606419906,417.8982226919344,461.9675461769192,305.4164792199412,17.423985591052258,330.06021515394184,481.8837980920792,300.8421153329833,740.6088551817463,469.77795470904954,1296.2752070566512,569.3383265778845,754.2866738688394,1168.247163539585,132.95433455597657,389.9204181752784,720.8408539964873,792.341697242571,172.2375055685278,31.858965531789863,601.2414418984246,27.600100572327108,0.0,435.1480433136229,660.832126141749,507.13640656773117,0.0,0.0,0.0,793.7822725426224,471.4415712384152,717.8039066923845,287.13775110225583,377.03752975067334,991.9716685900065,907.9633530218715,1058.6610937616817,0.0,378.3952916953998,617.1625942751382,1048.2437072685525,527.1660601386837,864.7309385034116,675.7304707252994,0.0,1315.7047737659377,0.0,1525.987544691275,268.68926620956097,588.6472244742687,581.5060527030453,37.02782276711815,489.68801062104944,895.0816336819745,880.7630761740122,517.2193454662204,882.0560061938193,982.6388061082382,954.5052310835871,2014.0369289252083,0.0,1044.6979637557342,538.6956692143574,310.61275788585795,930.6676776611882,0.0,247.18684449385012,944.7922461135483,1083.6839237143981,606.5336059148259,517.4340140416557,1026.1677502170292,216.87807788877922,233.6653646289036,525.816204992568,823.7062270778227,1324.1354558661112,178.6410150704047,292.6661018952636,258.5767817351434,0.0,789.474056580205,109.54075284387477,1114.1138013181876,1480.3695476232413,1572.7620022738336,596.1345206370945
4,425.07548338768606,271.2132399766232,979.6330693417497,621.530482635312,335.76623767423155,566.8016180796882,555.8768665369956,399.9996577095104,1570.2972490962843,958.6733723854613,0.0,1040.0634042898487,1119.5521765246594,1684.8077105729512,458.5264708527032,481.4202682997318,407.72430191007595,86.80767793643696,341.20063129099884,542.4777226236408,300.0037221304555,688.5704404890413,450.1333269257272,1289.5422176010238,517.1915792565112,841.7850300025686,1114.127880161086,145.38183964408506,447.0669960416551,787.4116264255279,826.4108049746952,144.18032029529502,54.15941737883793,544.7893701626338,65.13503359731999,0.0,490.2460957096793,640.3417512948901,526.6835305536538,0.0,0.0,0.0,755.7608205744166,436.5584535114667,697.4454994773264,264.60844086961674,343.8622770046825,1016.3680233981827,931.9047845116704,1035.6514530290192,0.0,416.1772965421135,651.7163032951471,970.8756557839392,512.711792933983,899.0691607214526,773.0087619654892,0.0,1337.4547517904664,0.0,1565.4646199976692,202.09191635895138,595.6812001222278,629.0294202082789,103.80069952406114,504.9569436820974,884.6648923434989,867.1900879986067,514.4263829627121,847.402800748479,991.3880143356861,989.8290353672824,2115.4908918483425,0.0,976.1473805296449,574.4298809307897,266.91991780594526,860.8603368722819,0.0,264.66101065286,890.010897398062,971.2335356062027,502.68902256835077,569.9758401850017,1050.9558553561578,186.30960958180196,252.61450164534506,520.8054365404082,832.1756215508005,1338.7495848673907,227.05502606974443,197.80656290674733,236.02779684612477,0.0,799.9927867658022,115.20977485159358,1176.2163314177142,1449.1854062958103,1609.8381856811145,633.1098460250761
5,474.25222659644095,122.3151560968729,954.7699209806647,625.2120757989786,275.2156585053756,606.247931543207,587.8625280343599,504.1305831719987,1567.7845165808922,948.7732193406526,0.0,996.6089692424821,1058.9461742841027,1618.5786515271657,465.46363990211125,481.7720621125649,521.6878294188908,123.76437133609312,348.6090139007979,587.3696514263098,346.4246391964965,616.3796836623713,425.712216249661,1253.5801118795744,457.9454088816033,913.9920789842657,1078.1395270073979,153.18922225913155,485.00853225409344,821.4442492405831,827.0625568312832,131.32880838287593,110.02963210077365,493.0139555266442,118.41109746561614,0.0,498.8573038137327,681.7726479440257,510.200940579306,0.0,0.0,0.0,704.9198142246087,399.5531049754956,678.1439673365505,241.93142815742402,239.49479292380602,1001.4032157232401,953.0343329737071,990.412546608576,0.0,507.5231426951721,663.9116075279289,908.4317517082413,542.342358126376,937.3354540878402,860.8548399846097,0.0,1364.862037102685,0.0,1543.0155907035507,139.26767674445387,535.4051576489816,691.3549418026005,211.1508458801198,502.41086956569734,862.7335451269465,843.6911905503719,519.7940466930216,775.3770291869411,996.3971510883191,1022.38405870067,2160.2035041882136,0.0,930.1902421609182,617.6520939606855,230.63905562850914,849.3181461669589,0.0,241.15827734661525,880.3728079502769,911.6700017445455,416.0579850360434,611.1119184981553,1091.5181878760582,151.56606908870452,275.89435174090784,583.2633088512824,855.4811070572391,1263.1057269680473,264.11546136121757,119.74329146041168,207.71112951694403,0.0,819.9008248240141,136.30133266851607,1189.3092807506068,1394.63996231168,1631.226973517192,662.5429341046752
6,504.53824397297177,0.0,956.3586164853124,576.2872646481504,180.9038368706266,672.4255621589298,568.8878414791288,542.9597452964035,1542.9071249745884,920.2261097688879,0.0,979.3566439798944,987.1361943781505,1576.8272105477386,457.2399571740795,462.3480973558087,549.8249660580393,182.04095318026702,334.1029449927373,596.608857824098,433.49014665687173,553.476309123154,417.81367262981655,1227.4816512241273,382.94475931922364,1007.7975337539472,1045.9626347473718,149.79912247747922,450.753359809582,839.3285072248057,834.8844855521206,139.55189333546627,191.04957281592056,423.7476801280981,193.46613805273807,30.338542077190198,445.8822776469151,778.8350737952986,476.00387972969617,0.0,0.0,0.0,674.5524413661105,353.3359532714981,660.1411671493228,295.51479026582274,105.42574540804253,967.913145075189,1013.0832411674628,874.3130101869823,0.0,527.5424427765856,688.0604029523168,901.1740458001443,535.3071494465605,1009.7950805918989,925.9218446059122,0.0,1380.7272010569745,0.0,1479.0390095940834,54.62629244686576,470.13441589430545,788.3871128677256,346.5012203971361,487.6390058537929,865.3155792693634,839.549982631414,569.972649021906,711.57860537997,1001.2284969191962,1081.8008517988235,2170.036462261154,0.0,916.1321477247498,601.8477698093736,235.12361709641465,890.7508752556951,0.0,224.50437391876903,829.4278606690466,870.1749848038896,361.8562196238172,690.3156884540374,1140.3933393010711,97.3451510951354,298.9803889571196,673.8866596934151,912.3859662271759,1219.7982721295004,313.59035952495725,79.10189883082131,168.98959353085428,0.0,842.7772421200948,163.44265721467838,1172.8897229961467,1362.7040218426182,1628.4566322742544,627.0695873822461
7,537.6120212982329,0.0,950.5713323876128,495.2922426171264,100.6041811388929,756.0681750541255,552.3792825022224,544.5269244461724,1563.2698074080624,873.6138581497135,0.0,975.6652136817345,937.4481086564192,1527.6481823240417,485.65995896086747,412.0398330723633,520.8259433778858,253.94831407835966,313.86555186434634,619.0743501589089,504.2001171859336,479.5594084203069,405.55900813055257,1147.4430421851036,351.2755888158896,1095.6332296225958,970.6736407590545,133.41098664409208,384.80444209448046,814.2081073265995,815.1371468477384,188.64884405897124,200.88173689933177,359.3665601253301,250.1903010520001,88.45578457870727,390.2723365322702,850.8721863900926,430.23002636612557,0.0,0.0,0.0,671.0098395754364,363.73969806671306,610.1799117405626,374.9505322545626,0.0,937.2833566094216,1095.2238871887084,782.5365169439532,0.0,465.7339928569039,775.7858287348225,914.5279519742419,501.173738102891,1054.0941067160015,918.5888881754876,0.0,1383.7499780837202,0.0,1448.303427136083,0.0,452.02798696222806,890.0283154948196,417.3321136908784,479.31826107467583,886.3087383472782,808.1646130225546,673.0996183721255,718.0581182618652,1022.713645678836,1165.9584285031501,2160.882705597469,0.0,904.7529856114777,539.7138878854213,283.64927360799237,878.646277077278,0.0,234.41554975306104,761.2568516495378,857.6968021359557,343.42700488533086,773.3816760604627,1133.6858166394245,53.32096712538316,325.73150515721994,743.812501722318,942.9757522878681,1203.873305625623,361.8786620796159,40.217144983514515,139.95022367704695,0.0,869.2085721572207,240.5921571731958,1126.725860141502,1336.2128069681376,1633.5659028628495,614.3478748025609
8,562.8996720136782,0.0,947.1145019030482,478.6511809421243,52.494160060781496,810.3000306519154,578.1002973338566,550.4463125003051,1623.530435254895,856.533136790853,0.0,978.7979137622908,921.0979913172953,1510.8153856000786,553.2571619761266,334.82559417354986,478.04546394367856,262.0106465740767,320.87402218023726,642.2564035742253,535.6405833283274,386.55784493911335,394.4469266671805,1071.2656285449439,327.5918530444542,1152.288665090663,860.0063581874529,115.12135989458653,348.8639198554364,775.1363444384951,728.2353458563721,296.9723157206877,178.95872571811105,280.20223281190965,280.7757001111237,152.32291603723644,378.95118335140273,921.9129830260499,362.51216897264453,0.0,0.0,0.0,647.0907381925244,413.62868566619454,575.6241435488688,420.5817032370708,0.0,876.3148209436492,1139.7679996299107,715.8892907877004,0.0,374.03084260431217,871.7279712001285,941.8982254374008,492.07107082619643,1090.287468402467,890.6972137366504,0.0,1414.6826241398467,0.0,1444.5180947020144,0.0,475.8385683218558,932.564115294718,468.4278371340838,461.4973020404707,892.8553400773774,767.1434926665269,828.2207671862994,773.0890522832206,1053.8134025241764,1254.5231929331014,2174.936598642537,0.0,879.5457448466557,502.88995745181444,332.64589381800647,859.7911149809856,0.0,259.8100234601645,703.3408402779997,883.4386091629159,368.8540665544607,838.7702986918213,1057.5907183980669,38.245057150396406,357.72157533717154,762.1549878971254,924.8161574923666,1203.9198070614273,411.87409045373596,40.060480990798,137.560714849122,0.0,890.9288097198115,295.49529744080155,1050.530584071314,1326.2055475964617,1646.1043990817323,630.7107743793832
9,489.747056099064,0.0,959.110161357085,467.83057438937266,8.747599223199302,806.850490212115,578.4102990694894,557.474678073033,1668.0578055222345,842.8039728148456,78.68018386860433,1003.7692986213799,924.5075081942234,1539.0746692308246,618.6905072868961,264.34017577506876,439.852825805796,266.2302340739006,272.326131526939,650.8458618336952,507.40990160468994,293.9118906211587,352.5271891109105,1034.1835860178599,278.3322879841296,1192.5298546574136,735.0402572454257,106.34863231596091,323.8964410883001,730.6456040246726,643.4440466087339,400.0091229173143,212.1301446492651,193.56008671759855,329.8331822244181,193.98763517944013,378.98570869838204,968.552385206588,233.8872605092996,0.0,0.0,0.0,617.1601054517033,463.7277867464481,617.2726133010649,471.57977657796766,0.0,784.5799888862255,1161.7369212171939,728.2663804359161,0.0,279.277474675684,902.9355581612838,994.3475412954818,501.60578933177567,1141.9776435318486,850.5706736691812,0.0,1433.3863277061655,0.0,1398.121512409843,0.0,524.3525223640626,951.8732023025177,555.5728329122758,420.46074694878087,909.382300095214,686.214482399286,975.1053185507135,844.8817450210637,1103.8568436200558,1344.1536719132043,2209.642909498566,0.0,869.2728177124873,466.33593113365555,347.0135782320499,895.3848636486808,0.0,252.78576763155894,711.7652965916079,895.222304818873,413.49308754533,877.8074829969045,989.5712419992035,51.2570859755138,439.15007346621564,743.2831104144352,901.7366974218064,1212.646293409444,471.7247001681513,55.200692783077784,108.80346479202478,0.0,911.9404033225478,308.3554639307408,1024.7946561723186,1311.7629852458995,1649.7483384834416,589.3871433560979
10,424.80287612868403,0.0,917.8575445197519,471.81737579483683,0.0,800.9773337264638,551.8784018347108,545.3570252988113,1697.8086648118185,822.4864190558476,210.54942407484805,1038.6428956056293,946.2143923035051,1570.9460250859786,672.90322075815,196.65683727363955,414.1254102362692,339.93852462309223,164.88560709544373,670.7572616831511,471.23968392214545,256.6267699829152,318.51951881696357,951.9786468437128,239.90476318943524,1249.4439821041792,636.4851474779576,106.45335808589164,294.8861251851881,689.7026647323851,637.6160093696659,473.7419155541912,225.8647361914821,109.51207981720637,386.07449779635414,257.2880963453939,381.8426453129732,1003.0896997187169,84.46690579112663,0.0,0.0,0.0,605.2929277070353,488.2723098782283,667.895750013186,531.5524884695253,0.0,715.9525513807696,1142.0575052649074,743.8323975356783,0.0,150.44731513625356,875.9149668264522,1074.3510835227596,533.0660459045271,1260.4125138314623,799.2747785502095,0.0,1399.4288937786973,0.0,1317.5101663320538,0.0,582.1871867578607,936.3706008751672,676.2124244832114,383.1297072421072,907.001939544316,586.6935928300608,1141.3396727081758,889.3029002121691,1136.9878211348052,1431.660292208152,2229.449497766799,0.0,849.1757917999832,418.3773837846884,377.14539758524234,973.0911763300888,0.0,162.88482213271118,744.0967556621129,880.5815856340828,408.3168220109967,879.4794630460638,996.2557176967567,70.8649978712105,474.9777668388316,708.3401096719015,867.996915025147,1221.9309267970805,565.9507472275734,76.42956697218585,25.182884388619243,0.0,892.8395719419573,264.9044517750888,1020.1613647612548,1235.9531030295652,1672.0380387526786,526.8677608540424
