hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,38.304195050377835,44.7475651315674,0.0,1.6403418831835666,26.241423840739355,22.57607378898838,17.922212727330027,0.0,52.018836261394114,5.1627906990936285,70.88513808164251,0.0,0.0,0.0,72.76305722475877,10.27588734109572,0.0,113.11965686155614,0.0,0.25761247389032604,47.15361652285338,0.0,36.72969087985945,0.0,3.9026354364823206,52.906868575223356,47.01105337184755,0.0,0.0,47.151440525069944,0.0,4.7733500326029805,0.0,37.630330250594994,89.45901495761095,0.0,49.40103403433653,7.680135066609431,0.0,23.33394906858547,23.46407556305566,40.17652712481832,63.54596314127412,25.91441673983033,0.0,0.0,91.39738432983751,0.0,0.0,0.0395939346943166,10.166665792922785,45.731622517831035,0.0,5.745917089877539,16.765852087997278,0.0,9.629243582084957,46.535820000294095,8.759760285957435,47.48745397739511,0.0,0.0,13.222282422674205,113.91021124422042,0.0,0.0,55.89473744340986,0.0,40.49076690000503,0.0,0.0,19.32028966441775,44.9011530733592,0.0,2.51781012812304,17.903329803653204,44.614603230052424,0.0,0.0,68.2630951943332,6.700574640255352,0.0,37.232884816583706,38.74030442908169,88.93831772714148,0.0,40.76354277527984,2.8623282678885715,0.0,0.0,0.0,33.11030581922261,0.0,0.0,0.0,88.31884160441726,0.0,68.56734453527712
8,149.01462672037223,41.050238240993735,125.30689445269854,89.03103206658835,131.99375014274833,37.353767209691455,136.76190198671011,111.5022867855202,112.98131797277284,228.95482213836078,108.1035373713128,217.4961224483856,285.2945850309203,267.52040347107675,138.86678212415308,222.64256417905818,162.16872830057778,44.542810842569736,198.06279960113096,68.8353098852036,223.63600152961396,145.47067120186423,98.46657318244849,175.63993667470618,71.38422094747935,115.7617003414538,135.35529452435765,61.65919681220282,177.45019141711578,189.96607364720595,169.31922773788597,267.49273956052355,128.21536915783733,163.77459428930317,91.98902466335372,146.2704075853295,178.52666902001263,212.22243065841332,72.86381002148507,154.54948827783775,159.16707341921415,84.84034452299719,98.89732312212115,40.70725844001984,192.09693884063677,161.80655072911992,74.57965407541529,254.6316770087941,207.35776384309617,210.7976305611216,115.38654874011416,223.69829390400014,229.59511425597702,132.1341808172621,233.16899291944392,13.368754103781214,151.65338526399327,232.66303895177913,178.7048769232174,135.54619511010623,76.29296905808366,178.42009684071442,60.92933860132442,0.0,143.42330378729727,258.5239290901105,104.85688725130292,141.13673507867412,135.2827862368492,236.11697488910173,170.4458849101284,95.07018673540759,174.1846457388787,125.85476284146296,71.40139126811471,140.26393343202275,119.77796222889833,159.2984260237731,154.39497887953058,108.19906006398148,76.03420247290595,113.84704659451509,107.31891637569404,236.39436586654452,73.28323305309014,132.66146665949682,161.6514233401972,190.25686660655305,166.38614523359587,169.5924508359093,237.60530131897218,83.37283265369712,125.59928743066928,151.33759898614144,97.47199275745726,137.94430580782142,116.36452044685912,112.51032526855757,117.04994023648726,178.0253429461015
9,222.6788135831045,297.5393886663979,110.20510308045078,195.84598432489372,202.58058857260932,179.53178876622985,163.5852727091963,139.40200810251042,244.5801519739267,143.22649578647554,226.6903660336083,322.49908296281365,263.1710448270355,63.44604472072798,247.8647328984531,187.2207862010124,199.30964382472888,159.14008708972196,241.82497298837717,122.61535782115067,144.17710551230755,166.90696724012173,207.94593624216094,143.60778589789166,142.1566574809239,76.42581789984374,130.35233366051654,153.61796798362164,212.86271504684063,64.49461158968566,175.04147916517667,240.42401877156072,101.04257455582581,188.17237508085813,144.7839863185312,205.76091514518978,181.78333673768321,156.64863929551427,96.6242639697981,255.784706205714,91.04560154522827,269.05484676537844,137.74830377988386,249.90365607271238,114.15657203030129,105.4261396507218,104.25693937545228,80.90662810266421,258.0580362937412,136.03260487412385,151.60240742474934,148.75076173574678,179.5982228371081,187.0258277928695,207.48834215785084,12.725807843486365,282.98917934314557,182.92465819969308,46.66834097317664,136.9660955134079,143.8950149849572,255.76757571702234,133.23753350122595,130.42209415610222,192.770426339948,213.25472048234403,100.68861176129644,1.5887507015418407,220.61437958921164,301.24410679009725,94.52185416016883,223.09375263455468,238.36678098655761,158.5768655750558,272.1297991060758,177.24376299809487,273.377382717778,111.69420283326414,167.82255176276144,215.50373753893342,250.6934803640009,213.52125575465436,186.6288965880735,97.33239228285915,136.5214184084277,158.85051402931074,69.8099554064356,217.15834383878774,208.97440065795507,96.90964749966443,151.457996100327,108.58334971817901,66.94612141803002,185.53537632787473,192.60119455429933,154.17433118044676,190.50649059199458,90.2804309443382,222.52145600924587,252.9164795061708
