hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,180.89539513814557,8.092283786263678,169.7319852314665,76.76741665010724,0.0,86.72183641610667,0.0,22.642994016355967,95.87469496572211,0.0,37.82500656786022,0.0,117.97282329951264,28.569639648924902,0.0,0.0,200.93736888347524,207.4815042644799,1.9134865405741195,123.46048245391128,0.0,0.0,108.24617789856745,0.0,0.0,90.1164621655073,0.0,225.17207549106982,0.0,0.0,0.0,209.48745264304978,40.67256280842477,31.5957985272379,0.0,0.0,0.0,0.0,0.0,0.0,81.43122063401066,66.28162397828086,0.0,0.0,166.95786057797883,0.0,0.0,81.41815526001142,83.44366571169135,189.64898406488322,148.64054060280358,15.885064069059847,0.0,76.6367422318846,61.75580599004137,83.43301953207079,0.0,38.708642946455164,26.499987368582303,162.1424286726445,73.24955930069504,179.63100596485205,0.0,0.0,149.51713006798613,0.0,88.40462122391796,0.0,2.2687393037104684,89.17212310243566,72.28651813990635,263.4039396331626,0.0,6.680079821173322,146.28351853322235,0.0,28.88411621403788,96.78428578045319,86.61609467765524,0.0,0.0,183.92481357654165,113.5631755864236,74.14286705430376,3.407700197568559,192.52731395781782,0.0,37.9465668428265,287.82762333021077,0.0,98.57505259841494,45.52936060914705,73.00221009757831,302.908385307368,71.39113722720936,126.26067697906896,0.0,0.716701731023818,0.0
7,566.433595524722,562.1650408289304,541.2659712558423,287.70000246005054,207.7674996530633,405.7502801296237,354.798394122178,269.7770581669695,293.1650752188775,667.544621987272,393.32151957830723,386.6863758610793,675.3474673291515,348.1798999389576,254.74375780356465,244.8682232138709,229.16895438124203,287.20016340146,264.2422035595872,574.3742466838734,231.72857146862475,594.3773920145086,160.57114657727263,421.62927697465074,711.2186769844093,571.9750140621173,153.3510655236879,350.30192892387356,483.8800302596813,497.72231834404624,273.0812021220653,451.0399517545817,506.5464870701847,24.78179558756449,317.83563758694066,343.4583431123653,156.98944636446862,254.90328902757602,570.6290199561921,431.7032528501647,505.0871507885356,262.81434143322736,389.38060080836146,267.55341719333177,607.4834834725845,482.6444029044855,447.2726616883439,205.71122702157288,128.9031545194373,599.4230262627492,465.4178701016562,483.9782751041571,334.4050749648081,246.88141695024422,308.3456198486237,362.9927755521116,373.74946680366685,491.1344355055751,47.707954700603295,447.8772244055436,216.63319325975922,188.61414789680154,377.77519653233725,360.1857160212516,116.12597272623805,432.82929184864713,537.1664141545446,387.802663609236,458.12813760285087,230.6839164033222,305.9008635585074,643.2552998373469,222.94677544186192,239.15263060241935,429.45560199459027,414.04900268068985,220.98309884334208,418.73064508858414,450.25005954940565,301.1687642927533,307.6552628556337,465.3948683585952,279.1247896431781,287.13030086289587,246.2152195655339,137.29205495533213,467.43039919769205,220.89352192249572,27.56352641520283,599.1742492306298,227.48971719217468,436.8590678376873,226.49209842624205,421.4818998343394,527.7589302075844,398.7632003358482,573.2973196920129,519.8435263115366,242.79408178713723,244.22533104021016
8,328.8492001669118,289.8355997969296,457.2078469266352,487.65294109330193,482.814244505078,722.5590671485393,647.7106303606204,593.2513472829894,439.4895705728839,497.59963116621464,806.5726634505575,511.5613325315166,590.1073259054542,561.0561403394163,345.186953477476,435.833240640985,410.3278504119021,670.7379445089587,795.4128869414146,487.92833177566314,624.2574975919325,531.0725363976418,481.7601017103118,152.0759093490551,574.6536034828881,205.0136090086662,532.1908368677216,451.18378255897727,301.7666418031908,457.28447074266563,825.6781801035002,506.8193201481511,531.7572923148994,557.2494651561017,670.5065800343995,421.1200289529229,322.8453373814526,427.84141685889887,256.0998298606807,337.7561813130244,626.6372336468457,218.45501498606694,217.96328425054082,457.40694437825226,801.7757167533413,606.679407527428,459.61743461483826,544.0455620825727,363.34984873412424,613.4114634604318,758.2398052882461,540.8375270665164,467.1340277550519,469.16821150204544,336.152866265566,409.21559283547623,483.71121433676154,360.52799556544034,463.4083995917016,431.4154321572448,532.4185854380854,892.9834868623077,664.2780706674617,452.90221015214155,450.7403864206834,938.0161899558016,658.8216826309018,397.7051769693264,557.5467626644134,415.63325284329846,502.01475373262184,221.98460643944946,553.5436006145766,344.77989172286584,432.15151494073154,534.0979109181668,591.24976595486,347.41771349423925,357.34038910855907,479.10126479744594,439.0537917668046,419.1324227047444,695.6208442835463,267.7300433061706,401.81236924938855,646.4374543442261,521.6573522536256,530.1172583083218,330.37945139772114,973.3860847048581,186.15924862865063,657.8887195651345,927.1980226147944,477.3301019737761,151.72802635611913,559.3547398620035,735.7187788531605,278.4884491009015,264.86191352360356,416.850230221424
9,494.6567058969689,476.83031470079203,550.1052414972611,567.4271750034724,795.4485506619787,511.88021033210794,1073.0128500061855,808.255008639839,670.8161268553397,602.8136344853064,704.5740729836497,441.30757532019516,408.56267671771786,605.1786468535979,350.06199643320724,911.0955765604313,916.5048350423597,567.9470917676049,396.9378363725489,575.4294498190811,686.35459539201,467.1689874734965,571.0798435307582,504.98914451269695,673.0681765419191,479.03391844740804,315.43253523241435,478.77384237931176,494.0519991017843,502.7566281092326,476.619580144505,495.3045472467658,579.6755793331339,539.5526902706029,365.0718731113313,935.6166551217343,684.3505643427047,520.3998304071324,292.09600091364234,495.70514840963807,505.8139420624519,263.6710217869139,942.9697090337866,453.2072122032057,543.5315438563052,1029.158901758521,598.9840383112975,364.48752531348083,799.330660737119,379.65990254818666,1026.058532729165,818.2917185614866,416.6608527258231,497.6530201378123,652.1187559828257,497.3969207382599,475.6565240871372,640.6745376728145,367.5597734304332,788.8893244536216,779.2068031613162,813.2139543591845,965.6984289572955,953.988754696757,856.6218921923444,512.9149956776815,352.66891624688344,542.0174464138628,810.0896802857741,545.7900517770208,691.4048684912138,516.990524471203,645.0442742034998,135.43229444479618,838.676875368381,752.4008712799607,221.58290622780225,430.72314627288375,370.6648695969288,898.7107682046936,1041.0584615024866,442.26526400213453,673.302379017323,535.9923457115277,612.0619165433027,610.7305520912645,308.8489384006979,469.75314698301173,807.3478302774499,408.44410716578466,849.4154733096873,420.0216983970831,432.15034441935103,907.5793378369666,783.7610316746674,493.94819630705643,568.5794416703317,789.1485398636295,301.49867288498365,784.9256347197224
