hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,685.327684512155,807.9494589304431,714.0752737641924,728.79017587901,995.6409606409189,433.85424077143347,479.67868266224923,775.8483306497266,561.9585543596818,594.3421887410523,648.3791837787087,888.4345449295047,1374.2379913834557,429.4809666977934,1581.3829321747112,393.84944402633516,745.044938587577,953.7011439748463,1249.9556265136337,579.1506506659391,1014.1023600927119,1030.87053877567,410.07439050900126,533.7213785765974,1214.9492309481514,965.5960579396594,897.9682438833277,356.52349803809227,905.6710567706833,483.0508647068358,450.26214275309536,1000.1532750577218,567.8157265032344,476.24945435165716,830.002826634361,927.3841055263376,591.5109547185806,541.6710610141024,620.6281386221704,1118.8401074811939,841.3081087549549,798.8230294325334,1195.6217771537977,762.8795912313271,853.1499974922343,985.2379875999343,817.2540854726636,1050.4265547767257,929.0895158099139,745.5023897226469,1454.2956838438542,1109.4499027424213,409.91654672460527,1406.079735162612,1150.2712333165537,670.9431391780893,768.1688828721847,945.2777653106011,159.5381159283496,435.33378896390195,354.5577056975234,312.9652461009127,1218.5640060955395,990.3960228427771,811.6828733575237,953.0672649732442,1098.248837957637,979.5658908965054,781.9388638437154,449.88177823868153,1237.5566381608064,1014.71317456939,468.35071323309865,0.0,1205.5636916802166,760.4862030080358,1051.381169786322,822.291613617408,768.5239442808944,934.1764366170358,378.20649366658483,1161.7988826751025,846.759542085604,421.44217496503046,597.55164690251,1049.3660076833446,1167.5069007332786,846.772815038149,679.6882195994771,183.90188597401834,0.0,879.0824324468997,438.6402210807818,416.82507525410216,1108.141362013148,437.0176121276365,677.3418159882515,715.012583964626,741.0772978524622,130.10189941262115
9,2628.1111298601263,1743.876659791916,1886.8557077902683,1873.4292635940637,2326.425769256961,2181.664599777227,2410.0368524395003,1742.2087937767778,1777.2459968143112,2317.5608261169823,1341.1885652568342,2459.286844119021,1675.572842269399,2835.866132603557,1843.416090516027,2839.8025684656245,2446.2001001299386,1984.437850372414,1964.564237279404,1749.4867229936033,1292.524118476455,1659.3361567232091,2444.705091692797,2450.404474309448,1766.8679997366912,2227.978894819176,989.8512785596542,2332.6488809366083,1541.6273170199395,2228.118455626425,1853.0806565494836,1820.0202170722605,2066.996738082686,1475.519451105255,2324.6253331020935,1447.7948940980598,2112.927636660176,1359.7287697385834,1652.4405232789768,2753.889321840359,2162.188879044743,2494.9574153509298,1950.657139712494,1802.8342944817468,1598.670994313503,1926.1000126082245,1458.8008605221607,2010.3900429603264,1865.6069730316713,1635.1942774735983,2007.204452355097,955.7164366343336,2084.456322157738,2541.0430410708996,1450.303647982756,2262.6212360996938,2035.352928339824,2012.3502721747675,1832.5723136875292,1511.832487714994,1644.90742742267,2134.7313351960383,1660.6768567685747,2206.6002374715013,1538.6916031928924,2162.0754282114103,819.8244036710591,2435.8259020352652,2954.8422137735984,3524.3560690366394,2487.5616273148194,2877.110902553795,2432.241809807929,1909.3615296774224,2209.389960399325,2078.6003795344,2614.796587810199,2150.144515758555,2443.409821512248,1709.2616086505725,1154.5170466560162,1712.1745778748716,2275.701641696233,2014.9422776189956,1946.6575097183052,2436.6593514662736,2558.209881919229,2071.8947773402792,2711.5554549963977,2352.5025929362796,1862.6359402523835,2219.0643602253376,1885.798596517262,3075.2491746156984,2297.8092271176033,2839.053836093367,1923.088333476704,2205.676618555292,2200.4568163641275,182.59864637447185
