hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.795559402410321,0.0,4.437982457699615,4.271042743707353,3.195189386676094,4.073397956069257,0.0,10.970000393580019,3.0876220108534507,5.985956291732162,4.8233204167368395,3.4350334578842534,5.685411438684979,1.3981560177788834,3.962036966703995,3.8672250021005175,5.3786544496832,0.0,6.841639571814392,1.4153031382010242,0.0,0.04679405075603249,0.25637218520881877,5.246365389250165,5.1245069812551485,0.0,0.0,1.9813559768679383,9.723326326229914,0.0,2.032288706836508,7.648870227456637,10.863715216090013,0.0,9.054970127101395,1.542214006091128,0.9594527699898405,13.28065877558387,7.022707293765178,0.0,4.935680827837027,9.45077614237708,0.0,0.7363947691736064,5.7248896960851745,5.431443922186194,0.0,8.82037528305851,7.414575339658979,10.182602134144318,0.0,0.0362707633207866,8.621876893571269,5.50898961728198,0.0,2.4132931594607445,0.0,3.8440538410415845,0.9431138604944365,2.404271865815012,9.871985534750678,4.1786367427523246,0.0,3.87661510908853,1.7597129289368938,5.3151718082905415,7.771386069002581,0.0,4.3346843797010095,1.116681033292886,0.35912188793994915,6.683185684121693,0.0,14.51263677497874,2.7214132161220053,1.0675476076159578,2.620533052583764,7.4956808949054,0.9114202410200933,3.265020889036155,0.5246364285176752,4.233101239190502,7.558398314694224,0.0,0.0,4.420845032036768,0.0,0.0,0.0,2.5325669133187034,5.379792000207926,0.0,2.0690677603558454,0.0,7.715370123365895,1.9369808475278614,2.824989646093023,0.0,5.756537717891296,9.98258455382245
8,20.375178578839318,19.995996229696548,20.02546701186038,26.742579519487236,12.70077184790042,20.140669455158513,8.582148131954998,5.131388899499781,10.171848168024484,19.477280170853707,12.867728189917248,22.33719460410888,16.308049878045725,15.109837665999226,26.04598003985796,23.287342338470268,13.114163731850319,18.616415058875027,6.1690075849736346,16.27083671181293,23.45240076809204,9.760608803822912,10.76442579793323,6.990681890754619,3.6921890052726916,0.0,5.858266897713657,6.111533697250945,14.912915540065523,25.0808832975833,23.733235201482053,25.11884662096093,17.141283485614455,14.2744314017299,23.133771614736602,8.680700402478355,15.503710187408014,29.063278116484156,14.765485286747667,17.5842216655401,18.60915296341546,16.55033016765775,24.349587794591535,21.584687472878546,13.929296922461408,15.51509968509364,18.482892870451323,7.923269935921285,16.674777319196366,0.0,4.28939464426122,23.033015583390302,20.090226678571714,26.48518914075163,9.169019450255657,0.0,17.515269599306897,10.469098605063799,24.022927494534464,5.239737352341832,29.531019103770497,34.23895636886944,12.609416911237966,20.47239292598987,7.680615509321024,26.94158462356232,14.780720857560132,5.425258347176143,27.91223519224154,28.862642688690386,18.64281619073797,23.374956034188237,28.931379593265632,20.22153342367941,15.616654661350507,13.925378832476861,8.160731103406697,11.943402260949775,14.278823182677655,22.770062918530876,22.41058286588801,17.309667867939865,18.536577115501338,12.573313908088743,12.112663252948128,14.31739967738464,34.03335694579797,19.277158514917197,31.99124560965286,0.0,13.845171573496847,17.345496620751298,10.934001743911526,22.25975329773831,19.21432954867927,18.683871519773128,16.448863366495548,23.94773564665868,22.941776592135568,11.148156488824856
9,17.679000652926227,18.005454561329966,22.13591220439355,8.29131773382178,10.10435185394704,11.181047785154744,17.338483373373347,22.32548137149252,17.956219575676954,15.719387595137544,16.56850651469031,25.02615652575671,14.18403561314799,9.528525981982177,10.958445271893641,2.035653235277284,8.768270904464194,11.43691422546625,19.33818037324798,13.498045881036933,16.512948473768006,11.67199922013554,11.303909263900291,22.2372342920186,21.162495939679452,32.13585963975329,27.213311095245068,13.514024456925252,16.8939989532844,11.37312061082577,7.989874292708592,21.053568490436458,10.13923527317737,26.869460367101,26.80430509102718,35.885456421086616,33.6207689490458,10.24002833006382,15.138974323126183,25.186392843523215,24.01693348242358,34.27411089067877,0.0650310318337155,29.511159030610216,7.974824464994031,24.97993549736549,23.391189903910217,5.685834747475402,18.95694960092837,54.87790324242623,23.05329367576088,28.280960941938798,13.85732380781583,13.476415070156808,5.912330115798849,19.59534548401087,17.936218623025642,15.209178022291173,22.31759049332924,11.081196293742629,37.2349885373669,21.097275762416714,17.322009852108106,19.976535553291498,7.387355810335359,18.06195175226176,9.223279393478974,12.117296203998706,9.244178543476082,19.79205167761653,19.066356947398997,17.902096747655047,33.19388941382151,26.86778051299114,19.052281698508814,13.75817211002482,21.61416494816778,26.201738752936965,17.330082472423634,15.883732743248318,12.766687056000613,16.181961475777626,12.344007713806558,19.644635360639246,31.700757996460695,18.42892162360182,14.253583634755115,19.96334528160502,22.58944155020438,26.07797815853798,23.016949254197744,27.248640017569034,10.338414828426814,24.495889579272735,26.3689208016736,20.962943228131078,41.42367231988243,22.111055420908063,31.545987096526012,10.104896993459088
