hour,scenario_0,scenario_1,scenario_2,scenario_3,scenario_4,scenario_5,scenario_6,scenario_7,scenario_8,scenario_9,scenario_10,scenario_11,scenario_12,scenario_13,scenario_14,scenario_15,scenario_16,scenario_17,scenario_18,scenario_19,scenario_20,scenario_21,scenario_22,scenario_23,scenario_24,scenario_25,scenario_26,scenario_27,scenario_28,scenario_29,scenario_30,scenario_31,scenario_32,scenario_33,scenario_34,scenario_35,scenario_36,scenario_37,scenario_38,scenario_39,scenario_40,scenario_41,scenario_42,scenario_43,scenario_44,scenario_45,scenario_46,scenario_47,scenario_48,scenario_49,scenario_50,scenario_51,scenario_52,scenario_53,scenario_54,scenario_55,scenario_56,scenario_57,scenario_58,scenario_59,scenario_60,scenario_61,scenario_62,scenario_63,scenario_64,scenario_65,scenario_66,scenario_67,scenario_68,scenario_69,scenario_70,scenario_71,scenario_72,scenario_73,scenario_74,scenario_75,scenario_76,scenario_77,scenario_78,scenario_79,scenario_80,scenario_81,scenario_82,scenario_83,scenario_84,scenario_85,scenario_86,scenario_87,scenario_88,scenario_89,scenario_90,scenario_91,scenario_92,scenario_93,scenario_94,scenario_95,scenario_96,scenario_97,scenario_98,scenario_99
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.084300161974545,12.071396109029699,3.9464554078621563,2.172704698734102,8.348381757486631,5.484359543894536,10.438753499828511,0.0,13.77242294086285,9.150812780245438,5.2563420388549424,7.019615442613993,19.10676181581271,11.737551648920988,13.03877993550709,6.785062732667567,11.659646426159087,2.2854234572458614,16.34485423928142,15.876054199777034,17.234253984456213,21.11753477879618,14.974722109058298,0.0,8.31538947473692,13.383274964401433,12.166321280794431,4.635391683295682,5.112865446424041,12.723900191314037,5.358670344869914,3.6271485534647043,5.203399423311903,7.72074891723821,3.0810289605718566,5.3651704128124305,7.4023903252061904,1.454916179932889,1.971221339807557,9.891714657150064,14.812912740084025,11.97169602929861,16.397978367020222,4.148886821223755,10.490706615256961,7.5643120829336015,9.330920208709074,6.949660747590593,5.467296113779289,8.975697111073398,12.241756830235936,12.160801700096465,0.0,9.957949333167392,12.667018725490486,0.37580940981928546,2.223041625021941,2.5929870746521315,8.586191143059958,11.39129333287244,0.0,0.0,4.755152152548144,10.855738231252959,7.797796101700399,4.5288397689928015,7.462145481123343,5.724635695732557,13.839817990466933,3.8008444943669315,0.0,13.600487229779954,12.812081077882953,14.461908974903935,4.425525978420133,10.09928157636374,0.09383389814067744,2.3883593018318408,4.505800761776577,13.241868487986086,14.533593283660517,0.0,14.531054244752731,12.931615024318248,0.9076702670272105,6.070783081516169,0.6449653468853409,13.206878343311967,8.13671370810766,8.575889813287302,4.064705092260111,8.358501206523298,13.009852887040644,6.550396962160738,4.334587831991657,7.776330545797275,2.964180288151394,11.686815517939571,14.989798333610315,7.731868226388267
8,9.438317593111893,0.0,3.3807572881022114,1.2050602344358854,13.122583001839914,0.818630091878676,8.965258071238246,1.1704684953559892,5.464384999706034,6.108010945231749,8.079474103959441,6.641139920930746,7.3082673611627245,10.22309348588245,0.0,4.43668582637477,5.57421049281244,5.286031628160322,6.384083300756229,7.346094855291395,3.44160194380086,6.375152227397592,9.98668613843752,0.0,5.182087399069245,8.0020499624769,7.266666493180104,0.6729295235183081,0.7179369535693398,6.998747303473413,2.436026694764306,3.926489016311966,1.7920004929755686,3.986032100279392,0.0,7.9655612915522385,0.776107239625949,5.033843462259581,5.963435853457874,1.2074757848903386,5.029695249253891,3.1583565231453576,7.458956186054701,4.814308728868151,1.1299744549944837,0.0,7.213204090623222,0.4247156786025572,6.449605007936192,5.164983172480015,12.056756110821855,10.20689071943826,0.0,11.26462701106633,0.0,5.070217870390973,0.2705255877579109,2.060966921690805,15.06600212660512,3.042527713277731,7.015470644304106,10.82966105300736,0.0,2.450653136804213,6.285188864500935,11.369226987248954,6.71016819592394,6.703822169918226,1.4602773919170389,3.171820222668247,7.621061529620452,4.524641968523035,2.435860531395533,4.4791920859210945,0.9327335917931809,6.285361186769124,0.2897545245248603,3.934222375074884,8.712536010734055,3.4629768823999223,3.390155179801002,9.934345450993101,7.229527650081469,9.041884462904038,7.444488139901721,0.0,6.619736593117553,11.164970239946733,2.3142407691799582,0.0,3.111533434333083,4.772262470888824,3.6773340177673615,1.7196320131648593,5.547170143829094,0.22010118440031867,7.663817506258759,4.611836451895561,2.6259884154631443,0.0
9,15.197326318086294,13.695582778492204,5.378061709120305,9.54385292842787,3.312228649930315,3.150337850740158,10.278904470647547,10.03850084631866,20.864001721993596,6.9485709777598395,10.664992866386692,7.4169289815810115,0.9265760760536228,15.961711524521428,5.473950777267315,9.732146513097408,16.500493905381738,16.899557860583965,18.480080867960623,9.264017254258086,6.051520815220903,1.2090146007854763,12.015596555399885,10.960439439143219,16.624463758868462,8.130938985410356,13.865560019991554,17.611316620629534,6.818340753404166,12.323945767694473,13.88255096578147,19.996490714987672,17.047853205070776,12.890099519936125,21.0301590102603,9.76888393704595,19.056997913182187,12.532306412172531,8.213551313758476,8.529251671850444,18.48005448007095,20.196447219284384,11.630174953491387,12.910643139409265,6.675957562848669,15.63716486009236,14.76853792983634,5.771177714410915,13.051189898218158,14.484280717881148,14.614711380181856,8.906216074661875,13.52975835081326,13.430440365559063,6.2573910713286764,16.455919140822942,17.414400275243892,16.204928854860817,1.0546977471490404,11.379187928814638,11.33917202976114,13.97201019543794,15.917756534062129,8.27716692685618,14.882204580560852,0.0,10.46098756344929,10.81025454529347,1.3965242989454243,13.344346089616586,15.108250658940769,17.2488599680297,11.303230111265773,24.949568012417856,17.99443224843067,21.0530579221686,9.454846638259603,11.89433309581138,24.15091005525052,12.69691144046755,7.522908369964162,12.873138230337672,13.649753988654371,12.853551625259543,10.176227649393821,14.564318334014656,11.393173758688912,17.471052116876518,17.82349228754274,10.093951639416971,16.10031602583389,16.372762999549273,12.0369175958095,16.667590637656616,13.153759652032495,11.894065807401136,6.775568173835083,17.25474125012347,13.18935867078214,8.529979013640311
